Sample	Unique Reads	Duplicate Reads
GM100_R1	6146558.0	953258.0
GM100_R2	6177615.0	922201.0
GM101_R1	5885549.0	965178.0
GM101_R2	5896554.0	954173.0
GM102_R1	8414029.0	1398348.0
GM102_R2	8519346.0	1293031.0
GM103_R1	5772896.0	956100.0
GM103_R2	5825129.0	903867.0
GM104_R1	7633313.0	1365866.0
GM104_R2	7691238.0	1307941.0
GM105_R1	5678647.0	902579.0
GM105_R2	5692158.0	889068.0
GM106_R1	8313822.0	1463575.0
GM106_R2	8392563.0	1384834.0
GM107_R1	8005973.0	1718063.0
GM107_R2	8092855.0	1631181.0
GM108_R1	6886031.0	1078684.0
GM108_R2	6924129.0	1040586.0
GM109_R1	6086185.0	1011198.0
GM109_R2	6117221.0	980162.0
GM10_R1	5677813.0	880595.0
GM10_R2	5686605.0	871803.0
GM110_R1	7024115.0	1107522.0
GM110_R2	7080755.0	1050882.0
GM111_R1	7354074.0	1451658.0
GM111_R2	7383140.0	1422592.0
GM112_R1	6648789.0	1056807.0
GM112_R2	6681933.0	1023663.0
GM113_R1	6677837.0	1196994.0
GM113_R2	6736541.0	1138290.0
GM114_R1	6160745.0	1007738.0
GM114_R2	6204426.0	964057.0
GM115_R1	6364043.0	1117505.0
GM115_R2	6428751.0	1052797.0
GM116_R1	6933962.0	1091018.0
GM116_R2	6990349.0	1034631.0
GM117_R1	8173050.0	1503843.0
GM117_R2	8214032.0	1462861.0
GM118_R1	8087880.0	1326419.0
GM118_R2	8146071.0	1268228.0
GM119_R1	9051658.0	1657725.0
GM119_R2	9160324.0	1549059.0
GM11_R1	6981876.0	1158824.0
GM11_R2	7021980.0	1118720.0
GM120_R1	8506133.0	1552027.0
GM120_R2	8591984.0	1466176.0
GM121_R1	8836679.0	1815250.0
GM121_R2	8905637.0	1746292.0
GM122_R1	8197699.0	1412902.0
GM122_R2	8295121.0	1315480.0
GM123_R1	7335676.0	1161890.0
GM123_R2	7401927.0	1095639.0
GM124_R1	8731215.0	1412777.0
GM124_R2	8800094.0	1343898.0
GM125_R1	8324121.0	1393501.0
GM125_R2	8399035.0	1318587.0
GM126_R1	7528994.0	1120036.0
GM126_R2	7606251.0	1042779.0
GM127_R1	6862441.0	1311565.0
GM127_R2	6897855.0	1276151.0
GM128_R1	8104000.0	1546279.0
GM128_R2	8171325.0	1478954.0
GM129_R1	8442229.0	1522263.0
GM129_R2	8558172.0	1406320.0
GM12_R1	6419375.0	999938.0
GM12_R2	6439842.0	979471.0
GM130_R1	7452843.0	1104760.0
GM130_R2	7475516.0	1082087.0
GM131_R1	8217058.0	1356564.0
GM131_R2	8283200.0	1290422.0
GM132_R1	7329758.0	1094522.0
GM132_R2	7416904.0	1007376.0
GM133_R1	6558505.0	1032710.0
GM133_R2	6612410.0	978805.0
GM134_R1	6781708.0	924510.0
GM134_R2	6836252.0	869966.0
GM135_R1	6861272.0	1257910.0
