Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM100_R1	GM100_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7099816.0	0.0	150.0	46.0	86.57347558319644	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM100_R2	GM100_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7099816.0	0.0	150.0	46.0	87.0109071990372	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM101_R1	GM101_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	6850727.0	0.0	150.0	45.0	85.91130374747186	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM101_R2	GM101_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	6850727.0	0.0	150.0	45.0	86.0719415611815	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM102_R1	GM102_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9812377.0	0.0	150.0	45.0	85.7491350132578	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM102_R2	GM102_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9812377.0	0.0	150.0	46.0	86.82243889908457	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM103_R1	GM103_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	6728996.0	0.0	150.0	46.0	85.79133090498394	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM103_R2	GM103_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	6728996.0	0.0	150.0	46.0	86.56757856327786	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM104_R1	GM104_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8999179.0	0.0	150.0	46.0	84.82232262293789	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM104_R2	GM104_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8999179.0	0.0	150.0	46.0	85.46598699862157	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM105_R1	GM105_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	6581226.0	0.0	150.0	45.0	86.28553645539286	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM105_R2	GM105_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	6581226.0	0.0	150.0	46.0	86.49084435872443	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM106_R1	GM106_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9777397.0	0.0	150.0	46.0	85.03103087356071	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM106_R2	GM106_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9777397.0	0.0	150.0	46.0	85.83636955797904	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM107_R1	GM107_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9724036.0	0.0	150.0	45.0	82.33178679978667	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM107_R2	GM107_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9724036.0	0.0	150.0	46.0	83.2252665290661	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
GM108_R1	GM108_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7964715.0	0.0	150.0	46.0	86.45671545723512	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM108_R2	GM108_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7964715.0	0.0	150.0	46.0	86.93504640317975	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
GM109_R1	GM109_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7097383.0	0.0	150.0	46.0	85.75250987008076	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM109_R2	GM109_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7097383.0	0.0	150.0	46.0	86.18980242722975	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM10_R1	GM10_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	6558408.0	0.0	150.0	45.0	86.57302900670705	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM10_R2	GM10_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	6558408.0	0.0	150.0	45.0	86.70708202490077	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM110_R1	GM110_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8131637.0	0.0	150.0	45.0	86.38008246695811	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM110_R2	GM110_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8131637.0	0.0	150.0	46.0	87.07662007359463	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM111_R1	GM111_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8805732.0	0.0	150.0	45.0	83.51461985557816	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM111_R2	GM111_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8805732.0	0.0	150.0	46.0	83.84470294065885	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GM112_R1	GM112_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7705596.0	0.0	150.0	46.0	86.28520005623044	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM112_R2	GM112_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7705596.0	0.0	150.0	46.0	86.71532107677727	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM113_R1	GM113_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7874831.0	0.0	150.0	45.0	84.79974036693869	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM113_R2	GM113_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7874831.0	0.0	150.0	46.0	85.54520145249423	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
GM114_R1	GM114_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7168483.0	0.0	150.0	46.0	85.94209082089249	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM114_R2	GM114_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7168483.0	0.0	150.0	46.0	86.5514392378919	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM115_R1	GM115_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7481548.0	0.0	150.0	46.0	85.06317449199005	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GM115_R2	GM115_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7481548.0	0.0	150.0	46.0	85.92807763157455	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
