Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GM100_R1	13.42652441680356	46.0	150.0	0.0	7099816.0
GM100_R2	12.989092800962794	46.0	150.0	0.0	7099816.0
GM101_R1	14.088696252528138	45.0	150.0	0.0	6850727.0
GM101_R2	13.928058438818496	45.0	150.0	0.0	6850727.0
GM102_R1	14.2508649867422	45.0	150.0	0.0	9812377.0
GM102_R2	13.177561100915426	46.0	150.0	0.0	9812377.0
GM103_R1	14.208669095016063	46.0	150.0	0.0	6728996.0
GM103_R2	13.432421436722137	46.0	150.0	0.0	6728996.0
GM104_R1	15.17767737706211	46.0	150.0	0.0	8999179.0
GM104_R2	14.534013001378426	46.0	150.0	0.0	8999179.0
GM105_R1	13.714463544607142	45.0	150.0	0.0	6581226.0
GM105_R2	13.50915564127557	46.0	150.0	0.0	6581226.0
GM106_R1	14.96896912643929	46.0	150.0	0.0	9777397.0
GM106_R2	14.16363044202096	46.0	150.0	0.0	9777397.0
GM107_R1	17.66821320021333	45.0	150.0	0.0	9724036.0
GM107_R2	16.774733470933896	46.0	150.0	0.0	9724036.0
GM108_R1	13.54328454276488	46.0	150.0	0.0	7964715.0
GM108_R2	13.064953596820246	46.0	150.0	0.0	7964715.0
GM109_R1	14.247490129919242	46.0	150.0	0.0	7097383.0
GM109_R2	13.81019757277025	46.0	150.0	0.0	7097383.0
GM10_R1	13.426970993292954	45.0	150.0	0.0	6558408.0
GM10_R2	13.292917975099229	45.0	150.0	0.0	6558408.0
GM110_R1	13.619917533041885	45.0	150.0	0.0	8131637.0
GM110_R2	12.923379926405374	46.0	150.0	0.0	8131637.0
GM111_R1	16.48538014442184	45.0	150.0	0.0	8805732.0
GM111_R2	16.15529705934115	46.0	150.0	0.0	8805732.0
GM112_R1	13.714799943769563	46.0	150.0	0.0	7705596.0
GM112_R2	13.284678923222728	46.0	150.0	0.0	7705596.0
GM113_R1	15.200259633061307	45.0	150.0	0.0	7874831.0
GM113_R2	14.454798547505774	46.0	150.0	0.0	7874831.0
GM114_R1	14.057909179107511	46.0	150.0	0.0	7168483.0
GM114_R2	13.448560762108102	46.0	150.0	0.0	7168483.0
GM115_R1	14.936825508009946	46.0	150.0	0.0	7481548.0
GM115_R2	14.071922368425447	46.0	150.0	0.0	7481548.0
GM116_R1	13.595278373220737	46.0	150.0	0.0	8024980.0
GM116_R2	12.892639841440044	46.0	150.0	0.0	8024980.0
GM117_R1	15.54055957642582	45.0	150.0	0.0	9676893.0
GM117_R2	15.117059660560741	46.0	150.0	0.0	9676893.0
GM118_R1	14.089409561280362	46.0	150.0	0.0	9414299.0
GM118_R2	13.471296354734235	46.0	150.0	0.0	9414299.0
GM119_R1	15.479183496506238	46.0	150.0	0.0	10709383.0
GM119_R2	14.464505630118339	46.0	150.0	0.0	10709383.0
GM11_R1	14.234945994834874	45.0	150.0	0.0	8140700.0
GM11_R2	13.742316895485445	45.0	150.0	0.0	8140700.0
GM120_R1	15.430535164837607	45.0	150.0	0.0	10058160.0
GM120_R2	14.576986270527101	46.0	150.0	0.0	10058160.0
GM121_R1	17.04152032526845	45.0	150.0	0.0	10651929.0
GM121_R2	16.394141714422688	46.0	150.0	0.0	10651929.0
GM122_R1	14.701498495551618	45.0	150.0	0.0	9610601.0
GM122_R2	13.687803880124605	46.0	150.0	0.0	9610601.0
GM123_R1	13.67321519351411	45.0	150.0	0.0	8497566.0
GM123_R2	12.89356329503552	46.0	150.0	0.0	8497566.0
GM124_R1	13.92723411741656	45.0	150.0	0.0	10143992.0
GM124_R2	13.248222286065428	46.0	150.0	0.0	10143992.0
GM125_R1	14.339941830651526	45.0	150.0	0.0	9717622.0
GM125_R2	13.569031601005236	46.0	150.0	0.0	9717622.0
GM126_R1	12.949856600303022	45.0	150.0	0.0	8649030.0
GM126_R2	12.056611852984844	46.0	150.0	0.0	8649030.0
GM127_R1	16.045565879035166	45.0	150.0	0.0	8174006.0
GM127_R2	15.612316532175882	45.0	150.0	0.0	8174006.0
GM128_R1	16.023163435889728	45.0	150.0	0.0	9650279.0
GM128_R2	15.325514344646678	46.0	150.0	0.0	9650279.0
GM129_R1	15.276882439618745	45.0	150.0	0.0	9964492.0
GM129_R2	14.113321528392845	45.0	150.0	0.0	9964492.0
GM12_R1	13.477510244140106	45.0	150.0	0.0	7419313.0
GM12_R2	13.201643611089537	45.0	150.0	0.0	7419313.0
GM130_R1	12.909691591350793	45.0	150.0	0.0	8557603.0
GM130_R2	12.644755704137538	46.0	150.0	0.0	8557603.0
GM131_R1	14.169812156825174	45.0	150.0	0.0	9573622.0
GM131_R2	13.478932433429307	46.0	150.0	0.0	9573622.0
GM132_R1	12.992470721274344	45.0	150.0	0.0	8424280.0
GM132_R2	11.958008556130878	46.0	150.0	0.0	8424280.0
GM133_R1	13.604016401296633	45.0	150.0	0.0	7591215.0
GM133_R2	12.893925506138046	45.0	150.0	0.0	7591215.0
GM134_R1	11.996940162321408	45.0	150.0	0.0	7706218.0
GM134_R2	11.289156204961941	46.0	150.0	0.0	7706218.0
GM135_R1	15.493074889574459	45.0	150.0	0.0	8119182.0
GM135_R2	15.40046526903248	45.0	150.0	0.0	8119182.0
GM136_R1	12.659318600436663	45.0	150.0	0.0	9540671.0
GM136_R2	12.146834475050781	46.0	150.0	0.0	9540671.0
GM137_R1	14.73128403946852	45.0	150.0	0.0	10443959.0
GM137_R2	13.910652872337991	46.0	150.0	0.0	10443959.0
GM138_R1	13.266377427838009	45.0	150.0	0.0	8587357.0
GM138_R2	12.84684808962136	46.0	150.0	0.0	8587357.0
GM139_R1	14.430220917402124	45.0	150.0	0.0	10011408.0
GM139_R2	13.570013367554807	46.0	150.0	0.0	10011408.0
GM13_R1	14.68386480402323	45.0	150.0	0.0	6810306.0
GM13_R2	14.254791341774023	45.0	150.0	0.0	6810306.0
GM140_R1	14.640136097870155	45.0	150.0	0.0	9633031.0
GM140_R2	13.79130451612211	46.0	150.0	0.0	9633031.0
GM141_R1	12.984419764585084	45.0	150.0	0.0	8327929.0
GM141_R2	12.480477717645769	46.0	150.0	0.0	8327929.0
GM142_R1	13.169799260241149	45.0	150.0	0.0	7738045.0
GM142_R2	12.252585771762753	46.0	150.0	0.0	7738045.0
GM143_R1	13.879558593055435	45.0	150.0	0.0	7563233.0
GM143_R2	13.145609080189331	46.0	150.0	0.0	7563233.0
GM144_R1	12.607661780325358	45.0	150.0	0.0	7670443.0
GM144_R2	12.086146390231207	46.0	150.0	0.0	7670443.0
GM145_R1	13.023950535902301	45.0	150.0	0.0	7651983.0
GM145_R2	12.482727750364589	46.0	150.0	0.0	7651983.0
GM146_R1	17.91493043990245	45.0	150.0	0.0	10467091.0
GM146_R2	16.81101152445099	46.0	150.0	0.0	10467091.0
GM147_R1	13.316532004687588	45.0	150.0	0.0	7919964.0
GM147_R2	12.521917525719601	46.0	150.0	0.0	7919964.0
GM148_R1	13.383934107694117	45.0	150.0	0.0	9839188.0
GM148_R2	12.721286714538834	45.0	150.0	0.0	9839188.0
GM149_R1	12.983295854920314	45.0	150.0	0.0	7634378.0
GM149_R2	12.225509864573013	46.0	150.0	0.0	7634378.0
GM14_R1	14.258968702733924	45.0	150.0	0.0	8962846.0
GM14_R2	13.858174955836063	45.0	150.0	0.0	8962846.0
GM150_R1	13.669062182046275	45.0	150.0	0.0	9854597.0
GM150_R2	13.031358117534182	46.0	150.0	0.0	9854597.0
GM151_R1	13.304010708125972	45.0	150.0	0.0	8181090.0
GM151_R2	12.496838746734056	46.0	150.0	0.0	8181090.0
GM152_R1	15.167547539427417	45.0	150.0	0.0	9685316.0
GM152_R2	14.244130174297467	46.0	150.0	0.0	9685316.0
GM153_R1	13.79308783290007	45.0	150.0	0.0	9047339.0
GM153_R2	13.12669136741934	46.0	150.0	0.0	9047339.0
GM154_R1	13.586963843446483	45.0	150.0	0.0	8704446.0
GM154_R2	12.907725044514507	46.0	150.0	0.0	8704446.0
GM155_R1	14.169005230446146	45.0	150.0	0.0	7502301.0
GM155_R2	13.413980846434157	46.0	150.0	0.0	7502301.0
GM156_R1	14.098153806102914	45.0	150.0	0.0	9289178.0
GM156_R2	13.318412245444435	45.0	150.0	0.0	9289178.0
GM15_R1	15.679262889493046	45.0	150.0	0.0	8294646.0
GM15_R2	15.139606528415797	45.0	150.0	0.0	8294646.0
GM160_R1	15.55486281826299	46.0	150.0	0.0	7381627.0
GM160_R2	14.801689350029207	47.0	150.0	0.0	7381627.0
GM16_R1	14.481368661434729	45.0	150.0	0.0	7923266.0
GM16_R2	14.311636607589335	45.0	150.0	0.0	7923266.0
GM17_R1	14.663472119563608	45.0	150.0	0.0	6941965.0
GM17_R2	14.115245481109412	45.0	150.0	0.0	6941965.0
GM18_R1	13.920610487713986	45.0	150.0	0.0	7540476.0
GM18_R2	13.408371234371245	45.0	150.0	0.0	7540476.0
GM19_R1	16.54966728698126	45.0	150.0	0.0	10081790.0
GM19_R2	16.44773268319257	45.0	150.0	0.0	10081790.0
GM1_R1	14.946452512238153	45.0	150.0	0.0	8346853.0
GM1_R2	14.242007942058834	45.0	150.0	0.0	8346853.0
GM20_R1	13.182607147779365	45.0	150.0	0.0	7299183.0
GM20_R2	12.731233752062082	45.0	150.0	0.0	7299183.0
GM21_R1	14.640080787389607	45.0	150.0	0.0	7425474.0
GM21_R2	14.218288033937199	45.0	150.0	0.0	7425474.0
GM22_R1	14.073024133778176	45.0	150.0	0.0	6734450.0
GM22_R2	13.571392848072819	45.0	150.0	0.0	6734450.0
GM23_R1	14.657019508300905	45.0	150.0	0.0	6957880.0
GM23_R2	14.32937520494717	45.0	150.0	0.0	6957880.0
GM24_R1	15.238935353880635	45.0	150.0	0.0	8476188.0
GM24_R2	14.918521905863287	45.0	150.0	0.0	8476188.0
GM25_R1	14.128278635383822	45.0	150.0	0.0	7702190.0
GM25_R2	13.739025176930454	45.0	150.0	0.0	7702190.0
GM26_R1	15.634930424726193	45.0	150.0	0.0	8990373.0
GM26_R2	15.339904886648341	45.0	150.0	0.0	8990373.0
GM27_R1	13.887162268218802	45.0	150.0	0.0	7402717.0
GM27_R2	13.561061696406043	46.0	150.0	0.0	7402717.0
GM28_R1	14.15872836430627	45.0	150.0	0.0	9145460.0
GM28_R2	13.747765190721097	45.0	150.0	0.0	9145460.0
GM29_R1	14.699970349930268	45.0	150.0	0.0	7422582.0
GM29_R2	14.573493457145872	45.0	150.0	0.0	7422582.0
GM2_R1	14.049569189465132	45.0	150.0	0.0	6754180.0
GM2_R2	13.51893095601433	45.0	150.0	0.0	6754180.0
GM30_R1	14.452072137163626	45.0	150.0	0.0	7992232.0
GM30_R2	14.294247627436633	45.0	150.0	0.0	7992232.0
GM31_R1	14.756216239623924	45.0	150.0	0.0	7339833.0
GM31_R2	14.50788449100314	46.0	150.0	0.0	7339833.0
GM32_R1	14.879764818794499	45.0	150.0	0.0	8259225.0
GM32_R2	14.608162034204483	45.0	150.0	0.0	8259225.0
GM33_R1	15.076145646992174	45.0	150.0	0.0	6934337.0
GM33_R2	14.292695775971097	45.0	150.0	0.0	6934337.0
GM34_R1	13.85059507005522	45.0	150.0	0.0	9111712.0
GM34_R2	13.533241465970107	45.0	150.0	0.0	9111712.0
GM35_R1	15.445882131120129	45.0	150.0	0.0	7650871.0
GM35_R2	14.771268958274476	45.0	150.0	0.0	7650871.0
GM36_R1	14.170197511911027	45.0	150.0	0.0	7304035.0
GM36_R2	14.132632954830441	45.0	150.0	0.0	7304035.0
GM37_R1	15.490329146897011	45.0	150.0	0.0	8684454.0
GM37_R2	15.148814609259716	45.0	150.0	0.0	8684454.0
GM38_R1	15.685424212724158	45.0	150.0	0.0	9326677.0
GM38_R2	15.129357001865003	46.0	150.0	0.0	9326677.0
GM39_R1	16.181503928150548	46.0	150.0	0.0	8091668.0
GM39_R2	15.945005815241117	46.0	150.0	0.0	8091668.0
GM3_R1	15.250466877171547	45.0	150.0	0.0	7494414.0
GM3_R2	14.88572532043301	45.0	150.0	0.0	7494414.0
GM40_R1	15.609475247143664	45.0	150.0	0.0	8679597.0
GM40_R2	15.368847346937713	46.0	150.0	0.0	8679597.0
GM41_R1	16.33327022893853	46.0	150.0	0.0	8454537.0
GM41_R2	16.240355348731555	46.0	150.0	0.0	8454537.0
GM42_R1	14.434706667990469	46.0	150.0	0.0	8209107.0
GM42_R2	13.849500857072613	46.0	150.0	0.0	8209107.0
