Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM100_trimmed_clipped_R1_paired	GM100_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7021644.0	0.0	1-150	45.0	87.2220674596858	138.66186608150457	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM100_trimmed_clipped_R2_paired	GM100_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7021644.0	0.0	1-150	45.0	86.66066165454656	135.12258055236066	pass	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
GM101_trimmed_clipped_R1_paired	GM101_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6805055.0	0.0	1-150	45.0	86.58064857664141	138.66923955794627	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM101_trimmed_clipped_R2_paired	GM101_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6805055.0	0.0	1-150	45.0	85.95883628575221	137.3210619164724	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
GM102_trimmed_clipped_R1_paired	GM102_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9729357.0	0.0	1-150	45.0	86.43372953226725	139.75618697104034	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM102_trimmed_clipped_R2_paired	GM102_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9729357.0	0.0	1-150	45.0	86.41828797771906	134.39114763699183	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM103_trimmed_clipped_R1_paired	GM103_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6672446.0	0.0	1-150	45.0	86.59058420418533	139.02597293406345	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM103_trimmed_clipped_R2_paired	GM103_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6672446.0	0.0	1-150	45.0	86.3994771604897	134.80740735856085	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM104_trimmed_clipped_R1_paired	GM104_trimmed_clipped_R1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8920235.0	0.0	1-150	45.0	85.58830420389086	138.76211355418326	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
GM104_trimmed_clipped_R2_paired	GM104_trimmed_clipped_R2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8920235.0	0.0	1-150	45.0	85.29542656385534	135.90528310072548	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
