Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG1928_1-renamed	2.8392847226645332	3.737717457319636
ABLG1928_2-renamed	2.5441990806375516	3.629366836810469
ABLG1929_1-renamed	2.754451215926077	3.5634741748895746
ABLG1929_2-renamed	2.54686083395901	3.41507803328473
ABLG1937_1-renamed	3.3427906027461582	4.099720046271219
ABLG1937_2-renamed	3.264533080996758	3.9962895248208277
ABLG1938_1-renamed	3.306438820115664	4.189786013830373
ABLG1938_2-renamed	3.157402405406304	4.030143078228855
ABLG1944_1-renamed	2.7285383429922065	3.689844935382511
ABLG1944_2-renamed	2.483661238607968	3.859674824999137
ABLG1945_1-renamed	2.4879776782687704	3.5746411429147122
ABLG1945_2-renamed	2.1705296249410035	3.5446445175350667
ABLG1956_1-renamed	2.3909986873530444	3.5901753103298537
ABLG1956_2-renamed	2.2456752777263107	3.4431508463329186
ABLG1981_1-renamed	3.3251875984910697	3.7514898817130735
ABLG1981_2-renamed	3.1317470830424736	3.8480487804070758
ABLG1988_1-renamed	2.638337001714307	3.0615570722920262
ABLG1988_2-renamed	2.40758212786596	2.9855290011992865
ABLG1997_1-renamed	3.5319732554769843	3.857790678912398
ABLG1997_2-renamed	3.399629368883523	4.074850105923275
ABLG2005_1-renamed	2.799327252640858	3.006879075285086
ABLG2005_2-renamed	2.5504362605918325	2.8841529522549663
ABLG2013_1-renamed	2.957778514054427	3.4046904802414195
ABLG2013_2-renamed	2.7537184458194908	3.387963070751211
ABLG2018_CKDL210009362-1a-AK1586-AK425_H5CHMDSX2_L4_1	3.7506366925558887	3.920646041946766
ABLG2018_CKDL210009362-1a-AK1586-AK425_H5CHMDSX2_L4_2	3.5589468984767842	3.9705543935236607
ABLG2023_1-renamed	2.5561493860554036	2.784188741403978
ABLG2023_2-renamed	2.301156250477889	2.6393753298065485
ABLG2032_1-renamed	4.140298502705977	4.374108093911491
ABLG2032_2-renamed	3.7813124135074725	4.269791931193343
ABLG2077_1-renamed	3.641716659001519	3.9663830280690755
ABLG2077_2-renamed	3.3624219576354717	4.013450504070221
ABLG2082_CKDL210009362-1a-AK1572-AK425_H5CHMDSX2_L4_1	3.4456831413026356	4.011116877059285
ABLG2082_CKDL210009362-1a-AK1572-AK425_H5CHMDSX2_L4_2	3.1655846939666574	4.1609406580163375
ABLG2091_CKDL210009362-1a-AK1581-AK413_H5CHMDSX2_L4_1	3.3874789599325363	3.9365603151832844
