Sample	Unique Reads	Duplicate Reads
ABLG1928_trimmed_clipped_R1_paired	4822781.0	1840019.0
ABLG1928_trimmed_clipped_R2_paired	4891353.0	1771447.0
ABLG1929_trimmed_clipped_R1_paired	7913488.0	2315999.0
ABLG1929_trimmed_clipped_R2_paired	7920861.0	2308626.0
ABLG1937_trimmed_clipped_R1_paired	7935976.0	2965361.0
ABLG1937_trimmed_clipped_R2_paired	7973982.0	2927355.0
ABLG1938_trimmed_clipped_R1_paired	9268598.0	3280733.0
ABLG1938_trimmed_clipped_R2_paired	9281264.0	3268067.0
ABLG1944_trimmed_clipped_R1_paired	3727508.0	1097277.0
ABLG1944_trimmed_clipped_R2_paired	3704303.0	1120482.0
ABLG1945_trimmed_clipped_R1_paired	12370943.0	5627884.0
ABLG1945_trimmed_clipped_R2_paired	12585532.0	5413295.0
ABLG1956_trimmed_clipped_R1_paired	4663209.0	1199682.0
ABLG1956_trimmed_clipped_R2_paired	4647714.0	1215177.0
ABLG1981_trimmed_clipped_R1_paired	8889301.0	2861659.0
ABLG1981_trimmed_clipped_R2_paired	8900348.0	2850612.0
ABLG1988_trimmed_clipped_R1_paired	12095326.0	3890447.0
ABLG1988_trimmed_clipped_R2_paired	12162464.0	3823309.0
ABLG1997_trimmed_clipped_R1_paired	14138829.0	5341132.0
ABLG1997_trimmed_clipped_R2_paired	14098018.0	5381943.0
ABLG2005_trimmed_clipped_R1_paired	13357013.0	6412641.0
ABLG2005_trimmed_clipped_R2_paired	13661335.0	6108319.0
ABLG2013_trimmed_clipped_R1_paired	6444289.0	1682756.0
ABLG2013_trimmed_clipped_R2_paired	6438560.0	1688485.0
ABLG2018_trimmed_clipped_R1_paired	4655320.0	1427222.0
ABLG2018_trimmed_clipped_R2_paired	4647049.0	1435493.0
ABLG2023_trimmed_clipped_R1_paired	10612292.0	3937201.0
ABLG2023_trimmed_clipped_R2_paired	10736746.0	3812747.0
ABLG2032_trimmed_clipped_R1_paired	5108224.0	1589633.0
ABLG2032_trimmed_clipped_R2_paired	5099007.0	1598850.0
ABLG2077_trimmed_clipped_R1_paired	10463569.0	3368408.0
ABLG2077_trimmed_clipped_R2_paired	10474904.0	3357073.0
ABLG2082_trimmed_clipped_R1_paired	5592973.0	1811588.0
ABLG2082_trimmed_clipped_R2_paired	5590057.0	1814504.0
ABLG2091_trimmed_clipped_R1_paired	16460258.0	5690170.0
ABLG2091_trimmed_clipped_R2_paired	16396544.0	5753884.0
ABLG2093_trimmed_clipped_R1_paired	10952181.0	3045712.0
ABLG2093_trimmed_clipped_R2_paired	10786680.0	3211213.0
ABLG2099_trimmed_clipped_R1_paired	11566970.0	3241874.0
ABLG2099_trimmed_clipped_R2_paired	11509957.0	3298887.0
ABLG2100_trimmed_clipped_R1_paired	17681856.0	5814203.0
ABLG2100_trimmed_clipped_R2_paired	17578071.0	5917988.0
ABLG2103_trimmed_clipped_R1_paired	11779804.0	3188183.0
ABLG2103_trimmed_clipped_R2_paired	11671275.0	3296712.0
ABLG2105_trimmed_clipped_R1_paired	13993669.0	4444565.0
ABLG2105_trimmed_clipped_R2_paired	13877211.0	4561023.0
ABLG2109_trimmed_clipped_R1_paired	17349007.0	5498022.0
ABLG2109_trimmed_clipped_R2_paired	17159409.0	5687620.0
ABLG2118_trimmed_clipped_R1_paired	15727505.0	4815389.0
ABLG2118_trimmed_clipped_R2_paired	15616373.0	4926521.0
ABLG2120_trimmed_clipped_R1_paired	12206163.0	3610255.0
ABLG2120_trimmed_clipped_R2_paired	12130985.0	3685433.0
ABLG2123_trimmed_clipped_R1_paired	9679300.0	2588265.0
ABLG2123_trimmed_clipped_R2_paired	9537643.0	2729922.0
ABLG2140_trimmed_clipped_R1_paired	10949033.0	4114611.0
ABLG2140_trimmed_clipped_R2_paired	10999930.0	4063714.0
ABLG2147_trimmed_clipped_R1_paired	12334224.0	6010423.0
ABLG2147_trimmed_clipped_R2_paired	12402105.0	5942542.0
ABLG2155_trimmed_clipped_R1_paired	8289898.0	3799325.0
ABLG2155_trimmed_clipped_R2_paired	8300818.0	3788405.0
ABLG2156_trimmed_clipped_R1_paired	14720347.0	4968926.0
ABLG2156_trimmed_clipped_R2_paired	14520563.0	5168710.0
ABLG2157_trimmed_clipped_R1_paired	12692300.0	4890731.0
ABLG2157_trimmed_clipped_R2_paired	12629852.0	4953179.0
ABLG2162_trimmed_clipped_R1_paired	12154067.0	3606097.0
ABLG2162_trimmed_clipped_R2_paired	12142505.0	3617659.0
ABLG2163_trimmed_clipped_R1_paired	8784186.0	2710993.0
ABLG2163_trimmed_clipped_R2_paired	8735648.0	2759531.0
ABLG2171_trimmed_clipped_R1_paired	8111100.0	2563053.0
ABLG2171_trimmed_clipped_R2_paired	8033977.0	2640176.0
ABLG2172_trimmed_clipped_R1_paired	12854460.0	3435984.0
ABLG2172_trimmed_clipped_R2_paired	12806150.0	3484294.0
ABLG2179_trimmed_clipped_R1_paired	13445682.0	5509317.0
ABLG2179_trimmed_clipped_R2_paired	13635386.0	5319613.0
ABLG2181_trimmed_clipped_R1_paired	6522095.0	2580733.0
ABLG2181_trimmed_clipped_R2_paired	6619986.0	2482842.0
ABLG2182_trimmed_clipped_R1_paired	4485347.0	1470432.0
ABLG2182_trimmed_clipped_R2_paired	4539865.0	1415914.0
ABLG2185_trimmed_clipped_R1_paired	15505308.0	4524933.0
ABLG2185_trimmed_clipped_R2_paired	15417739.0	4612502.0
ABLG2186_trimmed_clipped_R1_paired	4063585.0	1072615.0
ABLG2186_trimmed_clipped_R2_paired	4096467.0	1039733.0
ABLG2201_trimmed_clipped_R1_paired	12915674.0	5159606.0
ABLG2201_trimmed_clipped_R2_paired	13207143.0	4868137.0
ABLG2239_trimmed_clipped_R1_paired	15233793.0	4169195.0
ABLG2239_trimmed_clipped_R2_paired	15103519.0	4299469.0
ABLG2244_trimmed_clipped_R1_paired	10135693.0	3322726.0
ABLG2244_trimmed_clipped_R2_paired	10138264.0	3320155.0
ABLG2279_trimmed_clipped_R1_paired	5963758.0	1288436.0
ABLG2279_trimmed_clipped_R2_paired	5884289.0	1367905.0
ABLG2282_trimmed_clipped_R1_paired	14657709.0	4113457.0
ABLG2282_trimmed_clipped_R2_paired	14537328.0	4233838.0
ABLG2293_trimmed_clipped_R1_paired	3162164.0	980458.0
ABLG2293_trimmed_clipped_R2_paired	3152611.0	990011.0
ABLG2308_trimmed_clipped_R1_paired	6403384.0	3042325.0
ABLG2308_trimmed_clipped_R2_paired	6441233.0	3004476.0
ABLG2317_trimmed_clipped_R1_paired	4946338.0	1502281.0
ABLG2317_trimmed_clipped_R2_paired	4965675.0	1482944.0
ABLG2334_trimmed_clipped_R1_paired	12753971.0	4869320.0
ABLG2334_trimmed_clipped_R2_paired	12718724.0	4904567.0
ABLG2335_trimmed_clipped_R1_paired	9767001.0	3762403.0
ABLG2335_trimmed_clipped_R2_paired	9640890.0	3888514.0
ABLG2336_trimmed_clipped_R1_paired	11387149.0	3604195.0
ABLG2336_trimmed_clipped_R2_paired	11307512.0	3683832.0
ABLG2340_trimmed_clipped_R1_paired	6876369.0	1989189.0
ABLG2340_trimmed_clipped_R2_paired	6836385.0	2029173.0
ABLG2351_trimmed_clipped_R1_paired	11444775.0	3801307.0
ABLG2351_trimmed_clipped_R2_paired	11326021.0	3920061.0
ABLG2504_trimmed_clipped_R1_paired	3510947.0	1100541.0
ABLG2504_trimmed_clipped_R2_paired	3500505.0	1110983.0
ABLG2505_trimmed_clipped_R1_paired	8418928.0	2627338.0
ABLG2505_trimmed_clipped_R2_paired	8470472.0	2575794.0
ABLG2507_trimmed_clipped_R1_paired	9990095.0	2957839.0
ABLG2507_trimmed_clipped_R2_paired	10027750.0	2920184.0
ABLG2510_trimmed_clipped_R1_paired	6427987.0	1501079.0
ABLG2510_trimmed_clipped_R2_paired	6314167.0	1614899.0
ABLG2514_trimmed_clipped_R1_paired	7278195.0	3234900.0
ABLG2514_trimmed_clipped_R2_paired	7366908.0	3146187.0
ABLG2517_trimmed_clipped_R1_paired	13585532.0	3764535.0
ABLG2517_trimmed_clipped_R2_paired	13511554.0	3838513.0
ABLG2518_trimmed_clipped_R1_paired	5624076.0	1583648.0
ABLG2518_trimmed_clipped_R2_paired	5617281.0	1590443.0
ABLG2563_trimmed_clipped_R1_paired	5445524.0	1620423.0
ABLG2563_trimmed_clipped_R2_paired	5440220.0	1625727.0
ABLG2576_trimmed_clipped_R1_paired	11280185.0	2542708.0
ABLG2576_trimmed_clipped_R2_paired	11175295.0	2647598.0
ABLG2608_trimmed_clipped_R1_paired	15280042.0	4647356.0
ABLG2608_trimmed_clipped_R2_paired	15212345.0	4715053.0
ABLG2609_trimmed_clipped_R1_paired	18315382.0	5637179.0
ABLG2609_trimmed_clipped_R2_paired	18234480.0	5718081.0
ABLG2611_trimmed_clipped_R1_paired	12394327.0	3781584.0
ABLG2611_trimmed_clipped_R2_paired	12196959.0	3978952.0
ABLG2612_trimmed_clipped_R1_paired	15595186.0	4446443.0
ABLG2612_trimmed_clipped_R2_paired	15503163.0	4538466.0
ABLG2620_trimmed_clipped_R1_paired	13871000.0	5597526.0
ABLG2620_trimmed_clipped_R2_paired	14081792.0	5386734.0
ABLG2622_trimmed_clipped_R1_paired	12537675.0	3687234.0
ABLG2622_trimmed_clipped_R2_paired	12469079.0	3755830.0
ABLG2625_trimmed_clipped_R1_paired	7004391.0	1661306.0
ABLG2625_trimmed_clipped_R2_paired	6984379.0	1681318.0
ABLG2920_trimmed_clipped_R1_paired	17861181.0	8856650.0
ABLG2920_trimmed_clipped_R2_paired	18180247.0	8537584.0
ABLG2923_trimmed_clipped_R1_paired	5716770.0	1601119.0
ABLG2923_trimmed_clipped_R2_paired	5702164.0	1615725.0
ABLG2924_trimmed_clipped_R1_paired	12735517.0	5009865.0
ABLG2924_trimmed_clipped_R2_paired	12880537.0	4864845.0
ABLG2926_trimmed_clipped_R1_paired	3794846.0	1153578.0
ABLG2926_trimmed_clipped_R2_paired	3778607.0	1169817.0
ABLG2928_trimmed_clipped_R1_paired	5791501.0	1900723.0
ABLG2928_trimmed_clipped_R2_paired	5768073.0	1924151.0
ABLG2929_trimmed_clipped_R1_paired	5906202.0	2374320.0
ABLG2929_trimmed_clipped_R2_paired	5924552.0	2355970.0
ABLG2930_trimmed_clipped_R1_paired	8123076.0	4139857.0
ABLG2930_trimmed_clipped_R2_paired	8235058.0	4027875.0
ABLG2931_trimmed_clipped_R1_paired	4150688.0	1868992.0
ABLG2931_trimmed_clipped_R2_paired	4151827.0	1867853.0
ABLG2935_trimmed_clipped_R1_paired	13377145.0	5193242.0
ABLG2935_trimmed_clipped_R2_paired	13409896.0	5160491.0
ABLG2937_trimmed_clipped_R1_paired	8445746.0	2853416.0
ABLG2937_trimmed_clipped_R2_paired	8438576.0	2860586.0
GM100_trimmed_clipped_R1_paired	6124423.0	897220.0
GM100_trimmed_clipped_R2_paired	6085003.0	936640.0
GM101_trimmed_clipped_R1_paired	5891861.0	913194.0
GM101_trimmed_clipped_R2_paired	5849547.0	955508.0
GM102_trimmed_clipped_R1_paired	8409446.0	1319910.0
GM102_trimmed_clipped_R2_paired	8407943.0	1321413.0
GM103_trimmed_clipped_R1_paired	5777710.0	894736.0
GM103_trimmed_clipped_R2_paired	5764959.0	907487.0
GM104_trimmed_clipped_R1_paired	7634678.0	1285556.0
GM104_trimmed_clipped_R2_paired	7608552.0	1311682.0
GM105_trimmed_clipped_R1_paired	5689025.0	852335.0
GM105_trimmed_clipped_R2_paired	5656170.0	885190.0
GM106_trimmed_clipped_R1_paired	8318787.0	1345834.0
GM106_trimmed_clipped_R2_paired	8278342.0	1386279.0
GM107_trimmed_clipped_R1_paired	8018263.0	1608908.0
GM107_trimmed_clipped_R2_paired	7984199.0	1642972.0
GM108_trimmed_clipped_R1_paired	6871469.0	1012710.0
GM108_trimmed_clipped_R2_paired	6826519.0	1057660.0
GM109_trimmed_clipped_R1_paired	6088327.0	952120.0
GM109_trimmed_clipped_R2_paired	6060612.0	979835.0
GM10_trimmed_clipped_R1_paired	5682242.0	831209.0
GM10_trimmed_clipped_R2_paired	5640008.0	873443.0
GM110_trimmed_clipped_R1_paired	7025129.0	1045945.0
GM110_trimmed_clipped_R2_paired	7007569.0	1063505.0
GM111_trimmed_clipped_R1_paired	7382615.0	1366354.0
GM111_trimmed_clipped_R2_paired	7340168.0	1408801.0
GM112_trimmed_clipped_R1_paired	6646898.0	998656.0
GM112_trimmed_clipped_R2_paired	6607247.0	1038307.0
GM113_trimmed_clipped_R1_paired	6675525.0	1117387.0
GM113_trimmed_clipped_R2_paired	6640169.0	1152743.0
GM114_trimmed_clipped_R1_paired	6142096.0	947813.0
GM114_trimmed_clipped_R2_paired	6109873.0	980036.0
GM115_trimmed_clipped_R1_paired	6358141.0	1047010.0
GM115_trimmed_clipped_R2_paired	6336503.0	1068648.0
GM116_trimmed_clipped_R1_paired	6935431.0	1025219.0
GM116_trimmed_clipped_R2_paired	6912697.0	1047953.0
GM117_trimmed_clipped_R1_paired	8170142.0	1439539.0
GM117_trimmed_clipped_R2_paired	8135652.0	1474029.0
GM118_trimmed_clipped_R1_paired	8060564.0	1258677.0
GM118_trimmed_clipped_R2_paired	8017925.0	1301316.0
GM119_trimmed_clipped_R1_paired	9040349.0	1570180.0
GM119_trimmed_clipped_R2_paired	9013622.0	1596907.0
GM11_trimmed_clipped_R1_paired	6987855.0	1098270.0
GM11_trimmed_clipped_R2_paired	6960676.0	1125449.0
GM120_trimmed_clipped_R1_paired	8490951.0	1465509.0
GM120_trimmed_clipped_R2_paired	8474285.0	1482175.0
GM121_trimmed_clipped_R1_paired	8853464.0	1718339.0
GM121_trimmed_clipped_R2_paired	8825979.0	1745824.0
GM122_trimmed_clipped_R1_paired	8199680.0	1336425.0
GM122_trimmed_clipped_R2_paired	8204642.0	1331463.0
GM123_trimmed_clipped_R1_paired	7325347.0	1100126.0
GM123_trimmed_clipped_R2_paired	7307896.0	1117577.0
GM124_trimmed_clipped_R1_paired	8732490.0	1340663.0
GM124_trimmed_clipped_R2_paired	8719245.0	1353908.0
GM125_trimmed_clipped_R1_paired	8290923.0	1316889.0
GM125_trimmed_clipped_R2_paired	8274160.0	1333652.0
GM126_trimmed_clipped_R1_paired	7512407.0	1048176.0
GM126_trimmed_clipped_R2_paired	7487218.0	1073365.0
GM127_trimmed_clipped_R1_paired	6883818.0	1236114.0
