NC_082382.1 Gadus macrocephalus chromosome 1, ASM3116895v1
NC_082383.1 Gadus macrocephalus chromosome 2, ASM3116895v1
NC_082384.1 Gadus macrocephalus chromosome 3, ASM3116895v1
NC_082385.1 Gadus macrocephalus chromosome 4, ASM3116895v1
NC_082386.1 Gadus macrocephalus chromosome 5, ASM3116895v1
NC_082387.1 Gadus macrocephalus chromosome 6, ASM3116895v1
NC_082388.1 Gadus macrocephalus chromosome 7, ASM3116895v1
NC_082389.1 Gadus macrocephalus chromosome 8, ASM3116895v1
NC_082390.1 Gadus macrocephalus chromosome 9, ASM3116895v1
NC_082391.1 Gadus macrocephalus chromosome 10, ASM3116895v1
NC_082392.1 Gadus macrocephalus chromosome 11, ASM3116895v1
NC_082393.1 Gadus macrocephalus chromosome 12, ASM3116895v1
NC_082394.1 Gadus macrocephalus chromosome 13, ASM3116895v1
NC_082395.1 Gadus macrocephalus chromosome 14, ASM3116895v1
NC_082396.1 Gadus macrocephalus chromosome 15, ASM3116895v1
NC_082397.1 Gadus macrocephalus chromosome 16, ASM3116895v1
NC_082398.1 Gadus macrocephalus chromosome 17, ASM3116895v1
NC_082399.1 Gadus macrocephalus chromosome 18, ASM3116895v1
NC_082400.1 Gadus macrocephalus chromosome 19, ASM3116895v1
NC_082401.1 Gadus macrocephalus chromosome 20, ASM3116895v1
NC_082402.1 Gadus macrocephalus chromosome 21, ASM3116895v1
NC_082403.1 Gadus macrocephalus chromosome 22, ASM3116895v1
NC_082404.1 Gadus macrocephalus chromosome 23, ASM3116895v1
NC_036931.1 Gadus macrocephalus mitochondrion, complete genome
