Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ABLG10408_trimmed_clipped_R1_paired	1.3114721209702023	3.2332811949806066
ABLG10408_trimmed_clipped_R2_paired	1.399941289586004	3.5573991148240562
ABLG10409_trimmed_clipped_R1_paired	1.8948925184378123	5.627757913392399
ABLG10409_trimmed_clipped_R2_paired	1.8205164013282438	4.9517886753712075
ABLG10410_trimmed_clipped_R1_paired	1.247744214570286	2.301656187655576
ABLG10410_trimmed_clipped_R2_paired	1.2247182296778771	1.5377637024946107
ABLG10411_trimmed_clipped_R1_paired	1.520612160566015	4.389522190732723
ABLG10411_trimmed_clipped_R2_paired	1.4153154861615937	4.166812993340381
ABLG10412_trimmed_clipped_R1_paired	1.238249265288912	1.2588546919370336
ABLG10412_trimmed_clipped_R2_paired	1.1802063309784945	1.130301985290315
ABLG10413_trimmed_clipped_R1_paired	1.8532553340998923	4.903002344108839
ABLG10413_trimmed_clipped_R2_paired	1.8938378775499576	5.123079156618902
ABLG10414_trimmed_clipped_R1_paired	1.5481097297604975	3.256176257170697
ABLG10414_trimmed_clipped_R2_paired	1.5217683498778116	3.154230764263544
ABLG10415_trimmed_clipped_R1_paired	1.1912086023061925	2.0186120925070608
ABLG10415_trimmed_clipped_R2_paired	1.225211898590258	1.3520042342020377
ABLG10416_trimmed_clipped_R1_paired	1.162534162682582	1.2208464699435857
ABLG10416_trimmed_clipped_R2_paired	1.0955685584884614	1.2024364757754165
ABLG10417_trimmed_clipped_R1_paired	1.6239837134332868	4.017734435989404
ABLG10417_trimmed_clipped_R2_paired	1.6357221836807039	3.707122924307148
ABLG10418_trimmed_clipped_R1_paired	1.00561157473705	1.8472569255839217
ABLG10418_trimmed_clipped_R2_paired	0.9337217915164684	1.062213224038319
ABLG10419_trimmed_clipped_R1_paired	1.281690651781801	2.629995846467284
ABLG10419_trimmed_clipped_R2_paired	1.2806711714669887	2.4175871228761787
ABLG10420_trimmed_clipped_R1_paired	2.1555920871734355	6.5728401594970265
ABLG10420_trimmed_clipped_R2_paired	2.2416985729830508	5.6647159263529785
ABLG10421_trimmed_clipped_R1_paired	1.4370098081192586	1.5321073710075928
ABLG10421_trimmed_clipped_R2_paired	1.3316062534234372	1.3568153704102657
ABLG10422_trimmed_clipped_R1_paired	1.3733658069696706	3.696262202869403
ABLG10422_trimmed_clipped_R2_paired	1.3904339009677242	3.552058937456307
ABLG10423_trimmed_clipped_R1_paired	1.521302436423017	3.760925561990666
ABLG10423_trimmed_clipped_R2_paired	1.5475506192480841	3.0970613535541984
ABLG10424_trimmed_clipped_R1_paired	1.4333742033036758	3.08959102624138
ABLG10424_trimmed_clipped_R2_paired	1.4846969962359113	2.420142699348345
ABLG10425_trimmed_clipped_R1_paired	1.2780372923431673	2.7536565182259474
ABLG10425_trimmed_clipped_R2_paired	1.2033886797747937	2.369702410914429
ABLG10426_trimmed_clipped_R1_paired	1.7865102896128158	4.810423094767563
ABLG10426_trimmed_clipped_R2_paired	1.7306242628772617	4.786947725556667
ABLG10427_trimmed_clipped_R1_paired	1.3206915118239073	1.5183458894328483
ABLG10427_trimmed_clipped_R2_paired	1.3083368787476215	1.6911626154136048
ABLG10428_trimmed_clipped_R1_paired	1.4324911788390067	3.4236850328442543
ABLG10428_trimmed_clipped_R2_paired	1.5553609032830265	2.8401985646143633
ABLG10429_trimmed_clipped_R1_paired	1.6990911899324284	4.674992508263224
ABLG10429_trimmed_clipped_R2_paired	1.6951077181996228	4.35932303459885
ABLG10430_trimmed_clipped_R1_paired	1.4020872986624735	3.259995117808379
ABLG10430_trimmed_clipped_R2_paired	1.4618829483361109	2.7654305995963355
ABLG10431_trimmed_clipped_R1_paired	1.9746502163957542	6.29159958313286
ABLG10431_trimmed_clipped_R2_paired	1.9584991649623056	5.995836995655084
ABLG10432_trimmed_clipped_R1_paired	1.4952145510793156	4.6473591411511785
ABLG10432_trimmed_clipped_R2_paired	1.5358367745291661	4.0499399229356285
ABLG10433_trimmed_clipped_R1_paired	1.6986323606753377	5.521172892085158
ABLG10433_trimmed_clipped_R2_paired	1.7633993552352099	4.659749401897395
ABLG10434_trimmed_clipped_R1_paired	1.7450306801017095	6.361555012986784
ABLG10434_trimmed_clipped_R2_paired	1.6566416965719164	6.171555940946973
ABLG10435_trimmed_clipped_R1_paired	2.4359552788349426	8.061911813882391
ABLG10435_trimmed_clipped_R2_paired	2.3702783660744777	7.699379501796738
ABLG10436_trimmed_clipped_R1_paired	1.801545794561675	5.614344941709502
ABLG10436_trimmed_clipped_R2_paired	2.026307048660109	4.897249511966879
ABLG10437_trimmed_clipped_R1_paired	2.5354718747260114	6.963538953751341
ABLG10437_trimmed_clipped_R2_paired	2.5210258098858582	6.700420578696145
ABLG10438_trimmed_clipped_R1_paired	2.0067189162193713	5.8145607131150445
ABLG10438_trimmed_clipped_R2_paired	2.1457803880661808	5.267352193043376
ABLG10439_trimmed_clipped_R1_paired	0.906852489370763	1.0736156229626457
ABLG10439_trimmed_clipped_R2_paired	0.8909262695631895	0.7909285384192745
ABLG10440_trimmed_clipped_R1_paired	1.9892766277288285	6.913416435049354
ABLG10440_trimmed_clipped_R2_paired	2.235054199026804	6.216057160577371
ABLG10441_trimmed_clipped_R1_paired	1.8556813788585849	5.674363295211112
ABLG10441_trimmed_clipped_R2_paired	1.814226684328988	5.428429378025898
ABLG10442_trimmed_clipped_R1_paired	1.275470508964895	3.4978552953115947
ABLG10442_trimmed_clipped_R2_paired	1.3325500895951239	2.9794415645040866
ABLG10443_trimmed_clipped_R1_paired	1.9899288731674976	6.1811040182353905
ABLG10443_trimmed_clipped_R2_paired	2.0508603923092483	6.101644670294785
ABLG10444_trimmed_clipped_R1_paired	1.793207008734863	4.854755904364512
ABLG10444_trimmed_clipped_R2_paired	1.8594793447591655	4.2458468077053615
ABLG10445_trimmed_clipped_R1_paired	1.115409484124804	1.258951852493587
ABLG10445_trimmed_clipped_R2_paired	1.1538412776225875	0.9971305049719601
ABLG10446_trimmed_clipped_R1_paired	1.461964679858681	3.95795976107387
ABLG10446_trimmed_clipped_R2_paired	1.4936149465730626	3.3479103570682325
