ABLG,AlternateID.s.,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Authority,DonatingLab,Collector.ind.,CollectionDate,CruiseID,HaulID,StationID,Equipment.Gear,Locality,Region,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,Depth.m.,Temp.degC.,Habitat,Length.mm.,Weight.g.,Age.yrs.,Sex,IdentifiedBy,ReceivedAs,OriginalPreservation,SpecimenLocation,SpecimenPreservation,TissueLocation,TissuePreservation,DNAextracted,ExtractionDate,ExtractionPlate,ExtractionWell,X.DNA.ng.ul,ExtractionVolume.ul.,DNAng,ExtractionGel,DNAquality,DNAlocation,Remaining.DNA.ng.ul,RemainingVolume.ul.,RemainingDNAng,Method,PrepDate,SeqPlateName,i5barcode,i7barcode,MiseqDate,MiseqRawDataLocation,NovaseqDate,NovaseqRawDataLocation,BioProject,BioSampleAccession,Publication.s.
1927,"HS04-49,PCod2004_HcteSt_49",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A01,114,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N516,N721,,NA,NA,NA,NA,NA,NA
1928,"HS04-50,PCod2004_HcteSt_50",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,B01,104.1,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N505,N703,,NA,NA,NA,NA,NA,NA
1929,"HS04-51,PCod2004_HcteSt_51",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,C01,97.5,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N516,N721,,NA,NA,NA,NA,NA,NA
1930,"HS04-52,PCod2004_HcteSt_52",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,D01,184.03,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N513,N721,,NA,NA,NA,NA,NA,NA
1931,"HS04-53,PCod2004_HcteSt_53",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,E01,90.6,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N503,N712,,NA,NA,NA,NA,NA,NA
1932,"HS04-54,PCod2004_HcteSt_54",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,F01,207.8,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N508,N705,,NA,NA,NA,NA,NA,NA
1933,"HS04-55,PCod2004_HcteSt_55",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,G01,70.68,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1934,"HS04-56,PCod2004_HcteSt_56",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,H01,64.31,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1935,"HS04-57,PCod2004_HcteSt_57",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A02,109.72,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1936,"HS04-58,PCod2004_HcteSt_58",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,B02,>210.000,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N508,N702,,NA,NA,NA,NA,NA,NA
