Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR001969:Aspartic_peptidase_AS	8	2.768166089965398	1.1810799641395445E-7	P21328, P0CT43, P0CT40, P56817	280	18	11472	18.20952380952381	9.672577651043124E-5	9.67304490630287E-5	9.531315310606124E-5
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	8	2.768166089965398	3.409989611610304E-7	P21328, Q6R2W3, P0CT43, P0CT40	265	21	11132	16.002875112309077	2.6798931363203327E-4	2.680251834725699E-4	2.680251834725699E-4
INTERPRO	IPR001584:Integrase_cat-core	8	2.768166089965398	4.053096625447525E-7	P21328, Q6R2W3, P0CT43, P0CT40	280	21	11472	15.608163265306121	3.318935919900401E-4	1.58929766240078E-4	1.566011249764871E-4
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	8	2.768166089965398	4.320853673425127E-7	P21328, P0CT43, P0CT40, P56817	170	22	7218	15.439572192513369	2.765308713259529E-5	2.765346350992081E-5	2.5060951305865734E-5
INTERPRO	IPR021109:Peptidase_aspartic_dom_sf	8	2.768166089965398	5.821603158977216E-7	P21328, P0CT43, P0CT40, P56817	280	22	11472	14.898701298701297	4.766757914379527E-4	1.58929766240078E-4	1.566011249764871E-4
UP_SEQ_FEATURE	ACT_SITE:For protease activity	7	2.422145328719723	7.030132290165409E-7	P21328, P0CT43, P0CT40	265	15	11132	19.603522012578615	5.524159542884544E-4	2.7628419900350054E-4	2.7628419900350054E-4
GOTERM_BP_DIRECT	GO:0015074~DNA integration	8	2.768166089965398	1.4475317637205254E-6	P21328, Q6R2W3, P0CT43, P0CT40	257	25	10617	13.219610894941635	0.0013828843007138714	0.0013838403661168223	0.0013809453025893812
INTERPRO	IPR041588:Integrase_H2C2	7	2.422145328719723	1.9369220634792726E-6	P21328, P0CT43, P0CT40	280	17	11472	16.870588235294118	0.001585083132979448	3.9658479249738104E-4	3.9077402630694326E-4
GOTERM_MF_DIRECT	GO:0004190~aspartic-type endopeptidase activity	8	2.768166089965398	2.738189292320105E-6	P21328, P0CT43, P0CT40, P56817	241	28	10257	12.16004742145821	0.0011165589444572799	0.001117181231266603	0.001117181231266603
UP_KW_CELLULAR_COMPONENT	KW-0647~Proteasome	10	3.4602076124567476	3.0476876766230603E-6	O43396, P28024, P60901, A1XQU1, P55036, Q9R1P0, B0BN93, P51665, Q9V3H2, O73817	245	52	10308	8.09105180533752	1.4627853165438687E-4	1.462890084779069E-4	1.462890084779069E-4
INTERPRO	IPR024648:Pept_A2E_retrotransp	6	2.0761245674740483	3.3639748522058812E-6	P0CT43, P0CT40	280	11	11472	22.34805194805195	0.002751308232981975	5.510190807913234E-4	5.429455411460292E-4
