Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	374	8.254248510262634	2.4471504036798373E-12	P04114, Q8CGM1, B1H2T2, Q8R4K8, Q9BY76, Q5H8C1, O45734, Q9PTU6, Q6PBT8, Q86YW7, Q2UY09, Q71KU9, P15253, Q03422, P21927, Q5REP8, Q5R4N8, O35806, P47878, P22458, O88452, P05452, O88450, P28799, Q28060, P27487, Q9D236, Q7Z5P9, Q9R087, Q8CC36, Q92608, P43031, P51910, P35763, Q80Y75, Q24JV9, Q76B58, Q6PA26, Q8TE57, Q8BLI0, P20849, Q7TMA5, Q6UX06, P00774, Q6NY73, Q8NCC3, Q8VHE6, Q4RU86, Q9WV54, P13608, P05546, Q08BN9, P25155, Q9R098, Q9DBB9, Q6BEA2, O54782, Q2HXW4, Q8R121, Q8BGN6, Q8R368, P24854, P50282, Q61789, Q76LX8, P07858, Q9XWV2, Q68FA2, Q9BZF9, Q07203, Q58A48, Q9YHV4, Q9YHV3, Q9PTH3, Q969Y0, Q8BI06, P02976, Q8VBX1, Q92823, O88783, Q92820, B2GUT4, Q63416, Q1EGL2, Q9BX93, Q2VLH6, Q5U3G1, Q7Z304, Q9Y3E1, P30681, P51665, Q8IZU9, P59822, Q8BGC9, Q7YRQ8, Q62443, Q9Z0L8, Q9CXF4, Q8AWW7, O35569, Q6YND2, Q8R0W6, P05371, O88413, P02767, Q8N145, Q9Y5Z4, P47796, Q00918, Q9H8H3, F1QWZ4, Q9UM47, B5DFC9, P21180, Q7TSQ1, P97675, Q6P4M5, Q14019, Q5RED0, P12107, Q9H3N1, Q03734, Q98862, A6NNL5, Q8HXS3, P06350, P82279, Q9UBP4, P98095, Q99715, P02750, Q60487, O97557, Q5U901, Q9N2I7, P79335, P50591, P03968, P35555, Q9CXD9, Q99PS1, Q5XIG2, Q9IBG7, O02668, P10253, Q9PVW7, P15156, Q9BQI4, Q9Y251, Q14DK5, Q14393, Q92079, P06682, O43184, P98064, Q10471, P04146, Q15008, Q9R182, Q8TE73, Q56TU0, Q0V9M0, Q5M8X6, Q5R881, Q5R880, Q4V9L6, P33005, Q9JIQ8, P19879, Q9GLP1, Q9JJ22, P0C862, Q5FVH0, E2RE76, Q98967, P79755, Q5FYB1, Q6L711, B0JZP3, Q8AVH7, P97864, O95393, P70389, P11722, Q96H15, P30122, Q6V9H4, Q5RFI5, O00300, P0C0L5, A1L1V4, P83571, Q58T08, P39061, P07354, Q28E61, Q9XSC9, P98160, Q6DHK1, Q6PHG2, Q5F2F2, Q96CW9, Q60997, A4IG53, Q9R001, Q866Y3, Q6GP28, P0CF74, Q6AY61, P19221, A2AAJ9, Q95P23, Q9NRP7, A1IGX5, Q9QY48, P17716, P49767, P02679, Q8BMS2, Q80Z19, Q16363, Q2VQV9, Q8VCC9, P23492, Q8I034, P49763, Q6JV22, P29350, P15988, Q6RY07, P34024, Q00780, P51884, O19062, Q05793, Q5ZLK8, P11032, P83110, P21743, Q14993, O54824, P80646, P97298, Q9ER58, P79762, B6F1W5, Q9R0S2, P70274, Q29RQ1, T1NXB5, Q6DFV8, P01008, A5D6U8, O95995, Q4VBE4, Q16820, Q91WR8, P78509, P13944, Q8BUG2, Q03350, Q9DGJ3, Q40375, P48806, Q504N0, P16301, P42025, Q95M17, Q95M12, P01837, Q91041, P00745, P00743, Q2M385, P23188, O75629, Q7SZK7, Q8N302, Q8BLU0, Q9ESN4, Q9D6X6, Q15506, Q9WUW3, A4D0S4, P80010, P70699, Q9QZS0, Q9BSW2, O57521, P41047, Q4LDE5, Q9JHI0, O57524, B1WB06, P97280, Q8NDA2, Q9H4G4, Q7SXF6, O43451, Q1LUM3, Q1LW01, Q16842, O42364, Q90X49, P31230, P27092, P16636, P27093, Q96QV1, P58239, Q7SIG3, Q08BB2, Q2Q0I9, Q03692, O60469, Q5RB37, P14222, Q99542, Q9GLY5, P08582, Q3T052, Q6P4A8, P85857, A5HAK0, Q5VTL7, P34059, P79729, P20908, Q8C9J3, O93484, P13497, Q8N0X2, P23735, P35033, P35031, B5X186, Q00725, Q8K482, Q13231	4345	662	10023	1.3032314811273853	2.894982698009585E-9	2.8949789275532476E-9	2.8851903259385284E-9
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	390	8.607371441182963	3.3185933043900125E-12	P04114, Q8CGM1, Q53RD9, B1H2T2, Q8R4K8, Q9BY76, Q5H8C1, O45734, Q9PTU6, Q6PBT8, Q86YW7, Q2UY09, Q8IXL6, P15253, Q71KU9, P21927, Q03422, Q5REP8, Q5R4N8, O35806, P22458, O88452, P47878, P05452, O88450, P28799, P27487, O73755, Q9D236, Q7Z5P9, Q6EMK4, Q9R087, P48960, Q8CC36, P43031, P35763, P51910, Q24JV9, Q76B58, Q6PA26, Q8TE57, P32017, A0A0A0MT36, Q6P1S2, Q8BLI0, P20849, Q7TMA5, Q6UX06, Q6NY73, P00774, P47989, Q8NCC3, Q4RU86, Q92838, P13608, Q9WV54, Q08BN9, P25155, Q9R098, Q9DBB9, O75487, Q6BEA2, O93390, P0C1T0, Q8NF86, O54782, Q99102, Q2HXW4, Q8R121, P24854, Q92954, Q61789, P50282, P07858, Q76LX8, Q68FA2, Q07203, Q58A48, Q9Y6R7, Q9YHV3, P15120, Q9PTH3, Q99574, Q969Y0, Q8BI06, P02976, Q8VBX1, Q92823, Q9ULZ9, O88783, B2GUT4, Q92820, P00593, Q63416, Q1EGL2, Q9BX93, Q2VLH6, Q5U3G1, Q7Z304, P30681, Q8IZU9, P59822, Q8BGC9, Q9Z0L8, Q7YRQ8, Q62443, O35568, O35569, Q8NI35, Q8R0W6, P05371, P02767, P15291, O88413, Q8N145, P47796, Q00918, F1QWZ4, B5DFC9, P21180, Q7TSQ1, P97675, Q6P4M5, Q5RED0, P12107, Q9H3N1, Q03734, Q98862, A6NNL5, P55918, Q8HXS3, P06350, Q9UBP4, P98093, P82279, P98095, Q99715, H2N0D4, P02750, Q60487, O97557, Q5U901, Q6VYA3, Q9N2I7, P79335, P50591, P35555, P03968, Q9CXD9, Q99PS1, Q5XIG2, Q9IBG7, P15941, P10253, O02668, Q9PVW7, P15156, Q9BQI4, Q14DK5, Q9Y251, Q14393, P06682, Q92079, O43184, P09954, P98064, Q10471, Q9R182, Q56TU0, Q0V9M0, Q9EQP5, P36633, Q5M8X6, Q5R881, Q5R880, Q4V9L6, Q9JIQ8, P19879, Q9GLP1, Q9JI03, P0C862, Q5FVH0, E2RE76, Q98967, P79755, Q5FYB1, Q6L711, B0JZP3, Q8AVH7, P97864, O95393, P70389, P11722, Q96H15, P30122, Q5RFI5, Q6V9H4, O00300, P0C0L5, A1L1V4, Q9XSC1, Q58T08, P39061, P07354, Q28E61, Q9XSC9, P98160, Q6DHK1, Q6PHG2, Q5F2F2, P02680, Q60997, A4IG53, Q9R001, Q866Y3, Q6GP28, P0CF74, Q6AY61, A2AAJ9, P14448, Q95P23, O08841, A1IGX5, Q02960, P17716, Q2KIG3, P49767, P02679, Q8BMS2, Q80Z19, Q16363, Q2VQV9, Q8VCC9, Q8I034, P49763, Q6JV22, P15988, Q6RY07, P34024, Q00780, P51884, Q05793, O19062, Q5ZLK8, P11032, P11153, A0A0C4DH26, Q05546, P83110, O18767, P21743, Q14993, O54824, P80646, P02460, P97298, Q9ER58, P79762, Q9R0S2, P70274, Q7SIB2, Q6IE52, Q29RQ1, T1NXB5, P15086, Q6DFV8, P01008, P02457, A5D6U8, P20785, P26584, Q4VBE4, Q9HB40, Q16820, O42146, Q9H9S5, Q91WR8, P78509, Q8BUG2, P13944, Q9DGJ3, Q40375, Q504N0, P16301, P48806, Q95M17, Q9XTA3, Q91041, P00745, P14480, P07154, P00743, Q02818, Q2M385, P23188, P43236, O75629, Q8N302, Q8BLU0, Q9ESN4, Q7Z5L3, Q9D6X6, Q9WUW3, A4D0S4, P80010, P70699, Q9QZS0, P41047, Q4LDE5, Q9JHI0, Q92485, O57524, B1WB06, Q8NDA2, P97280, Q7SXF6, O43451, Q1LUM3, Q1LW01, Q16842, Q9GZU5, O42364, Q90X49, P31230, P27092, P16636, P27093, Q96QV1, P58239, Q08BB2, Q7SIG3, Q2Q0I9, Q03692, O60469, P14222, Q5RB37, Q99542, Q9GLY5, Q3T052, P85857, I2C090, A5HAK0, Q5VTL7, P79729, P20908, O93484, P13497, P23735, P35033, P35031, B5X186, Q00725, Q8K482, Q13231, O75718	4029	698	9322	1.2927692566998144	2.157068967889586E-10	2.157085647853508E-10	2.0243419156779077E-10
SMART	SM00526:H15	36	0.7945265945707349	1.7633852661529855E-11	Q8WML3, Q5SSJ5, P06350, Q149N8	2456	37	5797	2.296548991988731	1.3225420647522412E-8	1.322538949614739E-8	1.322538949614739E-8
INTERPRO	IPR005819:H1/H5	34	0.7503862282056941	1.8412900837792553E-11	Q5SSJ5, P06350	4504	34	10404	2.3099467140319714	1.3548238742000507E-7	1.354821243644776E-7	1.354637114636398E-7
INTERPRO	IPR005818:Histone_H1/H5_H15	36	0.7945265945707349	3.890135486329357E-11	Q8WML3, Q5SSJ5, P06350, Q149N8	4504	37	10404	2.2475157217608372	2.862359201882825E-7	1.4311808454205705E-7	1.430986338646254E-7
UP_SEQ_FEATURE	DOMAIN:H15	36	0.7945265945707349	3.944806067218205E-11	Q8WML3, Q5SSJ5, P06350, Q149N8	4365	37	10078	2.2464196154917806	3.800430334877092E-7	3.800426165158019E-7	3.800426165158019E-7
UP_KW_MOLECULAR_FUNCTION	KW-0044~Antibiotic	35	0.7724564113882145	1.0060055587742645E-9	P02264, A5HAK0, P06350	2890	37	6565	2.1488356868979706	1.1367862773337123E-7	1.1367862814149189E-7	1.0261256699497499E-7
UP_KW_MOLECULAR_FUNCTION	KW-0929~Antimicrobial	36	0.7945265945707349	1.2327789342038327E-8	A6NK06, P02264, A5HAK0, P06350	2890	40	6565	2.044463667820069	1.3930392342986764E-6	6.965200978251655E-7	6.287172564439547E-7
GOTERM_MF_DIRECT	GO:0030527~structural constituent of chromatin	41	0.904877510483337	1.2547845331325996E-8	P02264, Q803H4, Q6PC60, Q5SSJ5, P06350, Q28DR4, Q9U281, P02301, Q9WV59	4024	48	9291	1.9721825298210736	3.103034021600948E-5	3.103082150436919E-5	3.101827365903786E-5
UP_KW_PTM	KW-1015~Disulfide bond	651	14.367689251820789	3.928224068196501E-8	P04114, Q29RV1, Q8BXA0, P49263, A5GFW8, P52794, Q923L3, Q8R4K8, Q708S8, Q9ER04, Q708S5, P48055, Q5H8C1, Q9NR61, P20718, Q9PTU6, Q07113, Q2UY09, Q8IXL6, P15253, Q71KU9, Q1LWC2, P21927, Q90670, Q64151, P05452, Q6DI48, Q6DEM5, P28799, P27487, O73755, Q9D236, Q6PRD1, Q7Z5P9, Q8MIB3, Q8CC36, A3KNS2, Q24JV9, P30872, A0A0A0MT36, Q8NBQ7, Q8BLI0, P20849, Q9JM61, Q6NY73, P40313, P0C605, P46094, Q9UJ37, Q9I918, P25155, Q8AXB3, P05307, Q8NFY4, Q8R2E9, Q8WXA8, P56817, O93390, O93274, A2ASS6, P15589, Q64487, E9QJ73, Q8NF86, Q99102, Q2HXW4, Q5IS37, Q90773, Q99JB3, Q91987, Q92954, Q867B2, Q91736, P50282, P07858, P53790, Q07203, Q9BSY4, P20701, P16210, P15120, P26008, Q8VBX1, Q2NNR5, Q92823, Q9ULZ9, P41984, Q6BBL6, B2GUT4, Q9Y5Y6, P25095, Q9Y584, Q60943, P49069, P97303, P0C870, P30681, Q8IZU9, D3ZQJ0, Q7YRQ8, Q9NT68, O35568, Q8TAB3, O35569, Q8K4C8, Q9JJV9, Q91W90, Q9JI35, P07550, P05371, P08882, P15291, Q9DBX3, Q3KTM2, Q00918, Q92536, Q969P0, P07314, F1QWZ4, P30555, Q9UM47, B5DFC9, P31646, Q9UM44, P97675, P70296, Q3U507, P97798, Q9H3N1, B5X3C1, Q6PCJ9, P82279, H2N0D4, Q9H3M7, Q7Z408, P05106, Q6VYA3, P49288, Q99PS1, Q2L6L1, O02667, Q6RVG2, Q9IBG7, Q9PVW7, Q71SG7, Q9JI18, P15156, Q4G072, Q63081, Q1L8L9, Q2TBM7, Q14DK5, Q9Y251, P06682, O89049, O43184, P09954, Q10471, Q0V9M0, Q90328, Q9EQP5, Q05586, Q9CQ52, Q5M8X6, Q9NPR2, Q5M872, Q9JIQ8, Q5R5C5, Q8IWK6, P19879, P0C7U4, Q9JJ22, Q60935, Q5SZI1, Q91X88, Q99KG5, Q68CP4, O95279, Q6L711, P0C5E3, Q9Y663, F1NWE3, O95393, Q9GJS9, O00300, Q8HZK2, Q7Z7M0, P09093, Q96PQ0, F1RD40, O70536, Q3ZC25, Q6DGJ3, Q68VK5, Q96CW9, Q6IS24, P02680, Q866Y3, Q6GP28, Q6AY61, Q9JHE5, Q8BG60, A2AAJ9, P14448, Q6IE75, P13596, Q6UWW8, O35632, Q8BMC0, A1IGX5, P17716, A0JPB1, O55026, Q2KIG3, P49767, P02679, Q7SXB3, A0N0X6, Q5RD64, Q80Z19, Q15399, Q16363, Q2VQV9, Q8I034, P49763, Q6JV22, P58158, Q8BRK9, Q9Z0J5, P51884, O19062, Q5RCR5, Q99624, P11032, P11153, Q8UUY8, P83110, A5X5Y0, P48303, Q00779, B9VR26, Q5EA41, P51650, P02460, Q62470, Q5F362, Q7SIB2, Q29451, Q8HWB0, Q6IE52, Q29RQ1, T1NXB5, Q8AXZ4, P82251, Q9ESG5, P01008, P02457, P27615, P26584, Q8JHF2, Q6DI06, Q7T047, Q4VBE4, P08911, Q6DEI8, O42146, P56399, B0V1P1, Q9H9S5, P07949, O42266, Q99572, P15208, P18841, P13388, P16301, Q8NBN3, Q95M17, O35600, Q95M12, A5PJX7, P14480, Q2M385, P61622, Q8BT51, P23188, Q9D6X6, Q6DEJ6, Q9WU60, Q9WUW3, Q8R4F1, P80010, Q62053, P70699, Q8C419, Q62179, Q9QZS0, P15101, Q6V0K7, Q4LDE5, Q9JHI0, Q9QZS6, Q9YHX4, Q90744, Q7SXF6, Q7LFX5, Q8N766, O43451, Q90617, O02827, P16636, Q96QV1, P58239, Q07498, Q7SIG3, P14222, Q99542, A7XUY5, Q6P4A8, Q9NTQ9, B1PHQ8, P85857, Q9I9M5, Q8K249, Q9WU84, Q9D658, P24392, P20908, P34059, P13497, Q8NBK3, Q6V0I7, Q99895, P35033, P35031, Q8K482, Q80WN8, Q8CGM1, Q53RD9, P56476, Q9BY76, O45734, P70665, Q86YW7, Q03422, Q9I9C3, Q99928, Q5R4N8, O35806, P22458, O88452, Q9C0C4, P47878, Q9PTE6, O88572, Q4GZT4, P35408, Q63504, Q6EMK4, P48960, O42596, P43031, Q9W6V2, Q9UQQ1, P35763, P51910, Q8TE57, Q6AXL3, A5PMY6, Q7TMA5, Q6UX06, Q9BYV9, P46530, P00774, P47989, Q13255, Q8NCC3, P01660, P13608, Q9WV54, Q9R098, P56497, P43141, Q6BEA2, P0C1T0, O75121, Q99J21, P21109, Q0P6D2, Q92154, Q9UDY8, Q5XXA6, P32250, Q8BGN6, P24854, Q0P5B7, P01895, Q9YI66, P09479, Q5R601, P23780, Q60457, Q61789, Q76LX8, Q6GQK9, Q9Y6R7, Q9YHV4, Q9YHV3, Q9UBV7, Q9PTH3, P01648, A0A5B9, Q5PQL7, P23654, P56391, O88783, P00593, D3ZPX4, Q2VLH6, Q5U3G1, P59822, Q62443, Q92093, P23468, Q9NYQ7, A3KPA0, P47796, Q95LH1, Q8K4T1, P81999, P54149, P21180, Q7TSQ1, Q9IB86, P35565, P12107, O75694, P36894, Q924A5, Q61003, Q1RLQ5, P14770, P35331, Q5RFW0, Q9UBP4, P98093, P01666, P98095, Q99715, Q17770, P01663, P02750, Q8BGR2, A4IFW2, Q63633, P80204, Q5U901, P56213, Q9N2I7, P35555, P14733, P15941, P10253, Q568N4, Q6UX15, P27808, O08893, P08069, Q9NY28, Q14393, Q92079, Q5RH71, P98064, Q9R182, P36633, Q5R880, P33005, Q9GLP1, P68563, O93526, Q9BY79, Q98967, P98073, Q5RES1, Q8BH27, P11607, P79755, Q91009, O18750, Q8AVH7, O95832, P29371, P11722, Q96H15, P30122, Q6V9H4, Q1KL86, P0C0L5, Q32KH9, A1L1V4, Q9XSC1, Q58T08, Q8BHJ7, P39061, P07354, Q9XSC9, P98160, Q12797, Q60997, Q9R001, P0CF74, O13076, Q99087, P19221, Q03145, Q07984, Q96FL9, Q9BVH7, O08841, Q9WUK7, Q7YR43, Q9BYN0, Q6AYF4, Q9QYE2, P47900, Q8BMS2, Q8VCC9, A8E0Y8, O75648, Q9R013, Q6RY07, Q05793, A0A0C4DH26, Q05546, O18767, O95858, Q9JJ74, P21743, O54947, Q14993, Q8N0U8, P80646, Q14995, Q9ER58, P79762, Q9R0S2, Q8WXH0, O08858, Q6PF24, Q3UQN2, Q71H61, Q7T3D1, P15086, Q5SUC9, Q6DFV8, Q924S4, A4IG32, P45701, Q13797, Q5GIT4, A0A0G2KTI4, Q16820, F8W2M8, O35054, P78509, P13944, P30044, A4FUW8, Q7SXW6, Q03350, Q9DGJ3, Q27960, Q504N0, Q9UQD0, Q9XTA3, P01837, Q91041, P00745, P07154, P00743, O97817, Q5MD89, A0A0R4IMY7, P22897, Q8WYQ3, Q13683, P43236, Q91049, Q8BLU0, Q96PD2, Q61527, A4D0S4, P12864, P34993, O35161, P41047, Q78EA7, Q92485, O97827, Q8R454, Q8NDA2, P22304, P47824, Q6P5W5, Q9JHY1, P79732, Q1LW01, P51046, Q16842, O08807, P29274, Q15878, P27092, P27093, G3V0H7, Q8VEK0, Q28824, O60469, Q9UIW2, P08582, Q3T052, I2C090, Q5R6L8, A5HAK0, Q8SPH5, Q60417, P98107, P30372, Q5RDH6, O93484, P20108, P00516, P23735, Q5RH02, Q6UXK2, O43909, P23975, B0S5N4, Q13231	2886	1324	6790	1.1568217648278072	1.4141596924588384E-6	7.308338744593915E-7	6.715770738275489E-7
