Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	189	14.81191222570533	1.3223163998707876E-28	Q8CGM1, P79119, Q9NWH9, Q53RD9, Q6L711, Q8R4K8, Q9UHF1, Q5H8C1, Q8AVH7, P70389, O45734, P30122, Q86YW7, Q80WM5, A1L1V4, P15253, P39061, O35806, Q6UXX5, P98160, O73755, Q9D236, Q9R087, A3KPW9, Q8BLY1, Q6NZ13, P48960, Q9R001, P43031, Q8CC36, P0CF74, A2AAJ9, P41366, Q01635, Q8BLI0, P20849, Q28618, Q6UX06, P49767, P00774, A6H584, Q8BMS2, Q04906, Q4RU86, Q8I034, Q92838, Q99K41, P13608, P15988, Q86XS5, Q00780, P51884, O19062, O08852, A0A0C4DH26, Q99102, Q2HXW4, O18767, P24854, Q14993, Q4V9Y5, P50282, Q9W7J1, Q6IE52, P59384, P15120, Q9PTH3, Q8VBX1, P02457, Q92823, P20785, Q9ULZ9, P49747, Q1EGL2, Q9BX93, Q4VBE4, O42146, Q91WR8, P13944, Q1RMR1, Q5XGE9, Q8IZU9, Q8BGC9, Q62443, Q9P2N4, Q9XTA3, Q91041, A9JRB3, F1QWZ4, Q8BLU0, O75339, Q9H239, Q96PD5, Q8BMF8, Q80TR4, P12107, Q4LFA9, Q61245, Q6PCB0, Q03734, Q9JHI0, O57524, P55918, P06350, Q9Y240, Q9UBP4, Q99715, Q8NDA2, P06596, H2N0D4, Q1LUM3, P08217, Q1LW01, Q16842, Q7Z7G0, Q9N2I7, P50591, Q9DGH0, P16636, Q96QV1, Q9IBG7, P15941, Q2Q0I9, Q7SIG3, Q03692, O60469, Q8IZJ3, P14222, Q99542, Q9Y5C1, Q9BQI4, Q9UBQ6, Q56TU0, O15072, Q9WUQ1, O95428, Q9EQP5, P20908, P79729, Q640N1, O93484, A2AED3, P19879, Q9GLP1, Q9JI03, P35031, B5X186, Q00725, Q5JWF2, Q7M3E1, Q14563, Q8VEA6, A6QLI0, Q13231	1140	698	9322	2.214168300407178	6.47935035936686E-27	6.47935035936686E-27	5.421497239470229E-27
INTERPRO	IPR005819:H1/H5	33	2.586206896551724	1.6848568434459513E-27	P06350	1268	34	10404	7.9637223974763405	4.550798334147514E-24	4.550798334147514E-24	4.5069920562179195E-24
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	346	27.11598746081505	8.499915845918471E-27	Q5DRB2, P49263, Q9NPB9, P79119, Q8CGM1, Q53RD9, Q923L3, P52794, Q8R4K8, P56476, Q5H8C1, P48055, Q5DRB8, O45734, P70302, Q86YW7, Q9JL56, Q9NY47, Q5F2N2, Q99928, Q6IR74, Q63ZI0, O35806, O88572, O73755, Q8BLY1, Q8MIB3, P48960, O42596, P43031, Q8CD54, Q2HZ96, Q5F4B8, P15388, Q8BLI0, P20849, Q6UX06, P46530, Q9UMZ3, P46896, A6H584, Q13255, Q92838, Q99K41, Q9I918, P13608, P05546, P97687, P0DTE5, Q8NFY4, P54758, Q86XS5, Q64487, P21109, Q99102, Q2HXW4, Q5IS37, P32250, Q53EL9, P24854, P45433, Q0P5B7, Q8N3S3, P55291, P09479, Q91736, Q8VI51, P50282, Q6Y288, Q9JME2, P11678, Q9W7J1, Q64375, P13731, Q9YHV4, Q58CY8, Q80TL1, P15120, Q05017, Q5ZJQ8, Q5PQL7, P23654, Q8VBX1, Q5ZM65, Q92823, Q9ULZ9, P41984, Q8R508, Q7T3S5, Q12860, D3ZPX4, Q1EGL2, O00461, Q9Y5I4, Q1RMR1, Q5XGE9, Q8IZU9, Q8BGC9, Q62443, Q9P2N4, Q8TAB3, O60883, Q9JJV9, Q9DBX3, A8MVW5, Q95LH1, P07314, Q8CGQ8, F1QWZ4, Q9UM47, P30555, O75339, Q9UM44, Q5U3H3, Q96L42, Q80TR4, P12107, Q924A5, Q4LFA9, Q9W735, Q61245, Q61003, Q03734, O88407, Q5SZK8, Q00589, Q02643, P55918, Q05910, Q5RFW0, Q60716, Q9UBP4, Q6AZD1, Q99715, H2N0D4, Q7Z408, A4IFW2, P80204, P05106, P80202, Q9QWE9, Q9N2I7, Q7Z7G0, P49288, O93512, Q50LG9, O95490, O02667, P55803, B5X4H8, P15941, Q9JI18, Q9P0L9, Q7Z410, Q6DJ83, Q9BQI4, Q9UBQ6, Q9NY28, P08069, Q5RH71, Q8VHH7, O15072, Q9WUQ1, Q9EQP5, P28472, Q9Y257, Q05586, Q5M872, A2AED3, Q80X72, Q8TCT9, C6KFA3, Q5R5C5, P19879, Q9GLP1, Q8HXQ5, Q60935, Q5SZI1, Q9BY79, Q7M3E1, P98073, A1L504, Q9WVC5, Q8VEA6, Q3SZR9, Q15375, P57727, Q9NWH9, O95279, Q9Y662, Q28691, F1NWE3, P70389, Q9GJS9, P30122, Q2KJH6, Q08C93, A1L1V4, P09093, Q96PQ0, Q8BHJ7, P39061, P83337, Q6UXX5, P98160, Q6IS24, Q6GQU6, Q8AYM7, Q64319, Q9R001, O13076, Q99087, P51511, B2RU80, P13596, P79749, Q6UWW8, Q01635, Q02846, P51639, Q9WUK7, O55026, P49767, Q7SXB3, Q99MA2, Q15399, Q99999, Q04906, Q69D47, Q8I034, Q9QYE5, E9PZ19, Q8QFX6, P15988, Q794F9, O08966, Q86UE6, P41233, Q8C4N4, O08852, Q924C9, O88956, Q3TTY0, Q99068, P48303, O18767, Q62904, B9VR26, P54001, P49190, O08858, Q5F362, Q6UXG2, Q5VU97, Q63564, Q6IE52, O43825, P0C548, P59384, Q7Z442, Q9ESG5, Q4ZHA6, P02457, P20785, Q9UP95, P49747, Q63931, Q8BLV3, Q5GIT4, Q4VBE4, P13944, Q5T4T1, Q5NDE4, Q03350, O88819, P13388, Q80UM7, Q9UQD0, P61622, O89103, Q9UI40, Q8BLU0, Q9NXG6, P53453, Q9WU60, P70691, Q9H239, Q96PD2, Q96PD5, Q8R4F1, Q8BMF8, Q9Z2I6, Q8C419, Q5RAD6, Q62179, Q6PCB0, Q9NY97, Q9UHC9, Q78EA7, Q9JHI0, Q9Z0E8, P0DTE4, P22309, Q38PU4, O97827, Q8NDA2, Q6V4S5, Q6P5W5, Q1LUM3, P51046, Q16842, Q6R5N8, P29274, Q15878, Q9DGH0, Q8TEQ8, P16636, Q96QV1, Q2Q0I9, O60469, Q8IZJ3, Q80ZU9, P14222, Q99542, Q9UIW2, Q9Y5C1, Q811A3, O54902, Q61985, Q9UPU3, O93484, Q640N1, Q6V0I7, D4ACX8, B5X186, Q5R4I8, Q14563, A6QLI0, Q6GN01	1244	1673	10078	1.67546026065581	3.459465749288818E-23	3.459465749288818E-23	3.435665984920246E-23
UP_KW_PTM	KW-1015~Disulfide bond	296	23.197492163009404	1.380291335457286E-26	P49263, Q9NPB9, Q29RV1, P79119, Q8CGM1, Q53RD9, Q923L3, P52794, Q8R4K8, P56476, Q5H8C1, P48055, O45734, Q86YW7, P15253, Q9NY47, Q5F2N2, Q99928, O35806, O88572, O73755, Q9D236, Q8BLY1, Q8MIB3, P48960, O42596, Q8CC36, P43031, Q2HZ96, Q8BLI0, P20849, Q6UX06, Q9BYV9, P46530, P00774, Q13255, P0C605, Q99K41, Q9I918, P13608, P97687, Q8NFY4, P54758, A2ASS6, Q86XS5, Q64487, P21109, Q0P6D2, Q99102, Q2HXW4, Q5IS37, P32250, Q53EL9, P24854, Q0P5B7, Q4V9Y5, P09479, Q91736, P50282, A1XQX0, P11678, Q9W7J1, Q9YHV4, P15120, Q9PTH3, Q5PQL7, P23654, Q8VBX1, Q92823, Q9ULZ9, P56391, P41984, Q8R508, Q12860, D3ZPX4, Q1RMR1, Q5XGE9, Q8IZU9, D3ZQJ0, Q62443, Q9P2N4, Q8TAB3, O60883, Q9JJV9, Q9DBX3, A8MVW5, A3KPA0, Q95LH1, P07314, F1QWZ4, Q9UM47, P30555, O75339, Q9UM44, Q80TR4, P12107, Q924A5, Q4LFA9, Q61245, Q1RLQ5, Q61003, Q02643, Q05910, Q5RFW0, Q9Y240, P01666, Q9UBP4, Q99715, P06596, H2N0D4, P01663, P51683, Q7Z408, A4IFW2, P80204, P05106, Q9N2I7, P49288, Q50LG9, Q9CWB7, O95490, O02667, P55803, Q2L6L1, Q9IBG7, P15941, Q9JI18, Q63081, Q9P0L9, Q7Z410, Q6DJ83, Q9UBQ6, Q9NY28, P08069, Q6ZWQ0, Q5RH71, O15072, Q9WUQ1, Q90328, Q9EQP5, P28472, Q05586, Q9CQ52, Q5M872, C6KFA3, Q5R5C5, P19879, Q9GLP1, Q32NM7, Q60935, Q5SZI1, Q9BY79, Q7M3E1, P98073, Q5RES1, Q15375, P57727, Q9NWH9, O95279, Q9Y662, Q6L711, Q28691, Q9UHF1, Q8AVH7, F1NWE3, Q9GJS9, P30122, Q80WM5, A1L1V4, P09093, Q96PQ0, Q8BHJ7, P39061, P83337, P98160, Q6IS24, Q6GQU6, Q6NZ13, Q8AYM7, Q64319, Q9R001, O13076, P0CF74, Q99087, A2AAJ9, P51511, P13596, P79749, P41366, Q6UWW8, Q01635, Q02846, Q9WUK7, O55026, P49767, Q7SXB3, Q8BMS2, Q15399, Q04906, Q8I034, Q9QYE5, E9PZ19, Q8QFX6, P51884, O19062, Q794F9, P41233, O08852, A0A0C4DH26, P48303, O18767, Q9JJ74, Q14993, B9VR26, G4SLH0, O08858, Q5F362, Q6UXG2, Q6IE52, Q71H61, P59384, Q9H4A6, Q7Z442, Q9ESG5, P02457, Q9UP95, P49747, Q63931, Q5GIT4, Q7T047, Q4VBE4, O42146, P13944, Q03350, O88819, P13388, Q9UQD0, Q9XTA3, P01837, Q91041, P61622, O89103, Q8BLU0, A9JRB3, P53453, Q9WU60, Q9H239, Q96PD2, Q96PD5, Q8R4F1, Q8BWJ4, Q8C419, Q62179, Q6PCB0, Q9UHC9, Q78EA7, Q9JHI0, O97827, Q8NDA2, Q6V4S5, Q6P5W5, P08217, Q1LW01, Q9HCU0, P51046, Q16842, P29274, Q15878, P16636, Q96QV1, Q7SIG3, Q28824, O60469, Q8IZJ3, P14222, Q99542, Q9UIW2, Q9Y5C1, P39880, Q5R6L8, O95428, P20908, O93484, Q6V0I7, P00516, P00514, P35031, Q14563, A6QLI0, Q13231	882	1324	6790	1.7210952860499689	3.588757472188944E-25	3.726786605734672E-25	3.036640938006029E-25
UP_KW_MOLECULAR_FUNCTION	KW-0044~Antibiotic	34	2.664576802507837	6.764129285464297E-26	P06350, Q6NYD1	838	37	6565	7.198929239502032	5.9524337712085815E-24	5.9524337712085815E-24	5.140738256952866E-24
UP_KW_PTM	KW-0325~Glycoprotein	366	28.683385579937305	7.513050335773795E-26	Q5DRB2, P49263, Q9NPB9, P79119, Q8CGM1, Q53RD9, Q923L3, P52794, P26261, Q8R4K8, P56476, Q5H8C1, P48055, Q5DRB8, O45734, P70302, Q86YW7, Q9JL56, Q9NY47, Q5F2N2, Q99928, Q6IR74, Q63ZI0, O35806, O88572, O73755, Q9R087, Q6PC60, Q8BLY1, Q8MIB3, P48960, O42596, P43031, Q8CD54, Q2HZ96, Q5F4B8, P15388, Q8BLI0, P20849, Q6UX06, P46530, Q9UMZ3, P46896, A6H584, Q13255, Q92838, Q99K41, Q9I918, P13608, P05546, P97687, P0DTE5, Q8NFY4, P54758, Q86XS5, Q64487, P21109, Q99102, Q2HXW4, Q9UQB3, Q5IS37, P32250, Q53EL9, P24854, P45433, Q0P5B7, Q8N3S3, P55291, P09479, Q9BXS9, Q91736, Q8VI51, P50282, Q6Y288, Q9JME2, P11678, Q9W7J1, Q64375, P13731, Q9YHV4, Q58CY8, Q80TL1, P15120, Q05017, Q5ZJQ8, Q5PQL7, P23654, Q8VBX1, Q5ZM65, Q92823, Q9ULZ9, P41984, Q8R508, Q7T3S5, Q12860, D3ZPX4, Q1EGL2, O00461, Q9Y5I4, Q1RMR1, Q5XGE9, Q8IZU9, Q8BGC9, Q62443, Q9P2N4, Q8TAB3, O60883, Q9JJV9, Q9DBX3, A8MVW5, Q9HBL0, Q95LH1, P07314, Q8CGQ8, F1QWZ4, Q9UM47, P30555, O75339, Q9UM44, Q5U3H3, Q96L42, Q80TR4, P12107, Q924A5, Q4LFA9, Q9W735, Q61245, Q61003, Q03734, O88407, Q5SZK8, Q00589, Q02643, P55918, Q05910, Q5RFW0, Q60716, Q9Y240, Q9UBP4, Q6AZD1, Q99715, H2N0D4, P23356, P51683, Q7Z408, A4IFW2, P80204, P05106, P80202, Q9QWE9, Q9N2I7, Q7Z7G0, P49288, O93512, Q50LG9, O95490, O02667, P55803, B5X4H8, P15941, Q9JI18, Q9P0L9, Q7Z410, Q6DJ83, Q9BQI4, Q9UBQ6, Q9NY28, P08069, Q5RH71, Q8VHH7, O15072, Q9WUQ1, Q9EQP5, P28472, Q9Y257, Q05586, Q5M872, A2AED3, Q80X72, Q8TCT9, C6KFA3, Q5R5C5, P19879, Q9GLP1, Q8HXQ5, Q60935, Q5SZI1, Q9BY79, Q7M3E1, P98073, A1L504, Q9WVC5, Q8VEA6, Q3SZR9, Q15375, P12938, P57727, Q9NWH9, O95279, Q9Y662, Q28691, F1NWE3, P70389, Q9GJS9, P30122, Q2KJH6, O88737, Q08C93, A1L1V4, P09093, Q96PQ0, Q8BHJ7, P39061, P83337, Q6UXX5, P98160, Q6IS24, Q6GQU6, Q8AYM7, Q64319, Q9R001, O13076, Q99087, A2AAJ9, P51511, B2RU80, P13596, P79749, Q6UWW8, Q01635, Q02846, P51639, Q9WUK7, O55026, P49767, Q7SXB3, Q99MA2, Q8BMS2, Q15399, Q99999, Q04906, Q69D47, Q8I034, Q9QYE5, E9PZ19, Q8CIW6, Q8QFX6, P15988, P51884, Q794F9, O08966, Q86UE6, P41233, Q8C4N4, O08852, Q924C9, O88956, Q3TTY0, Q99068, P48303, O18767, Q62904, B9VR26, P54001, P49190, O08858, Q5F362, Q6UXG2, Q5VU97, Q63564, Q6IE52, O43825, P0C548, P59384, Q7Z442, Q9ESG5, Q4ZHA6, P02457, P20785, Q9UP95, P49747, Q63931, Q8BLV3, Q5GIT4, Q4VBE4, P18163, P13944, Q5T4T1, Q5NDE4, Q03350, O88819, P13388, Q80UM7, Q9UQD0, P61622, O89103, Q9UI40, Q8BLU0, Q9NXG6, P53453, Q9WU60, P70691, Q9H239, Q96PD2, Q96PD5, Q8R4F1, Q8BMF8, Q9Z2I6, Q8C419, Q5RAD6, Q62179, Q6PCB0, Q9NY97, Q9UHC9, Q78EA7, Q9JHI0, Q9Z0E8, P0DTE4, P22309, Q38PU4, O97827, Q8NDA2, Q6V4S5, Q6P5W5, Q1LUM3, Q9HCU0, P51046, Q16842, Q6R5N8, P29274, Q15878, Q9DGH0, Q8TEQ8, P16636, Q96QV1, Q2Q0I9, O60469, Q8IZJ3, Q80ZU9, P14222, Q99542, Q9UIW2, Q9Y5C1, Q811A3, O54902, Q61985, Q9UPU3, O93484, Q640N1, Q6V0I7, Q61191, D4ACX8, B5X186, Q5JWF2, Q5R4I8, Q14563, A6QLI0, Q6GN01, Q13231	882	1793	6790	1.5714551297373383	1.953393087301187E-24	1.0142617953294625E-24	8.264355369351175E-25
INTERPRO	IPR005818:Histone_H1/H5_H15	33	2.586206896551724	8.94862733447519E-25	P06350	1268	37	10404	7.31801517605934	2.417024243041749E-21	1.2085121215208745E-21	1.1968789059860568E-21
UP_SEQ_FEATURE	DOMAIN:H15	33	2.586206896551724	1.3246575707133442E-24	P06350	1244	37	10078	7.225471452159555	5.391356312803311E-21	2.6956781564016555E-21	2.6771329504116687E-21
UP_KW_MOLECULAR_FUNCTION	KW-0929~Antimicrobial	34	2.664576802507837	1.2871560331520344E-23	P06350, Q6NYD1	838	40	6565	6.65900954653938	1.1326973091737903E-21	5.663486545868952E-22	4.891192925977731E-22
GOTERM_CC_DIRECT	GO:0005576~extracellular region	171	13.401253918495298	5.33558601037002E-23	Q8CGM1, P79119, Q9NWH9, Q6L711, Q8R4K8, Q9UHF1, Q5H8C1, Q8AVH7, P70389, O45734, P30122, Q86YW7, Q80WM5, A1L1V4, P15253, P39061, O35806, Q6UXX5, P98160, Q9D236, Q9R087, A3KPW9, Q8BLY1, Q6NZ13, Q9R001, P43031, Q8CC36, P0CF74, Q80Y75, A2AAJ9, Q8BLI0, P20849, Q6UX06, P49767, P00774, A6H584, Q8BMS2, Q8VHE6, Q04906, Q4RU86, P23492, Q8I034, Q99K41, P13608, P05546, P15988, Q00780, P51884, O19062, Q2HXW4, P24854, Q14993, Q4V9Y5, P50282, B6F1W5, P11678, Q9W7J1, Q9YHV4, P59384, Q9PTH3, Q8VBX1, Q92823, P49747, Q1EGL2, Q9BX93, Q4VBE4, Q91WR8, P13944, Q5XGE9, Q8IZU9, Q03350, Q8BGC9, Q62443, P01837, Q91041, Q9Y5Z4, A9JRB3, F1QWZ4, Q8BLU0, Q9UM47, Q96PD5, Q8BMF8, Q80TR4, P12107, Q4LFA9, Q61245, Q03734, Q9JHI0, O57524, P06350, Q9Y240, Q9UBP4, Q99715, Q8NDA2, P06596, Q1LUM3, P08217, Q1LW01, Q16842, Q7Z7G0, Q9N2I7, P50591, Q9DGH0, P16636, Q96QV1, Q9IBG7, Q2Q0I9, Q7SIG3, Q03692, O60469, Q8IZJ3, P14222, Q99542, Q9Y5C1, Q9BQI4, Q9UBQ6, P04146, Q56TU0, O15072, Q9WUQ1, O95428, P20908, P79729, Q640N1, O93484, A2AED3, P19879, Q9GLP1, P35031, B5X186, Q00725, Q5JWF2, Q14563, Q8VEA6, A6QLI0, Q13231	1230	662	10023	2.104896470414855	3.4361173906782926E-20	3.4361173906782926E-20	3.3454124285020024E-20
