Cold (0degC)	Cool (5degC)	Warm (16degC)
132445546	132445529	132445441
132445564	132445564	132445529
132445568	132445625	132445536
132445574	132445789	132445635
132445583	132445960	132445664
132445592	132445961	132445788
132445603	132446048	132445973
132445617	132446052	132446077
132445654	132446141	132446122
132445700	132446277	132446138
132445729	132446450	132446141
132445779	132446599	132446160
132445789	132446603	132446222
132445816	132447050	132446239
132445961	132447052	132446243
132446005	132447392	132446246
132446016	132447754	132446251
132446027	132447896	132446269
132446034	132447972	132446274
132446037	132448616	132446276
132446039	132449192	132446395
132446079	132449199	132446474
132446132	132449475	132446619
132446141	132449790	132446691
132446148	132449880	132446736
132446154	132449991	132446847
132446244	132450220	132446855
132446274	132450334	132446866
132446410	132450431	132446954
132446417	132451023	132447036
132446439	132451378	132447052
132446454	132451380	132447285
132446469	132451415	132447373
132446497	132451430	132447428
132446599	132451506	132447531
132446600	132452315	132447655
132446603	132452376	132447711
132446639	132452448	132447813
132446650	132453002	132447955
132446652	132453826	132448144
132446706	132454257	132448278
132446719	132454335	132448352
132446847	132454424	132448379
132446860	132454547	132448389
132446866	132454563	132448390
132447036	132454566	132448418
132447050	132454798	132448509
132447072	132454958	132448549
132447278	132455272	132448589
132447285	132455657	132448623
132447321	132455853	132448660
132447381	132455900	132448683
132447398	132456010	132448769
132447416	132456026	132448981
132447428	132456640	132448982
132447475	132457377	132449115
132447488	132457835	132449120
132447501	132457874	132449199
132447510	132457988	132449435
132447524	132458265	132449485
132447527	132458739	132449521
132447532	132458812	132449550
132447547	132458971	132449560
132447589	132459298	132449618
132447594	132459750	132449764
132447595	132460659	132449780
132447610	132460815	132449832
132447638	132461001	132449845
132447641	132462222	132449847
132447702	132462789	132449889
132447723	132462814	132450014
132447757	132463330	132450204
132447798	132463359	132450287
132447811	132463690	132450376
132447813	132463954	132450637
132447902	132464012	132450663
132447999	132464016	132450773
132448139	132464247	132450790
132448204	132464560	132450903
132448235	132464763	132450917
132448239	132465096	132451051
132448243	132465644	132451183
132448300	132465763	132451213
132448410	132466073	132451297
132448416	132466285	132451366
132448449	132467024	132451378
132448454	132467205	132451380
132448458	132467314	132451432
132448465	132467339	132451465
132448466	132467891	132451548
132448476	132468091	132451600
132448477	132468152	132451682
132448524	132468700	132451726
132448535	132468728	132451758
132448565	132468889	132452056
132448600	132468972	132452078
132448623	132469181	132452233
132448649	132469262	132452254
132448673	132469443	132452315
132448681	132469840	132452455
132448749	132469929	132452552
132448791	132469939	132452580
132448836	132470418	132452744
132448837	132470424	132452865
132448880	132470463	132452867
132448899	132470561	132453091
132448994	132470562	132453400
132448995	132470565	132453407
132449120	132470702	132453427
132449156	132470973	132453457
132449378	132471008	132453581
132449441	132471030	132453587
132449443	132471059	132453602
132449462	132471739	132453689
132449473	132472046	132453742
132449486	132472329	132453813
132449512	132472535	132453824
132449513	132472717	132453918
132449544	132472768	132453980
132449580	132472999	132454122
132449674	132473288	132454145
132449692	132473300	132454183
132449705	132473420	132454185
132449722	132473524	132454262
132449730	132473581	132454272
132449832	132473888	132454291
132449851	132474116	132454389
132449893	132474644	132454515
132449932	132475059	132454574
132449936	132475526	132454733
132449966	132475686	132454856
132449979	132475693	132454901
132450006	132475710	132454912
132450019	132475826	132454913
132450044	132475864	132454969
132450046		132455373
132450047		132455700
132450066		132455731
132450098		132455752
132450105		132455799
132450106		132455979
132450127		132455981
132450170		132456010
132450171		132456026
132450204		132456068
132450207		132456111
132450219		132456187
132450431		132456368
132450446		132456594
132450638		132456595
132450694		132456640
132450726		132457138
132450753		132457251
132450765		132457253
132450814		132457301
132450817		132457320
132450862		132457341
132450870		132457346
132450895		132457364
132450922		132457425
132450951		132457499
132451021		132457574
132451023		132457663
132451072		132457742
132451092		132457822
132451125		132457838
132451169		132457840
132451188		132457917
132451275		132457981
132451293		132458055
132451316		132458060
132451327		132458245
132451378		132458285
132451427		132458832
132451436		132458889
132451592		132458937
132451600		132458972
132451656		132459245
132451726		132459323
132452067		132459489
132452087		132459596
132452098		132459620
132452147		132459622
132452156		132459705
132452179		132459759
132452232		132459860
132452233		132460020
132452257		132460026
132452271		132460145
132452313		132460654
132452352		132460659
132452371		132460736
132452385		132460795
132452395		132460813
132452408		132460844
132452454		132460863
132452499		132461001
132452572		132461247
132452606		132461264
132452656		132461396
132452684		132461405
132452709		132461515
132452711		132461570
132452723		132461607
132452819		132461628
132452823		132461644
132452848		132461727
132452855		132461763
132452870		132461823
132452955		132461826
132452965		132461834
132453002		132461883
132453033		132462420
132453043		132462462
132453068		132462628
132453074		132462696
132453302		132462698
132453323		132462702
132453415		132462712
132453425		132462787
132453480		132462805
132453488		132462921
132453498		132462968
132453506		132463025
132453538		132463102
132453551		132463122
132453571		132463139
132453581		132463527
132453585		132463690
132453689		132463945
132453832		132463949
132453879		132463962
132453880		132464016
132453914		132464064
132453916		132464080
132453925		132464185
132453943		132464191
132453975		132464197
132453978		132464288
132453988		132464382
132453996		132464498
132454005		132464569
132454008		132464623
132454018		132464866
132454090		132465019
132454104		132465089
132454140		132465127
132454157		132465129
132454160		132465134
132454296		132465193
132454309		132465202
132454335		132465204
132454347		132465473
132454355		132465901
132454361		132466060
132454421		132466158
132454425		132466400
132454436		132466987
132454458		132467024
132454460		132467166
132454514		132467169
132454528		132467367
132454547		132467373
132454550		132467440
132454558		132467470
132454563		132467532
132454566		132467587
132454581		132467730
132454595		132467927
132454596		132467990
132454602		132467996
132454657		132468051
132454672		132468091
132454696		132468400
132454708		132468406
132454906		132468513
132454928		132468611
132455016		132468659
132455072		132468720
132455141		132468830
132455146		132468992
132455178		132469126
132455220		132469197
132455279		132469328
132455284		132469558
132455408		132469840
132455424		132469979
132455484		132470064
132455492		132470076
132455516		132470214
132455553		132470235
132455593		132470340
132455597		132470486
132455657		132470545
132455665		132470579
132455739		132470748
132455780		132471031
132455781		132471036
132455789		132471059
132455793		132471147
132455853		132471246
132455880		132471255
132455882		132471532
132455887		132471536
132455900		132471566
132455975		132471603
132456026		132471679
132456043		132471747
132456094		132471778
132456108		132471831
132456126		132471836
132456189		132471925
132456221		132471990
132456227		132471993
132456252		132472027
132456279		132472263
132456286		132472265
132456352		132472287
132456395		132472375
132456460		132472426
132456493		132472472
132456524		132472528
132456531		132472567
132456547		132472658
132456553		132472688
132456578		132472777
132456585		132472849
132456588		132472993
132456597		132473002
132456916		132473018
132457125		132473121
132457129		132473146
132457134		132473147
132457148		132473160
132457152		132473461
132457259		132473542
132457289		132473810
132457300		132473887
132457301		132474081
132457317		132474102
132457322		132474188
132457347		132474399
132457356		132474524
132457360		132474561
132457454		132474612
132457470		132474652
132457571		132474777
