Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
132445564	132445546	132445625	132445529	132445529	132445441
132445574	132445568	132445960	132445564	132445635	132445536
132445583	132445603	132445961	132445789	132445788	132445664
132445592	132445617	132446277	132446048	132446138	132445973
132445654	132445700	132446599	132446052	132446141	132446077
132445729	132445779	132446603	132446141	132446160	132446122
132445789	132445816	132447050	132446450	132446239	132446222
132446005	132445961	132447052	132447392	132446269	132446243
132446039	132446016	132447754	132447896	132446274	132446246
132446141	132446027	132447972	132449199	132446395	132446251
132446274	132446034	132448616	132449475	132446691	132446276
132446417	132446037	132449192	132449880	132447036	132446474
132446454	132446079	132449790	132449991	132447052	132446619
132446469	132446132	132450431	132450220	132447285	132446736
132446650	132446148	132451380	132450334	132447373	132446847
132446652	132446154	132451430	132451023	132447428	132446855
132446706	132446244	132451506	132451378	132447711	132446866
132446719	132446410	132452315	132451415	132448278	132446954
132446847	132446439	132453826	132452376	132448379	132447531
132446860	132446497	132454257	132452448	132448389	132447655
132447278	132446599	132454335	132453002	132448418	132447813
132447321	132446600	132454958	132454424	132448509	132447955
132447398	132446603	132455657	132454547	132448589	132448144
132447416	132446639	132455853	132454563	132448623	132448352
132447428	132446866	132456010	132454566	132448660	132448390
132447527	132447036	132457835	132454798	132449120	132448549
132447532	132447050	132457988	132455272	132449435	132448683
132447547	132447072	132458265	132455900	132449485	132448769
132447610	132447285	132458739	132456026	132449845	132448981
132447638	132447381	132458971	132456640	132449847	132448982
132447641	132447475	132459298	132457377	132449889	132449115
132447702	132447488	132459750	132457874	132450014	132449199
132447723	132447501	132460815	132458812	132450204	132449521
132447811	132447510	132463359	132460659	132450663	132449550
132447902	132447524	132463690	132461001	132450903	132449560
132447999	132447589	132464012	132462222	132451183	132449618
132448410	132447594	132464016	132462789	132451297	132449764
132448449	132447595	132464247	132462814	132451600	132449780
132448476	132447757	132464763	132463330	132452056	132449832
132448535	132447798	132465096	132463954	132452233	132450287
132448600	132447813	132466073	132464560	132452455	132450376
132448673	132448139	132467024	132465644	132452552	132450637
132448749	132448204	132467314	132465763	132452580	132450773
132448791	132448235	132467891	132466285	132452867	132450790
132448880	132448239	132468700	132467205	132453407	132450917
132448899	132448243	132468728	132467339	132453581	132451051
132448994	132448300	132468972	132468091	132453587	132451213
132449120	132448416	132469262	132468152	132453742	132451366
