Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q10739	Q1LXK5	Q9H6D7	Q10739	Q8NCF5	Q1LXK5	Q10739	Q9CZE3	Q9H6D7
Q8NCF5	Q10739	Q5ZLE9	A0A1D5NS60	A0JMF7	Q8NCF5	Q99541	Q17QU4	Q5ZLE9
A0A1D5NS60	Q8NCF5	Q9CZE3	S4X0Q8	Q5RAZ4	A0JMF7	P86347	Q8BGA9	Q6IVG4
S4X0Q8	A0JMF7	Q17QU4	O54782	Q7ZWE7	Q7SY54	Q2KIY2	Q2KIY2	A0JMF7
O54782	Q7SY54	Q6IVG4	Q9BD50	Q8BGA9	P56389	Q86XP1	P61222	Q15546
A0JMF7	Q99541	A0JMF7	Q2KIY2	Q803A7	Q01804	O15534	K7NA32	B1H1H3
Q5RAZ4	P86347	Q8BGA9	Q86XP1	Q15546	O88202	Q5R754	O15534	P86347
Q7ZWE7	Q2KIY2	Q15546	V5JFY4	P56389	O54879	Q9H3P2	Q9H160	Q28F39
Q8BGA9	P56389	B1H1H3	P23468	A2BIG9	Q08334	Q8BLI0	Q8BLI0	P56389
Q803A7	Q01804	P86347	O15534	Q5VZ89	Q6TFL3	Q80TS3	Q01167	O88202
Q9BD50	O88202	Q2KIY2	Q70EK8	P61222	Q68CZ6	E7FCN8	E9QAG8	Q99L27
Q15546	Q86XP1	Q28F39	Q9UNQ0	P51791	Q3SZJ4	Q96PQ0	Q6EIG3	Q5U318
Q2KIY2	O54879	P56389	Q9H3P2	Q1W1Y5	Q9BDY9	Q9FPH3	Q3UPH7	O54879
P56389	Q08334	P61222	Q6P5U7	O54879	G1TGF1	P52731	P0C6F1	A2VDC7
A2BIG9	O15534	O88202	Q8BLI0	Q08334	Q5R1W5	Q5ZL67	Q8VC51	P42681
