Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q9P2R6	Q9NUA8	P30416	Q9NXG6	Q9NXG6	Q12891
Q9NXG6	Q5T6C5	Q9EPW2	Q12891	Q9NUA8	Q6AZB8
Q6AZB8	Q86UP8	Q17QK6	Q6AZB8	Q6NZF1	Q86UP8
Q86UV5	A5PJX7	Q63ZU0	Q7TNK0	Q80ZW0	Q8WU20
Q5R579	Q8WU20	P68373	Q5NBY9	Q9EPW2	B5XBP5
P47900	P30416	Q5U3T0	P25114	Q9EPW2	Q7LHG5
Q7TNK0	Q9EPW2	Q63504	Q9BQI4	P28020	P14381
P26008	A4Z944	Q1LXK4	Q5U3H3	Q91453	Q17QK6
O00499	Q7ZYP0	Q9H0H5	Q6AZB8	Q5R802	P52907
P69478	Q6GN01	Q6ZQE4	Q9QXL2	O77808	Q66H84
Q6UX65	Q17QK6	A2ALS5	Q91453	O70351	Q9BQI4
P50637	Q91W39	Q95M17	Q91766	P15941	Q5U3H3
Q5NBY9	Q6DEI8	O57656	Q9GKY7	Q91309	P49892
Q7LHG5	Q9D958	G1TGF1	O54902	P79729	Q6AZB8
P14381	Q6DRP2	P20664	P15941	Q9H2S9	Q9QXL2
Q5RCK9	Q6AZB8	Q15306	Q8BHD8	P98157	Q63ZU0
P25114	P68373	P53996	P83337	O88407	Q91766
Q8AY32	O15060	Q6PH37	P80204	Q1KKV8	Q9GKY7
Q9UHH9	O70351	Q9Y105	P79729	Q9UIM3	P68373
Q9BQI4	Q9CQ40	Q63633	O88407	Q63ZL3	Q7TQK0
Q5U3H3	Q66I14	Q6UFZ9	Q9D305	Q6NZH6	O54902
Q91453	P62309	Q6NYM1	Q9JHI0	B0S5Y3	Q99490
Q91766	Q9UPG8	A0A1B0GVZ9	Q5GH72	Q5U374	Q6IQE1
Q52KL1	O02751	Q08BH7	P56101	Q9UBC3	O43772
Q9GKY7	Q6AYD3	Q2EEY0	Q13231	B5DGK1	P21333
Q9IA79	Q63504	Q9BUV8	Q13231	Q91YL3	Q5U3T0
O14595	B0S5N4	Q9H5Z1	H2K887	Q8TD16	P62309
P35072	Q1LXK4	Q4U5R4	P13264	Q9H857	P83337
P15941	Q15125	Q8VCL5	B7ZS37	Q61029	Q8K078
Q9NS37	Q9H175	Q99LJ2	Q5ZJX4	Q6RY07	O02751
Q8BHD8	Q5ZLC8	Q01433	O09000	H2K887	P21860
P80204	Q7ZW16	B0V2S2	Q921C5	P13264	Q6AYD3
P79729	Q6ZQE4	O77808	Q80XP9	P14770	A2T928
Q9H2S9	Q8K1N4	P24802	O94876	A0A0G2JUG7	Q9H0H5
O88407	A5PLL7	Q05513	Q7ZUS4	Q80XP9	B5XDD3
A2BGD5	Q5R7Z5	Q6ZVH7	O19062	Q7ZUS4	Q5RDM6
Q6NZQ6	Q9UBC3	P48728	Q6P0T2	Q3UA37	P56101
Q9D305	P56101	Q9Y3Z3	Q1JPZ3	P41214	Q80U23
Q6DHE8	Q80U23	Q5RC69	Q9UJQ4	Q69D48	Q0IHM1
P97314	Q0IHM1	P49263	Q6ZSZ6	D3ZBP4	Q99624
P21328	Q4QRD7	Q62735	Q2TBR6	Q6NYM1	Q9NWT8
Q63ZL3	Q6GL52	Q9H237	P98160	Q9JK71	Q90WI4
Q9H0H5	Q9H857	Q924H5	Q28161	Q9JL19	Q9QZN4
Q6NS52	A2ALS5	A8WIP6	P29274	Q01433	Q16YG0
B5XDD3	Q9NWT8	Q8VD04	P98175	P50282	Q08BB2
Q9JHI0	Q16YG0	Q05B83	Q9XSC1	O43306	Q13231
Q6DFQ7	Q08BB2	Q90977	Q9BXS9	P54996	Q95M17
Q9BYN0	Q95M17	P20825	Q641K5	O77808	Q92625
B0S5Y3	O57656	O92815	E7FGY2	Q7Z6Z7	Q66PY1
Q5U374	P54996	P04323	A8E0R9	A2AN08	P20664
Q5GH72	Q9BUQ8	Q9QZS5	P50282	Q9YHT4	Q5ZJX4
Q9BXW6	G1TGF1	Q99L45	P50282	Q99NG0	P53996
B5DGK1	P20664	Q5R5W2	Q6UXG2	Q9P215	P11654
Q61029	Q9ULU4	P52209	Q9UQD0	Q6E2N3	P98095
Q13231	Q15306	Q3SYU1	Q5I598	P19013	Q921C5
Q5XTS1	P53996	Q6NUF4	Q9NQG5	Q5THJ4	Q5JSP0
Q8R5J9	P11654	P49718	Q96PX9	Q4KLM5	P55094
Q08874	O15213	O70157	Q8IZD4	Q9H0J4	Q9Y105
H2K887	Q9Y105	Q9Y535	O73700	Q9Z2V5	Q63633
Q66HY7	Q3UA37	Q9WV85	Q14563	A8WIP6	Q6UFZ9
Q92730	Q4L1J4	Q9GLP1	Q4LFA9	Q9Y5Y6	Q6DG99
Q5ZJX4	Q63633	Q6WCQ1	Q5T0D9	Q8VD04	Q9TSM5
