Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003730~mRNA 3'-UTR binding	6	22.22222222222222	3.7437372800929386E-7	F1QB54, A5A6H4, Q9DED4, Q9CY58, Q5RF83	24	76	11265	37.05592105263158	2.1339078810078682E-5	2.133930249652975E-5	2.133930249652975E-5
SMART	SM00360:RRM	6	22.22222222222222	1.3651117445313583E-5	F1QB54, A5A6H4, Q9DED4, P23588, Q5RF83	15	172	7051	16.39767441860465	1.6380111060521063E-4	1.63813409343763E-4	1.63813409343763E-4
INTERPRO	IPR000504:RRM_dom	6	22.22222222222222	2.8329532339859737E-5	F1QB54, A5A6H4, Q9DED4, P23588, Q5RF83	27	181	12735	15.635359116022098	0.0026312160941596163	0.0017079577330295457	0.0017079577330295457
INTERPRO	IPR035979:RBD_domain_sf	6	22.22222222222222	4.90636646325654E-5	F1QB54, A5A6H4, Q9DED4, P23588, Q5RF83	27	203	12735	13.94088669950739	0.004552637933991188	0.0017079577330295457	0.0017079577330295457
INTERPRO	IPR012677:Nucleotide-bd_a/b_plait_sf	6	22.22222222222222	5.509541074288857E-5	F1QB54, A5A6H4, Q9DED4, P23588, Q5RF83	27	208	12735	13.60576923076923	0.005110908987252305	0.0017079577330295457	0.0017079577330295457
GOTERM_MF_DIRECT	GO:0003723~RNA binding	9	33.33333333333333	1.9596360229765495E-4	F1QB54, A5A6H4, Q9DED4, Q12788, P23588, Q9H840, Q9CY58, Q5RF83	24	861	11265	4.906358885017421	0.011108855774617399	0.005584962665483167	0.005584962665483167
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	7	25.925925925925924	2.4831820886500643E-4	F1QB54, A5A6H4, Q9DED4, P23588, Q9CY58, Q5RF83	14	611	7751	6.342880523731587	0.003718305591699278	0.0037247731329750964	0.0037247731329750964
UP_SEQ_FEATURE	DOMAIN:RRM	5	18.51851851851852	4.45200134371777E-4	A5A6H4, Q9DED4, P23588, Q5RF83	26	181	12339	13.109859753506163	0.04184788479372159	0.04273921289969059	0.04140361249657526
SMART	SM00361:RRM_1	3	11.11111111111111	4.895249563219551E-4	F1QB54, Q9DED4, Q5RF83	15	17	7051	82.95294117647059	0.0058585093659658805	0.0029371497379317305	0.0029371497379317305
INTERPRO	IPR003954:RRM_dom_euk	3	11.11111111111111	5.349375913772185E-4	F1QB54, Q9DED4, Q5RF83	27	17	12735	83.23529411764706	0.048544638439301124	0.01243729899952033	0.01243729899952033
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)	7	25.925925925925924	0.0029997812127321353	Q8JZM7, A5A6H4, Q12788, P23588, Q0II29, Q9CY58	26	739	12339	4.4953159154782965	0.25054709540152553	0.07772642023094532	0.0752974695987283
UP_SEQ_FEATURE	REGION:Globular B domain	2	7.4074074074074066	0.004048251053695069	A5A6H4	26	2	12339	474.5769230769231	0.32255090852729407	0.07772642023094532	0.0752974695987283
UP_SEQ_FEATURE	REGION:Nuclear targeting sequence	2	7.4074074074074066	0.004048251053695069	A5A6H4	26	2	12339	474.5769230769231	0.32255090852729407	0.07772642023094532	0.0752974695987283
UP_SEQ_FEATURE	REGION:Globular A domain	2	7.4074074074074066	0.004048251053695069	A5A6H4	26	2	12339	474.5769230769231	0.32255090852729407	0.07772642023094532	0.0752974695987283
INTERPRO	IPR021662:HnRNPA1/A2_C	2	7.4074074074074066	0.004079226976829943	A5A6H4	27	2	12735	471.66666666666663	0.3162370487020114	0.06322801814086412	0.06322801814086412
INTERPRO	IPR034278:RBM3/CIRBP_RRM	2	7.4074074074074066	0.004079226976829943	Q9DED4, Q5RF83	27	2	12735	471.66666666666663	0.3162370487020114	0.06322801814086412	0.06322801814086412
INTERPRO	IPR034845:hnRNPA1_RRM1	2	7.4074074074074066	0.006112835717906979	A5A6H4	27	3	12735	314.44444444444446	0.43460936065804745	0.07106171522066863	0.07106171522066863
