Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0677~Repeat	364	33.76623376623377	1.5079063178023513E-10	Q8K4P0, Q9BYX4, Q95LD9, Q49AM3, Q6ZPR6, P55265, Q15417, Q8R5M8, O43432, Q9BZ95, G3XA57, P15924, Q7ZVR1, Q28056, Q3U7R1, Q9H2Y7, Q5NCX5, P15253, O08550, Q63184, G3V893, Q7TPH6, Q96N46, Q8C0P7, Q6NY64, Q14571, Q1LYG0, P20397, P08045, A6QR55, Q15542, Q99PP9, J3S6Y1, P28799, P04004, Q5PQN1, Q12830, A5A6H4, Q9UGM5, Q9UGM3, Q9Y2X7, Q61329, O73875, B4ZIX8, O75131, Q32LC9, Q99LG2, Q9NW13, Q811F1, Q17RY0, Q6NYG8, Q5ZIQ3, Q8BP00, Q9UMZ2, Q8CHN8, D3ZHV2, Q8IWZ3, A7MB63, Q5R5A0, A5D8S5, P25155, Q8UVC1, Q5PPI1, Q5ZLC6, P79134, Q9Z0R4, O97758, Q1L994, E6ZIJ1, Q32LU1, Q6BEA0, Q8VDM6, Q61098, Q99MY8, Q8BIA4, Q64487, Q99M87, Q9DCD2, P54756, Q1LUA6, Q32NH8, O18806, Q9BYE2, Q9P2D1, Q95LB0, O15534, O14686, Q8N567, O88792, Q8BJ37, B8K1W2, Q9H936, Q9UI26, Q80XC6, Q62638, O95460, O77775, Q7TQG0, Q96EQ9, Q3UP38, P12763, Q6UVK1, Q9NRJ4, Q8WUJ3, P27216, Q08DQ0, P80303, P60815, Q14005, Q14126, Q16787, Q3TYL0, Q5VUG0, Q5F450, P13667, P52756, Q9ERU2, Q7YRQ8, Q9Z1N9, O75581, Q5R8Z6, Q8BZZ3, Q8NI36, P51793, Q80X90, A8E0R9, Q5R5U3, Q14CX7, Q5R664, Q4KM14, Q8R054, P98095, Q15113, P22027, P08775, P02750, Q9ULT8, Q3L8U1, A4IFW2, P05107, Q08DN7, O94844, O94966, Q6GQN7, Q03172, Q00341, Q8BY46, Q9PVW7, B0BMY1, Q8VIJ6, F1Q8J0, O35345, Q6IQX0, Q9BZK7, Q92079, O14647, P98064, Q8TE73, Q61103, Q9BXW6, Q8N7N5, A2AHJ4, P52429, Q8NEZ4, Q53EP0, Q86UP3, Q03164, Q64181, Q5RDQ6, P35670, A4IGH4, Q6P5M2, P79755, P07228, P48450, O95714, G5E5X0, P98157, D3ZJP6, Q8TF05, Q6TGZ5, Q8WMV3, Q5ZLN5, Q95168, Q7Z353, P17153, Q90275, P79880, P25686, Q922R8, P98160, Q80WM9, Q6PHG2, Q86UV5, A1L1F4, Q91ZS8, Q86W92, Q864U1, O75533, O75534, Q9UHG0, Q01085, Q01082, Q9QXS1, Q6PDQ2, P79749, F1R5H6, Q9Y6H5, Q9JHU4, Q7SYD5, A3KPN8, O60293, P07247, Q6A051, Q09472, P98133, Q19AZ8, Q5TAX3, Q811M5, A3KMV2, Q96IR2, Q5R6X7, Q8TBF5, Q5F479, B2KF05, O57415, Q92793, G3V8T1, Q99PF5, O57539, B0FYY4, O60264, P0C6F1, Q6PJI9, Q6ZW49, P42566, Q5R328, Q9H0J9, Q8CI51, P29122, Q11005, Q96JB8, Q03001, O42611, Q5F364, P35222, Q58CQ5, P14543, Q01611, O60711, P68403, Q5F488, Q8WXX0, P07224, P02454, Q28C55, Q63ZU3, Q6GN15, A6QLV3, Q969H0, Q4KKX4, O08908, Q96P50, A4IHD2, Q6P5F9, Q6PCR7, Q4KLI9, P50851, Q9JIL5, Q7RTR2, Q8BZ03, Q28377, A2AJ77, Q8IYJ3, Q96P48, P38570, Q4ACU6, Q5EXX3, Q8JFR5, Q5ZIL4, O60244, Q96PU5, Q4R683, Q02819, Q8WYQ5, P27546, Q9UJW8, P61625, Q28141, Q5RC80, Q501X2, Q9WUW3, Q6ZRS2, Q5T200, Q8CG71, Q98TW1, B6RSP1, Q4VBT5, D3Z7P3, Q8C547, Q5W041, Q4LDE5, A2VDN6, Q8VHQ9, Q9HD67, Q5ZKQ3, P08132, Q5PQJ7, B1AWL2, Q13332, Q15751, P46735, Q5MNZ9, Q9NVD7, Q13459, P49321, Q9TUQ3, Q8K2F0, Q5RDG4, Q9UIF9, E7FEV0, Q28278, Q9NU22, P50995, Q8CEC6, Q52KG4, P40189, A5D6R3, Q1LYE3, Q04656, Q96AE4, O13035, Q9QWN8, Q9BZ29, Q90610, Q14678, P51176, Q6MGA9, Q567C6, Q8IWT3, Q5VTL7, E1C231, Q5RBD3, P13497, B6ZLK2, Q5ZIJ9, Q8CGF7, Q63HQ2, O14936, A0A6P8HC43, Q61191, Q5PYH7, O13046, O13168, P08478	750	3283	8730	1.2905756929637526	4.825299271260519E-9	4.825300216967524E-9	4.825300216967524E-9
GOTERM_CC_DIRECT	GO:0005615~extracellular space	101	9.369202226345083	2.0832453776561587E-7	P04114, P79755, O46427, P58781, P00787, P98160, Q04519, Q922R8, Q6PHG2, P28799, F1QQI2, P04004, Q9UGM5, Q9UGM3, P05619, P02679, Q8CHN8, O60293, P08697, Q5R5A0, P80217, A5A6P2, Q9IA95, Q90935, Q99K41, P98133, P25155, Q19AZ8, Q5TAX3, Q9R013, Q811M5, O18806, Q6P734, Q9NZ08, Q6GQ29, P29122, P55058, P11678, P13731, P12763, P15086, P27216, P07224, P02454, P80303, Q14005, Q5U367, P13667, P30044, Q12907, Q58D55, Q7YRQ8, P15169, P16301, Q95121, Q02819, P15291, A7YWG4, P49614, P06744, P08649, Q7TSQ1, P22273, Q9WUW3, P15979, Q9Y2L6, Q6AYS4, Q4LDE5, Q8R054, P98093, P28648, A8K2U0, P08650, Q15113, P01024, P02750, Q8IWU5, P50591, Q9TUQ3, A5PJN2, Q5RDG4, Q99KQ4, Q28278, P40189, P07092, Q95460, B8JLQ9, Q92079, P98064, Q9R182, P51176, Q3V6R6, P13497, Q9CPT4, O09114, Q64181, A0A6P8HC43, Q6NYZ4, Q9UPV0	1044	708	12254	1.674424205034959	1.468580297026012E-4	1.4686879912475918E-4	1.4582717643593112E-4
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	10	0.927643784786642	3.4338406268091254E-7	P79755, P08649, Q9WUW3, Q9TUQ3, P98093, P08650, Q6P734, Q811M5, P01024, Q9PVW7	1011	14	11709	8.272573124205172	0.0011922051964177172	0.0011929162337534901	0.0011922294656281284
UP_KW_BIOLOGICAL_PROCESS	KW-0180~Complement pathway	10	0.927643784786642	4.962242480196055E-7	P79755, P08649, Q9WUW3, Q9TUQ3, P98093, P08650, Q6P734, Q811M5, P01024, Q9PVW7	663	14	7339	7.906701141995259	7.492707286949063E-5	7.492986145096044E-5	7.096006746680359E-5
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	119	11.03896103896104	1.4449086178407113E-6	P04114, P79755, Q7M456, P15253, Q32KH7, P58781, P00787, P98160, Q04519, Q6PHG2, J3S6Y1, P28799, F1QQI2, P04004, Q9UGM5, Q9UGM3, Q9R087, A4IG53, P05619, P14448, Q24JV9, P12025, P02679, Q8CHN8, P08697, Q5R5A0, P80217, A5A6P2, Q9IA95, Q90935, Q99K41, P98133, P25155, B8XY56, Q811M5, O18806, Q29437, Q9BYE2, Q95LB0, Q6P734, Q5R328, Q6GQ29, P29122, P55058, Q61703, Q11005, O95460, P12763, P14543, P15086, Q8WUJ3, P07224, P02454, P80303, Q14005, Q9HB40, Q16787, Q5U367, Q7YRQ8, P15169, Q28377, P16301, Q95121, Q02819, P15291, A7YWG4, P06744, P08649, Q7TSQ1, Q2L6K8, P22273, Q9WUW3, P70699, Q6AYS4, Q4LDE5, Q8R054, P98093, P28648, A8K2U0, P08650, P97280, P98095, Q15113, P01024, P02750, Q1LUM3, P0DOX8, Q8IWU5, P55002, P50591, Q9TUQ3, A5PJN2, Q99KQ4, Q9PVW7, Q28278, P40189, P07092, Q9GLY5, Q95460, O13035, Q92079, P98064, Q9R182, P51176, P30932, Q5VTL7, Q3V6R6, P13497, Q9CPT4, O09114, Q64181, Q63HQ2, A0A6P8HC43, Q71R50, Q6NYZ4, P21158	979	903	11396	1.5340127166623116	8.524603639314954E-5	8.524960845260197E-5	8.380469983476125E-5
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	72	6.679035250463822	1.0836658706042573E-5	P04114, P80303, Q14126, Q9HB40, Q16787, O00506, Q9H3K2, Q7Z3U7, P15924, P52758, P30044, Q12907, O95398, Q8TE68, P51589, Q28377, Q8IYJ3, Q96PU5, P31939, P15291, Q99805, Q9Y5Z4, P98160, P28799, P34913, P06744, P04004, Q9Y3R5, Q12830, Q9UGM5, Q9UGM3, Q86WA9, Q01082, O75131, Q5W041, P02679, P28648, A8K2U0, Q13332, Q15113, P01024, P08697, Q5R5A0, P02750, Q9GZU7, P00491, Q86T65, P05107, O75844, P12955, Q5TAX3, P50591, P15428, P35475, P50995, P40189, Q7Z6Z7, Q86X29, Q9NZ08, P27448, P26433, Q9Y496, Q9BXW6, Q687X5, P11678, P35222, P14543, Q9H299, Q6UVK1, Q92542, P27216, Q9H3G5	1044	500	12254	1.690206896551724	0.007610776034755906	0.0031883311036821475	0.0031657188263510684
GOTERM_CC_DIRECT	GO:0005576~extracellular region	110	10.204081632653061	1.3567366398647436E-5	P04114, P79755, Q7M456, P15253, Q32KH7, P58781, P00787, P98160, Q04519, Q6PHG2, J3S6Y1, P28799, F1QQI2, P04004, Q9UGM5, Q9UGM3, Q9R087, A4IG53, Q24JV9, P12025, P02679, Q8CHN8, P08697, Q5R5A0, Q9IA95, Q99K41, P98133, P25155, Q19AZ8, B8XY56, Q811M5, O18806, Q29437, Q7Z6Z7, Q9NZ08, Q5R328, Q6GQ29, P29122, P55058, Q61703, Q11005, O95460, P11678, P12763, P14543, Q6UVK1, Q8WUJ3, P07224, P02454, Q14005, Q16787, Q7YRQ8, P15169, Q28377, O75581, P16301, Q95121, Q02819, Q9Y5Z4, P06744, P08649, Q7TSQ1, Q2L6K8, P22273, Q9WUW3, P70699, Q4LDE5, P35573, Q8R054, P28648, A8K2U0, P97280, P98095, Q15113, P01024, P02750, Q1LUM3, P00491, P0DOX8, Q8IWU5, P55002, P50591, Q9TUQ3, Q99KQ4, Q9PVW7, Q28278, P40189, P13010, P07092, Q9GLY5, O13035, Q92079, P98064, Q9R182, Q8TE73, P51176, P30932, Q5VTL7, P13497, Q9CPT4, O09114, Q64181, A0A6P8HC43, Q71R50, Q8WZ79, Q6NYZ4, P21158	1044	863	12254	1.4960953281567018	0.009519458532011638	0.0031883311036821475	0.0031657188263510684
UP_SEQ_FEATURE	ACT_SITE:Nucleophile	48	4.452690166975881	2.9688491137068644E-5	Q5ZIZ4, Q9JHW0, Q9QWE9, Q8IWU5, Q9D967, A7MBJ2, O94966, O00462, Q3SX44, A5PJN2, O05218, Q5RDG4, P04818, P35475, Q70CQ2, Q58D55, Q5ZKG5, Q08DD1, P16301, Q32KH9, Q503L4, Q32KH7, Q32KH5, A7YWG4, Q969T7, A6QR55, Q93008, Q8BJ37, P34913, Q9UPU5, Q86UV5, Q6GQ29, Q2HJ61, Q64GA5, P28173, E9QG68, P70699, O09114, B1H1P9, A2BGT0, Q6NYZ4, Q90744, Q6Q0N3, A5A6P2	1044	302	12339	1.8785110755880339	0.10660715089384243	0.07866854294218822	0.07850279410269981
INTERPRO	IPR036427:Bromodomain-like_sf	14	1.2987012987012987	3.3763723523840993E-5	Q12830, Q6MGA9, Q09472, Q7ZUF2, Q8K2F0, A2AHJ4, Q9UIF9, Q99MY8, Q03164, B2KF05, Q92793, O08550, F1R5H6, Q9ULU4	1075	43	12735	3.8570037858301784	0.09425449198933245	0.09899523737190179	0.09852254524256802
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	218	20.222634508348794	3.504565270913695E-5	Q8K4P0, O93257, Q6ZPR6, P55265, Q9BZ95, G3XA57, Q9H840, Q9P2R6, Q8JZM7, Q9JLV6, Q9HCJ0, Q8R143, G3V893, Q7TPH6, Q14692, Q14571, Q15542, Q13485, Q61687, Q12830, Q9EPL8, Q61329, Q64GA5, B4ZIX8, Q86WA9, Q8NDV7, O75131, Q8IWJ2, Q17RY0, Q5ZIQ3, Q8BP00, Q8CHN8, O94913, Q91W43, Q3KRD0, P80217, Q8R3G1, Q5PPI1, Q9UBD5, Q8VDM6, Q99MY8, Q9DCD2, Q6P0N0, Q9JJP2, Q8IXJ9, P42285, Q01105, Q9P2D1, O15534, Q9UK61, O14686, Q8N567, Q8TDB6, Q8BJ37, Q9NZI7, P48382, Q9UI26, Q80XC6, Q96EQ9, Q86YT5, P35623, Q6UVK1, Q8QZV1, Q96AY2, P61972, P27216, Q08DQ0, Q5VUG0, Q9QXV1, E9Q7D5, P52756, Q9ERU2, Q66I22, Q9HCN4, Q92890, Q8NI36, Q99607, Q96SB4, E9PYK3, Q7SZ10, Q6NVF4, O14519, Q4R6P7, Q9HCM4, Q9H1I8, P08775, Q99JG7, Q3L8U1, Q03172, P0C7T6, Q96T23, Q8VIJ6, Q96MU7, O35345, Q9BZK7, Q3YBR2, Q8BG15, Q9ULU4, P98064, Q61103, O75319, Q14159, P23220, Q8K4Q6, Q8N7N5, P52429, Q8NEZ4, Q687X5, Q99J59, Q3KR97, Q03164, Q8BKI2, Q9ESC8, Q9JHW0, Q96L91, O95714, G5E5X0, P29374, Q8WMV3, F1RCR6, Q922B9, Q9Z1J3, Q5ZLN5, Q6XBT4, Q8WWI1, Q86UV5, Q91ZS8, O75533, Q62814, Q01085, P11730, P50548, Q6PDQ2, Q9Y2P8, Q5E9X1, P12270, Q9Y6H5, Q5REY3, Q96BT7, Q09472, Q80VY9, A3KMV2, A2AN08, Q5EAD0, Q92793, G3V8T1, Q7Z6Z7, Q99PF5, O60264, Q6ZW49, Q9Z1M4, Q8R0H9, Q5VWN6, Q03001, Q9Y3D0, P35222, Q9NS37, Q9P2M4, P68403, O95071, Q9DB85, Q5R7K2, Q7Z3B3, Q5RF83, P35738, Q6GN15, A6QLV3, Q969H0, Q5EBL4, Q6P5F9, O76031, Q8BZ03, A2AJ77, Q96P48, Q5EXX3, O60244, Q96PU5, Q8K2X1, Q8WYQ5, Q9D5V6, Q28141, P22670, Q6ZRS2, Q5T200, Q8CG71, Q08DG6, P14373, Q6N021, P28648, B1AWL2, Q9GZU7, Q9DED4, Q32L00, Q9GZU8, P49321, P15428, Q9NU22, P50995, Q52KG4, P13010, Q96AE4, Q5F3J5, Q9UJ83, Q9UPU5, Q6MGA9, Q9BRS2, Q8CGF7, O09114, Q4R7L3, Q61191, O13046, O14497, O15105, P21670, Q15652, Q642B6, Q9UPV0	1044	1996	12254	1.2819566335736607	0.024404883323752014	0.006176796289985387	0.006132989224098966
