Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	76	7.6767676767676765	6.395349229171621E-9	Q5R9X6, P35738, Q6PBX5, Q7ZVF3, P31937, Q9P0Z9, Q28056, P11884, Q6TGZ5, P15129, P42026, Q568L5, Q04799, Q9PVE8, Q2KHZ9, Q86UV5, Q9PT92, O73872, P28331, Q1RLY6, Q29473, P35486, A5A6H9, Q9QYU4, Q92090, Q5ZJF4, Q6N021, Q4R6P7, Q04467, Q6NYG8, O09173, Q8BMS1, Q58EJ9, Q91W43, P54996, Q5FB27, O42563, Q98T91, Q91XF0, O75881, Q07973, P51648, Q9CPU4, Q922D8, Q148G5, Q58D31, Q29437, Q8BMF3, Q9Y6A2, Q3ZBW2, Q08BZ4, Q6IQX0, Q9UBQ7, Q16696, Q9XWZ2, Q91YT0, O94851, A4QNZ7, Q61147, A2RRT9, P58003, Q08BA6, P11678, P51857, Q6ZQW0, Q91ZE0, Q8K3F7, Q71R50, O88989, Q3SZB4, A2VE15, Q5REW1, Q15652, Q5U3F8	627	475	7751	1.97792663476874	5.627905774741038E-7	5.627907321671026E-7	5.308139860212445E-7
GOTERM_CC_DIRECT	GO:0005782~peroxisomal matrix	13	1.3131313131313131	2.6132023060909704E-6	P34913, P28345, Q9P0Z9, O75521, Q07598, P58137, Q5PQY6, Q9UKG9, Q3ZBW2, Q9UBQ7, Q9UJ83, P41689, O15228	962	32	12254	5.174831081081081	0.0017936617925564668	0.0017952699842844967	0.0017874303773662238
UP_KW_LIGAND	KW-0408~Iron	42	4.242424242424243	2.2484179615904226E-5	Q5FB27, Q6PBX5, O42563, Q28056, O75881, Q98T91, Q6TGZ5, Q58H57, P15129, Q07973, P42026, Q9Y6A2, Q6IQX0, Q16696, P00125, Q8WYQ5, Q92079, Q6PHG4, Q6PHG2, Q91YT0, Q9PVE8, A2RRT9, Q9PT92, P28331, Q4SK88, P28173, Q08BA6, P11678, Q29473, Q6ZQW0, Q92090, Q91ZE0, Q99797, Q6N021, Q6NYG8, Q6EE23, O09173, A5D6U8, Q15652, Q642B6, Q5U3F8	417	257	5037	1.974022338549394	9.66363362613798E-4	9.668197234838817E-4	8.768830050202648E-4
UP_SEQ_FEATURE	MOTIF:Microbody targeting signal	13	1.3131313131313131	3.120421162526219E-5	P34913, P28345, Q9P0Z9, O75521, Q07598, P58137, Q5PQY6, Q9UKG9, Q3ZBW2, Q9QYR7, Q9UJ83, P41689, O15228	955	40	12339	4.19913612565445	0.09787907950403307	0.10300510257499049	0.10300510257499049
GOTERM_BP_DIRECT	GO:0006958~complement activation, classical pathway	8	0.8080808080808081	3.7137275141790015E-5	P79755, P08649, Q9WUW3, P98093, P08650, Q6P734, P01024, Q9PVW7	918	14	11709	7.288515406162466	0.11290843700798336	0.11980484960741458	0.11980484960741458
UP_KW_BIOLOGICAL_PROCESS	KW-0180~Complement pathway	8	0.8080808080808081	4.504352846736606E-5	P79755, P08649, Q9WUW3, P98093, P08650, Q6P734, P01024, Q9PVW7	594	14	7339	7.06012506012506	0.006599673673879147	0.006621398684702811	0.006306093985431248
UP_SEQ_FEATURE	BINDING:axial binding residue	18	1.8181818181818181	6.36610568108199E-5	Q9PVE8, A2RRT9, Q9PT92, O42563, P11678, O75881, Q98T91, P15129, Q29473, Q07973, Q58H57, Q92090, Q9Y6A2, Q16696, P00125, Q8WYQ5, Q6PHG2, Q642B6	955	77	12339	3.0203576528183858	0.189538822053409	0.10507257426625824	0.10507257426625824
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	44	4.444444444444445	7.973997317419106E-5	Q9ULT8, Q6GMH0, Q8R3G1, Q6GN15, Q96L91, Q5VUG0, Q99KQ4, Q9DBF7, Q9UIF9, Q7TQH0, O35491, Q9H2Y7, Q96FV9, P36372, Q7ZV80, Q96MU7, P42285, P49756, P84104, Q8VDW0, Q6NVU2, Q80Z29, P08621, Q9R0U0, O75319, Q6MGA9, Q96SB4, Q5R526, Q9NRA8, Q9Y232, Q5RC80, Q08170, Q80XC6, Q5T200, Q08BA6, Q7SZ10, Q5ZMJ9, Q99PV0, Q09167, Q5R5X0, A4UTP7, Q9UKV3, Q7ZVA0, Q9H1I8	962	300	12254	1.8682467082467085	0.05330995920479609	0.027390680785334628	0.02727107082557334
GOTERM_MF_DIRECT	GO:0003723~RNA binding	99	10.0	1.3207878747389663E-4	Q9BYX4, Q7ZVR8, O93257, Q92615, P55265, O43432, Q7ZVR1, Q7M456, Q9H2Y7, Q96FV9, Q5ZLN5, Q04637, Q9HCJ0, O60287, Q14692, P20397, P08045, Q8VDW0, P28799, P05455, A5A6H4, Q91ZS8, O75534, Q01085, Q8NE71, Q99J36, Q01082, O75131, Q9NVP1, Q9NW13, P12270, Q9UKV3, Q8IWZ3, Q8R3G1, Q6TH15, Q80VY9, Q8VDM6, Q7TQH0, Q7ZV80, P42285, Q99PF5, P49756, Q8N567, Q90YR4, Q9H0J9, Q9NRA8, Q99N96, Q99PV0, O95071, Q8JIY8, Q13151, Q8BIQ5, Q5R7X2, P13667, Q6P5F9, Q9CZB3, Q61990, Q3SZZ0, Q01844, Q8NI36, Q5ZJ56, P84104, Q8WYQ5, Q9JLZ3, Q66HY7, Q9R0U0, Q96SB4, Q5RC80, Q5T200, Q6A0A2, Q09167, Q5RA42, Q15477, Q6ZQ58, Q0V898, Q6P5L3, P51968, Q9UIF9, P50995, Q99700, P0C7T6, P13010, Q96MU7, Q8JFP1, Q9NX05, Q96AE4, Q5ZLX2, O14647, P08621, O75319, Q08170, Q8NEZ4, Q7TMK9, P14866, Q5ZMJ9, Q53EP0, Q8BKI2	895	861	11265	1.447238821949273	0.14013168595901704	0.08637586224068043	0.0860735845075547
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	73	7.373737373737374	1.8814139977340694E-4	P04114, P35738, P48450, O46629, Q07598, P58137, Q08DD1, Q9DGJ3, P18757, Q503L4, Q28C60, Q9JL56, O35400, Q04799, P15291, Q5R6J7, Q8K4T1, A0A0R4IBK5, Q04519, P49614, P34913, Q96PD7, Q7YRH6, Q2HJ61, Q64GA5, Q864U1, Q9C6B9, Q3TRM4, Q5ZJF4, B5X3C1, Q9UHC9, Q8VHQ9, Q5RG49, P07686, Q8BMS1, P01024, Q5E9T8, Q5FB27, Q96IZ2, Q5T2R2, O75881, Q07973, P51648, Q9CPU4, Q8N9F7, A5D6R3, Q9Y6A2, Q9QYR7, Q3ZBW2, P55809, Q00973, O13035, Q9D8N3, Q9XWZ2, Q9UJ83, P04066, P27465, A2RRT9, Q7T2V2, P52429, P51857, Q5M872, Q9UKG9, Q9NR19, Q71R50, Q3SZB4, A2VE15, E9Q3L2, P27656, O14975, Q67FQ3, Q9HBU6, Q0P570	594	590	7339	1.528696570221994	0.02728036943147749	0.013828392883345409	0.013169897984138486
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	13	1.3131313131313131	2.2438422823239048E-4	Q9W698, Q91XF0, Q58H57, P35623, P34897, P18757, Q9WUB3, O94903, Q8QZR1, Q5E9N4, P41689, Q58EJ9, Q91W43	895	47	11265	3.4813978366813267	0.22624496769496438	0.08637586224068043	0.0860735845075547
UP_KW_MOLECULAR_FUNCTION	KW-0156~Chromatin regulator	41	4.141414141414142	2.3178352629894442E-4	P56558, A0A0R4ITC5, Q96L91, Q5RGA4, Q9CY21, P29374, Q4KKX4, Q9BZ95, Q8K2F0, Q9WVR8, Q9QXV1, Q9UIF9, Q9DCT6, Q96T23, O08550, Q8IXJ9, Q6IQX0, Q9P2D1, Q9BZK7, Q9ULU4, O14647, Q8TDB6, Q61103, Q12830, Q61687, Q6MGA9, Q7ZUK7, Q8NEZ4, Q96EQ9, O42611, Q6PDQ2, Q03164, Q6N021, P68403, Q61191, F1R5H6, Q9DB85, Q7Z3B3, O14497, Q8K2W6, Q15652	627	279	7751	1.8166440865931528	0.020192656117227425	0.010198475157153554	0.009619016341406194
GOTERM_MF_DIRECT	GO:0070330~aromatase activity	7	0.7070707070707071	2.591841775414677E-4	Q9PVE8, O42563, Q16696, Q98T91, P15129, Q29473, Q92090	895	13	11265	6.777395788568974	0.2564252000016374	0.08637586224068043	0.0860735845075547
