Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
P23588	P51410	P51410	P23588	P51410	P51410	Q6N021	P51410	Q9UKF7
Q3YBR2	P23588	Q9DED4	Q3YBR2	P23588	Q9DED4	Q9GL24	P23588	Q3KTM2
O46427	Q5RF83	P29314	O46427	Q5RF83	P29314	Q5EAD0	A5A6H4	Q92122
Q6N021	Q5VXD3	P23588	Q6N021	Q5VXD3	P23588	A5A6H4	Q14141	Q92804
Q9GL24	Q8TBH0	Q5RF83	Q5RF83	Q8TBH0	Q5RF83	Q96AE4	Q9CY58	C0HK23
Q5RF83	A5A6H4	Q9UKF7	Q5EAD0	A5A6H4	Q9UKF7	O08908	Q8VCY6	Q5T6C5
Q5EAD0	Q14141	Q3KTM2	A5A6H4	Q14141	Q3KTM2	P31647	Q9H840	Q9IA95
A5A6H4	Q0II29	Q92122	P21158	Q0II29	Q92122	Q99J59	O35047	Q0V8K7
P21158	Q92122	Q6P0T2	Q96AE4	Q92122	Q6P0T2	Q3KPU6	Q1LYL8	Q13287
Q96AE4	Q8JZM7	Q7Z628	O08908	Q8JZM7	Q7Z628	P35670	F1QB54	Q90617
O08908	Q9CY58	Q92804	Q8R034	Q9CY58	Q92804	Q9PUU6	Q8VEM8	Q6DJ55
Q8R034	Q8VCY6	C0HK23	P31647	Q8VCY6	C0HK23	Q03422	Q3UUY6	Q9NUV9
P31647	Q9H840	Q5T6C5	Q0II29	Q9H840	Q5T6C5	Q95M12	Q9DED4	P15999
O43826	O35047	Q9IA95	Q3KPU6	O35047	Q0V8K7	O13035	Q8C6K9	Q5JS54
Q0II29	Q1LYL8	Q0V8K7	P35670	Q1LYL8	Q13287	Q98T91	Q6NYT1	Q9NZB8
Q99J59	F1QB54	Q13287	Q9PUU6	F1QB54	Q9CQK1	Q7T3I0	Q8NB12	A0A1B0GVZ9
Q3KPU6	Q8VEM8	Q9CQK1	P36968	Q8VEM8	Q90617	A8K2U0	P62498	Q9Z172
P35670	Q3UUY6	Q90617	Q9H222	Q3UUY6	F1QMY1	Q67FQ3	P50580	Q8VIJ6
Q9PUU6	Q5RAS7	F1QMY1	A1L1P9	Q8C6K9	Q6DJ55	P55002	Q6NYZ4	P51793
Q03422	Q9DED4	Q6DJ55	P27615	Q6NYT1	Q0P4Y8	P02679	Q12788	P21158
P36968	Q8C6K9	Q0P4Y8	Q80WM9	P24802	Q9NUV9	Q5R9X6		F1QX91
Q9H222	Q6NYT1	Q9NUV9	Q98T91	Q6P0T2	Q9C0D5	Q8BJY1		Q8QGQ8
Q95M12	P24802	Q9C0D5	Q6NV34	Q8NB12	Q5JS54	Q4KKX4		Q9CZ04
O09114	Q6P0T2	P15999	A5A6P2	P62498	A0A1B0GVZ9	Q9WUW3		O95487
Q9QZI8	Q8NB12	Q5JS54	Q6P0N0	Q9DED4	Q8NE71	P55202		Q8CFN2
A1L1P9	P62498	Q9NZB8	Q9W6R1	Q12788	Q8TBH0	Q6BEA0		P18757
O13035	P50580	A0A1B0GVZ9	A8K2U0		Q5R6X7	Q02094		Q15477
P27615	Q6NYZ4	Q8NE71	P98157		Q99590	Q96P48		Q13325
Q80WM9	Q12788	Q8TBH0	Q67FQ3		Q96M32	Q6PHG2		Q96AY2
Q98T91		Q5R6X7	P55002		Q9Z172	P34897		Q499B3
Q6NV34		Q99590	Q9GLY5		Q8VIJ6	Q9NUJ3		A5A6H4
A5A6P2		Q96M32	P02679		Q9UJW8	P04114		Q05186
Q7T3I0		Q9Z172	Q5R9X6		A8WH74	F1R5H6		Q96IR2
Q5U3F8		Q8VIJ6	P42694		Q9HBU6	Q9JJP2		O94955
Q6P0N0		Q9UJW8	Q9R013		Q9P2E9	P41689		O42196
