Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	23	13.77245508982036	3.033576799751637E-16	O70138, P02460, Q9EQP5, Q90X49, Q28178, P15988, Q7SIB2, O93390, Q7SIB3, Q00780, O93484, Q8TE58, A0MSJ1, Q9Y6C2, Q01635, P59384, Q8QGP3, Q9JI03, A4IGL7, P21981, P07354, A6H584, Q90611	141	149	9322	10.205435765624257	1.0658141036401503E-14	9.707445759205238E-15	7.887299679354256E-15
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	42	25.149700598802394	8.151852547093333E-15	Q1LW01, O70138, Q7Z7G0, Q90X49, O95393, Q28178, P15988, O93390, P16636, Q07079, P30122, Q00780, Q2Q0I9, Q504N0, Q9Y6C2, A0A0C4DH26, Q91041, P21981, P07354, Q90611, Q96SM3, Q3T0A3, A9JRB3, P02460, Q9EQP5, P51910, Q7SIB2, Q7SIB3, O93484, Q8TE58, A0MSJ1, Q01635, P59384, Q8QGP3, P23735, Q9JI03, P17716, A4IGL7, Q6DIV5, A6H584, Q7M3E1, Q5R7K9	141	698	9322	3.9781747241358283	2.5934809855243657E-13	1.3042964075349332E-13	1.0597408311221332E-13
INTERPRO	IPR001584:Integrase_cat-core	11	6.58682634730539	1.1597926904902923E-13	P0CT39, P04323, P21328, P10394, Q6R2W3, P0CT40	165	20	10404	34.68	6.589839784965079E-11	6.58762248198486E-11	6.390457724601511E-11
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	11	6.58682634730539	1.492862123666203E-13	P0CT39, P04323, P21328, P10394, Q6R2W3, P0CT40	164	20	10078	33.798170731707316	1.206545974241635E-10	1.1293801490117341E-10	1.1195959150475235E-10
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	11	6.58682634730539	1.9206221728843488E-13	P0CT39, P04323, P21328, P10394, O00370, P0CT40	99	22	6565	33.156565656565654	9.795497746267756E-12	9.795173081710179E-12	8.066613126114265E-12
UP_SEQ_FEATURE	ACT_SITE:For protease activity	10	5.9880239520958085	2.7954954183458766E-13	P0CT39, P04323, P21328, P10394, P0CT40	164	15	10078	40.96747967479675	2.2587975934129645E-10	1.1293801490117341E-10	1.1195959150475235E-10
INTERPRO	IPR001969:Aspartic_peptidase_AS	10	5.9880239520958085	5.019349234545889E-13	P0CT39, P04323, P21328, P10394, P0CT40	165	16	10404	39.40909090909091	2.850972791179629E-10	1.4254951826110324E-10	1.3828307141173924E-10
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	11	6.58682634730539	5.214630946078182E-13	P0CT39, P04323, P21328, P10394, O00370, P0CT40	152	22	9291	30.5625	1.4653356306126852E-10	1.465311295847969E-10	1.4340235101715E-10
GOTERM_BP_DIRECT	GO:0015074~DNA integration	11	6.58682634730539	8.317730422483331E-13	P0CT39, P04323, P21328, P10394, Q6R2W3, P0CT40	156	23	9632	29.52954292084727	7.544236346745947E-10	7.544181493192381E-10	7.494275110657481E-10
INTERPRO	IPR041588:Integrase_H2C2	10	5.9880239520958085	1.0523089921841657E-12	P0CT39, P04323, P21328, P10394, P0CT40	165	17	10404	37.09090909090909	5.976890093961629E-10	1.9923716918686872E-10	1.932740848978251E-10
UP_SEQ_FEATURE	DOMAIN:Peptidase A2	9	5.389221556886228	1.8475862939666723E-12	P0CT39, P10394, P0CT40	164	12	10078	46.08841463414634	1.4928875913255979E-9	4.976165751750237E-10	4.933055404891015E-10
INTERPRO	IPR000477:RT_dom	11	6.58682634730539	1.9179857984350203E-12	P0CT39, P04323, P21328, P10394, O00370, P0CT40	165	25	10404	27.744	1.0894360968904948E-9	2.723539833777729E-10	2.6420254373442405E-10
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	11	6.58682634730539	2.4634813403903515E-12	P0CT39, P04323, P21328, P10394, O00370, P0CT40	164	25	10078	27.038536585365854	1.990486886427334E-9	4.97623230758851E-10	4.933121384131679E-10
UP_KW_DOMAIN	KW-0732~Signal	61	36.52694610778443	2.861943620204604E-12	P49263, O70138, O95393, Q28178, Q06985, Q07079, P30122, Q03350, Q504N0, Q9Y6C2, Q9N0W7, Q91041, P07354, Q90275, P43233, A9JRB3, P51910, D4A9R4, Q8TE58, Q01635, P35331, P17716, Q6DIV5, A6H584, P85108, P40313, Q1LW01, Q1WIM2, Q7Z7G0, Q6DIC0, Q90X49, O93512, Q8NFY4, P15988, O93390, P16636, Q00780, Q2Q0I9, A0A0C4DH26, Q02357, Q3TTY0, Q6DJ83, Q90611, Q811A3, Q3T0A3, Q96SM3, P02460, Q9EQP5, A1XQX0, P16924, Q7SIB2, O93484, A0MSJ1, P59384, Q8QGP3, Q9JI03, A4IGL7, Q7M3E1, Q5R7K9, Q15375	118	1534	6946	2.3407619384350205	5.723865825757457E-11	5.7238872404092085E-11	5.7238872404092085E-11
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	10	5.9880239520958085	6.428627786630965E-12	P0CT39, P04323, P21328, P10394, P0CT40	99	21	6565	31.577681577681577	3.2786040549126483E-10	1.242597150267429E-10	1.0233153002202357E-10
UP_KW_MOLECULAR_FUNCTION	KW-0645~Protease	27	16.16766467065868	7.309395001573112E-12	A9JRB3, P04323, Q1LW01, O70138, P0CT40, Q3T0P5, Q8TE58, P0CT39, Q504N0, P21328, P59384, Q8QGP3, P10394, Q91041, P21981, P43233, Q7M3E1, Q90611, P43367, Q96SM3, P40313, Q3T0A3	99	361	6565	4.959707882145555	3.727781416884568E-10	1.242597150267429E-10	1.0233153002202357E-10
