Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0809~Transit peptide	48	9.73630831643002	5.1026809223312075E-9	Q9NZJ6, O13082, P35738, Q96DV4, P82925, O75600, P15505, Q9ER88, Q96ER9, Q08DF7, Q0VC74, Q5R511, Q08BB1, Q2HJI0, Q9CZN7, Q90512, Q8WYQ3, Q6P6R2, Q5RAR5, O75879, A6H757, P31800, O75439, Q6DGL8, Q6J4K2, Q08CK1, A7SMW7, Q10713, Q9Y6N5, Q02253, A8E657, Q0VCQ4, O35680, Q86X76, Q2TBR2, Q32PI8, Q68FN7, Q0MQG7, F1RAX8, Q99551, Q15070, Q3ZBX6, Q96EY1, Q28C74, Q1LVN8, P05165, Q8HXY4, Q68EV6	294	454	6946	2.497887260631124	1.122589747826197E-7	1.1225898029128656E-7	1.0715629936895536E-7
UP_KW_PTM	KW-0007~Acetylation	131	26.57200811359026	1.0477730105909575E-8	P04114, P09527, Q14444, P22062, Q8IXU6, P70541, Q9ER88, P70388, A1A4K8, Q63850, P35658, Q03701, O43719, Q9CZN7, P09651, Q15024, B2GV24, Q96CW5, P60905, P52209, Q96I24, Q5U211, E2R4X3, Q99LG2, O60573, Q05B79, P49368, O88441, Q6ZUT9, Q8NEF9, P08537, Q8BH74, Q9H307, Q5U300, Q0P5J0, Q5XJE5, O70351, P70685, O60306, Q8CGC7, Q9QXL2, P40306, Q925N2, Q6P6R2, Q67ER4, Q9CQJ8, Q8R4H2, O43143, P81600, Q61820, Q6Q7J2, Q10713, Q8C0D5, P97855, Q29S22, Q5NVD0, Q04207, Q8C2Q3, Q9BXJ9, O08585, Q96EY1, P05165, Q9NZJ6, P35738, O00629, Q8BG32, Q5RCG9, Q91YE6, Q8BY71, Q8WTW3, Q641Z6, Q9CYH6, P00504, Q86TP1, P31800, Q02253, O35286, A8E657, Q16719, Q9BXY0, A2VDN6, P23514, Q9UJX3, Q96BP3, Q61699, P50475, O77506, Q3T0E1, O75600, P31230, A7YW98, P51965, Q924H7, Q99KQ4, Q0VC74, Q8VD04, Q9D662, Q62785, P16116, Q5R511, Q5R9Z5, Q9CWJ9, O35986, Q96QU8, Q9QYJ0, Q6NS46, Q69ZA1, Q9NQC3, P02543, Q7Z6E9, A5D7C1, Q9UL46, Q5XI81, P81004, Q32PZ3, Q8BG81, Q9Y6N5, P62193, Q5RFL9, P52788, P57678, P84082, O76094, P47809, Q9H9G7, Q6PGP7, Q9H8E8, Q9Y263, Q0QEL7, Q8HXY4	287	2031	6790	1.5259814341127165	2.2003230959466435E-7	2.3051006233001063E-7	2.3051006233001063E-7
GOTERM_MF_DIRECT	GO:0003723~RNA binding	74	15.010141987829615	1.1501512963783569E-8	Q7ZVN5, Q9UGP8, O93257, Q3UHX0, Q14444, Q8K4L0, Q6NZQ2, E9QI36, A1A4K8, Q03701, O43719, Q4KLM5, Q14296, Q7T293, Q14692, P09651, Q92614, P21127, Q8JHJ2, Q15024, Q3TX08, Q6Q2B2, Q7ZVE0, P56960, P79741, Q9BRU9, Q96I24, O35286, Q9BXY0, B2KI97, Q803E1, Q7LHG5, A2VDN6, Q99551, O60573, Q6NWC6, Q05B79, Q5R8K2, Q28C74, P49368, Q9UNX4, O75817, Q8NEF9, Q7ZWF0, Q3T0E1, Q9H307, P31230, Q9W6S8, Q99590, O60306, O35986, Q8CGC7, F1Q8J0, O00370, P55010, Q6NS46, Q9NQC3, Q7Z6E9, A5D7C1, O43143, Q5XI81, Q8BG81, P97855, Q8IY37, Q5RFL9, Q1JQ73, Q29S22, Q9UJA5, O76094, Q9H9G7, Q8C2Q3, Q9BXJ9, Q5RBM8, Q8BIQ5	440	789	9291	1.9804528171448323	7.521961231771179E-6	7.5219894783144545E-6	7.4874849394231035E-6
UP_SEQ_FEATURE	TRANSIT:Mitochondrion	49	9.939148073022313	5.316779707921841E-8	Q9NZJ6, P35738, Q96DV4, P82925, E9QI36, Q9ER88, Q2HJI0, Q9CZN7, Q90512, Q8WYQ3, P31800, Q6J4K2, A7SMW7, Q02253, A8E657, O35680, Q86X76, Q2TBR2, Q99551, F1RAX8, Q15070, Q3ZBX6, Q1LVN8, Q28C74, Q68EV6, O13082, O75600, P15505, Q96ER9, Q08DF7, Q0VC74, Q5R511, Q08BB1, Q6P6R2, Q5RAR5, A6H757, O75439, O75879, Q6DGL8, Q08CK1, Q10713, Q9Y6N5, Q0VCQ4, Q32PI8, Q68FN7, Q0MQG7, Q96EY1, P05165, Q8HXY4	477	444	10078	2.331680737341115	9.027484677825992E-5	9.027891944051285E-5	9.027891944051285E-5
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	77	15.618661257606492	1.5352597801123735E-6	Q9NZJ6, P35738, Q96DV4, P82924, P82925, P09527, P82929, Q7ZVJ6, E9QI36, Q9ER88, Q32LB9, Q2HJI0, Q9CZN7, Q5RF16, Q8BY71, Q7ZV60, Q14296, Q5BLE2, Q4QQY7, Q91684, Q90512, Q8WYQ3, P31800, Q6J4K2, A7SMW7, Q02253, A8E657, O35680, Q86X76, Q2TBR2, Q99551, F1RAX8, Q15070, Q05B79, Q3ZBX6, Q1LVN8, Q28C74, O88441, Q68EV6, O13082, O75648, O75600, O70157, Q5U300, P15505, Q96ER9, Q08DF7, O70351, P57105, Q0VC74, Q5R511, Q08BB1, A5PMX1, Q925N2, Q6P6R2, Q5R4H6, Q9CQJ8, Q5RAR5, A6H757, O75439, O75879, P81004, Q6DGL8, Q08CK1, Q10713, Q9Y6N5, Q0VCQ4, Q0VA04, Q32PI8, Q68FN7, Q0MQG7, Q9DCS9, Q96EY1, P05165, Q0QEL7, Q8HXY4	432	962	9322	1.7271935396935396	7.061951042042214E-5	7.062194988516918E-5	6.755143032494444E-5
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	49	9.939148073022313	2.7611130956902017E-5	Q7ZVN5, Q3UHX0, Q14444, Q8K4L0, Q6NZQ2, A1A4K8, O43719, Q4KLM5, Q14296, Q7T293, P09651, Q8JHJ2, Q15024, Q3TX08, Q6Q2B2, Q7ZVE0, P56960, O35286, B2KI97, Q803E1, Q7LHG5, O60573, Q6NWC6, Q05B79, Q28C74, O75817, P50475, O75648, Q3T0E1, P31230, Q9W6S8, O60306, O35986, Q8CGC7, F1Q8J0, O00370, A5D7C1, O43143, Q5XI81, Q8BG81, P97855, Q5RFL9, Q1JQ73, Q29S22, Q32PI8, Q9H9G7, Q8C2Q3, Q5RBM8, Q8BIQ5	306	569	6565	1.847553901466855	0.0019860540543693572	0.0019880014288969454	0.001960390297940043
GOTERM_CC_DIRECT	GO:0005730~nucleolus	45	9.127789046653144	7.083955642973602E-5	P35738, Q5XG71, O96028, P82925, Q3UHX0, Q6NZQ2, Q3T0E1, Q8K4L0, Q8BIX3, Q6NV26, Q3SYU1, Q8IXQ5, Q99590, Q5R511, Q922B6, Q96QU8, Q4KLM5, Q9CYH6, Q14692, Q6NS46, Q8JHJ2, Q15024, Q7Z6E9, A5D7C1, O43143, Q7ZVE0, P56960, Q9BRU9, P79741, Q6DRN3, O35286, Q8IY37, Q6DHF7, Q6DRJ4, P57678, Q9BXY0, Q29S22, Q01831, P40231, Q8C2Q3, Q9CRA8, O88441, Q9UNX4, Q9JJ80, O75817	467	518	10023	1.8645052210362705	0.03137615329586574	0.022460982941035785	0.022361156350186734
INTERPRO	IPR015422:PyrdxlP-dep_Trfase_small	9	1.8255578093306288	8.579723655307488E-5	Q9CZN7, Q28DB5, P00504, O75600, P15505, A2VD33, Q16719, Q6NYL5	489	32	10404	5.983895705521473	0.11743790995363113	0.09322123221827835	0.09302915550354289
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	73	14.807302231237324	9.982659084904793E-5	Q9NZJ6, P35738, Q96DV4, P82924, P09527, P82929, Q7ZVJ6, E9QI36, Q9ER88, Q9CZN7, Q5RF16, Q8BY71, Q7ZV60, Q5BLE2, Q4QQY7, Q91684, Q90512, Q8WYQ3, P31800, Q9P1Q0, A7SMW7, Q02253, A8E657, O35680, Q16719, Q5ZJF4, Q86X76, Q01831, Q99551, F1RAX8, Q15070, Q05B79, Q1LVN8, Q28C74, O88441, Q68EV6, O43292, P50475, O75648, O75600, O70157, Q5U300, P15505, Q08DF7, O70351, P57105, Q0VC74, Q5R511, Q08BB1, Q9CWJ9, A5PMX1, Q925N2, Q6P6R2, Q5R4H6, Q9CQJ8, Q5RAR5, A6H757, O75439, O75879, Q6DGL8, Q08CK1, P70076, Q10713, Q9Y6N5, Q0VCQ4, Q6DHF7, Q32PI8, Q68FN7, Q9DCS9, Q96EY1, P05165, Q9JHW4	467	1002	10023	1.5636371796022515	0.043930058684213735	0.022460982941035785	0.022361156350186734
UP_KW_BIOLOGICAL_PROCESS	KW-0507~mRNA processing	33	6.693711967545639	1.0085834124010744E-4	Q96BP3, Q9H307, Q9W6S8, Q08DF7, A1A4K8, Q99590, O60306, O35986, O43719, F1Q8J0, Q5M9G6, Q7T293, Q69ZA1, P09651, C0H906, Q67ER4, O43143, A8WHR3, Q6Q2B2, O35286, Q5RFL9, P57678, Q29S22, B2KI97, Q5NVD0, Q803E1, Q5RD27, A2VDN6, Q6NWC6, Q5R8K2, Q6NY98, Q28BT8, Q8BIQ5	310	316	6139	2.0680583911800734	0.01023532846884967	0.010287550806490959	0.009682400759050313
