Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0677~Repeat	53	64.63414634146342	1.979781502177879E-9	Q8CGM1, Q923L3, Q8R4K8, P97300, Q8AVH7, Q9H165, Q2UY09, O88737, P17036, Q9UQD0, Q96PQ0, P55197, Q7T2Z5, Q9CWL2, Q90476, F1MCA7, Q8CGQ8, Q9UL68, P79944, Q9UM44, Q2PFW9, P12107, Q61043, A2A884, Q61245, P18724, Q8JFQ2, Q99715, Q8NDA2, Q8VHE6, Q8BGR2, Q9QYE5, Q7Z408, O73700, Q6P0B1, Q15878, Q9JI18, O60469, Q1LUA6, Q9QXL2, Q9UIW2, Q9UQB3, Q05909, Q17R14, Q9H4B4, Q9UPU3, Q9UJQ4, A4IFA3, P20908, Q5VU97, P91443, P49747, B2GUT4	72	2659	6946	1.9229137938239107	3.3656284093019906E-8	3.365628553702394E-8	2.5737159528312424E-8
UP_KW_PTM	KW-1015~Disulfide bond	31	37.80487804878049	6.045192511464792E-8	Q8BGR2, Q9QYE5, Q7Z408, O73700, Q9I918, P13806, Q8CGM1, Q923L3, P97300, Q8R4K8, Q15878, Q8AVH7, Q2UY09, Q9JI18, O60469, Q1LUA6, Q9UQD0, Q96PQ0, Q9UIW2, Q05909, Q7T2Z5, Q0P5B7, Q6IS24, Q9UM44, P20908, P12107, Q61245, Q99715, Q8NDA2, P49747, B2GUT4	60	1324	6790	2.6496727089627394	7.254228604480772E-7	7.85875026490423E-7	7.85875026490423E-7
GOTERM_BP_DIRECT	GO:0098703~calcium ion import across plasma membrane	5	6.097560975609756	2.1954167345333444E-7	O73700, P13806, Q9UQD0, Q15878, Q8CGQ8	75	8	9632	80.26666666666667	9.571559912624483E-5	9.572016962565381E-5	9.462246125838715E-5
UP_KW_MOLECULAR_FUNCTION	KW-0851~Voltage-gated channel	7	8.536585365853659	9.50538753824241E-7	P63144, O73700, P13806, Q9UQD0, Q15878, Q8AYS8, Q4ZHA6	59	39	6565	19.971751412429377	3.707034189559533E-5	3.70710113991454E-5	3.6120472645321156E-5
UP_KW_PTM	KW-0325~Glycoprotein	34	41.46341463414634	1.3746809002884945E-6	Q9QYE5, Q7Z408, O73700, Q9I918, P13806, Q8CGM1, Q923L3, P97300, Q8R4K8, Q15878, Q5T4T1, Q9JI18, O60469, O88737, Q9UQD0, Q96PQ0, Q9UIW2, Q9UQB3, Q05909, Q7T2Z5, Q0P5B7, Q8CGQ8, Q9UPU3, Q6IS24, Q9UM44, P12107, Q5VU97, Q61245, Q38PU4, Q4ZHA6, Q99715, Q8NDA2, P49747, B2GUT4	60	1793	6790	2.145937906674103	1.64960460812269E-5	8.935425851875214E-6	8.935425851875214E-6
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	32	39.02439024390244	1.6682218816607995E-6	Q9QYE5, Q7Z408, O73700, Q9I918, P13806, Q8CGM1, Q923L3, P97300, Q8R4K8, Q15878, Q5T4T1, Q9JI18, O60469, Q9UQD0, Q96PQ0, Q9UIW2, Q05909, Q7T2Z5, Q0P5B7, Q8CGQ8, Q9UPU3, Q6IS24, Q9UM44, P12107, Q5VU97, Q61245, Q38PU4, Q4ZHA6, Q99715, Q8NDA2, P49747, B2GUT4	81	1673	10078	2.379815958616516	0.001083757437787658	9.87761938966609E-4	9.193784201150746E-4
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	23	28.04878048780488	3.039267504512643E-6	Q8BGR2, Q7Z408, Q9QYE5, O73700, Q9I918, P13806, Q8CGM1, Q923L3, P97300, Q15878, Q8AYS8, Q5VU97, Q5T4T1, O60469, Q9JI18, Q9UQD0, Q96PQ0, Q9UIW2, Q38PU4, Q05909, Q7T2Z5, Q4ZHA6, Q8CGQ8	81	954	10078	2.999637653026891	0.001973576811162947	9.87761938966609E-4	9.193784201150746E-4
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	6	7.317073170731707	8.401394149774044E-6	P20908, P12107, Q99715, P49747, Q61245, Q2UY09	75	37	9632	20.825945945945946	0.0036563225510617414	0.0012446438183522346	0.0012303703800683786
GOTERM_BP_DIRECT	GO:0035989~tendon development	4	4.878048780487805	8.56406297031354E-6	P20908, P12107, P49747, Q61245	75	6	9632	85.61777777777779	0.003726984930796262	0.0012446438183522346	0.0012303703800683786
UP_KW_MOLECULAR_FUNCTION	KW-0407~Ion channel	9	10.975609756097562	8.806379227081998E-6	P63144, Q8BGR2, O73700, P13806, Q9UQD0, Q15878, Q8AYS8, Q38PU4, Q4ZHA6	59	120	6565	8.345338983050848	3.433913298311886E-4	1.7172439492809896E-4	1.6732120531455795E-4
INTERPRO	IPR013783:Ig-like_fold	12	14.634146341463413	1.0036002890532183E-5	O60469, Q1LUA6, Q9UPU3, Q9UM44, Q96PQ0, Q9UIW2, P97300, O73742, Q05909, Q7T2Z5, Q99715, Q8NDA2	82	280	10404	5.437630662020906	0.0035664599772371464	0.003572817029029457	0.003392168976999878
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	9	10.975609756097562	2.9240731515548234E-5	Q8AVH7, P20908, P12107, Q99715, Q8NDA2, P49747, B2GUT4, Q61245, Q2UY09	78	149	9322	7.218895198760971	6.430986221314106E-4	6.432960933420611E-4	6.140553618265129E-4
GOTERM_CC_DIRECT	GO:0005891~voltage-gated calcium channel complex	4	4.878048780487805	3.8262579320191666E-5	O73700, Q9UQD0, Q15878, Q5VU97	80	9	10023	55.68333333333334	0.005646965689977357	0.0056628617393883664	0.005471548842787408
GOTERM_MF_DIRECT	GO:0005245~voltage-gated calcium channel activity	4	4.878048780487805	4.790898540798665E-5	O73700, P13806, Q15878, Q5VU97	80	9	9291	51.616666666666674	0.007636315348474976	0.0042779247465632424	0.004224450687231202
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	11	13.414634146341465	5.089513631013705E-5	P63144, Q8BGR2, O73700, P13806, Q9UQD0, Q15878, Q8AYS8, Q38PU4, Q4ZHA6, Q5VU97, Q8CGQ8	49	283	6139	4.869762746087834	0.0014749077667095545	0.0014759589529939746	0.0014250638166838376
GOTERM_MF_DIRECT	GO:0030020~extracellular matrix structural constituent conferring tensile strength	5	6.097560975609756	5.347405933204053E-5	P20908, P12107, Q99715, Q61245, Q2UY09	80	25	9291	23.2275	0.008519579192172944	0.0042779247465632424	0.004224450687231202
INTERPRO	IPR005821:Ion_trans_dom	5	6.097560975609756	8.010131686846652E-5	O73700, Q9UQD0, Q15878, Q8AYS8, Q4ZHA6	82	30	10404	21.146341463414632	0.028114433075089984	0.014258034402587041	0.013537122550770843
