Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	117	44.15094339622642	1.522515668570749E-26	A1L3I3, Q9NPB9, O70138, O42224, Q5YB40, P98157, Q90WI4, O95393, Q86WK7, Q3SZE3, Q90WY5, Q8WXS8, O35806, Q6DI48, P07357, Q29393, Q62371, P13596, P79749, Q8TE58, Q01635, P47749, Q5E9X7, A2BGL3, Q6DIV5, Q5ZEQ8, Q16363, P30987, Q61810, Q8NFY4, P15988, O93390, Q86XS5, P12111, O55111, Q96SM3, Q9NSC7, P02460, P09758, A2RUV9, O43825, Q9EQ31, P59384, Q8QGP3, Q3UR85, G3X745, A4IGL7, Q61391, O93449, P02457, P26769, P20785, P07942, Q14643, P78509, Q7TQN9, P13944, Q7Z304, Q1RMR1, Q8IZU9, Q03350, Q5BKW7, Q80TS3, Q90ZK6, Q01721, Q9Y6C2, Q502J0, Q9N0W7, A5PJX7, O00592, Q96P44, B8A4W9, O89103, Q66PY1, Q90752, Q60675, Q7Z5L7, Q7T2H2, P33145, B5X4E0, E7FBY6, Q8IYJ1, Q9W735, Q96JQ0, Q96G23, Q6PHL4, Q4LDE5, Q8BR86, A1A5X5, O97827, Q5ZQU0, A8WGB1, Q9UKZ9, Q7Z7G0, P16636, Q9WVJ9, Q99542, P55097, O43184, P82347, Q811A3, P51693, Q10751, Q9EQP5, P30372, O93484, Q9HCK4, P19879, Q9GLP1, D4ACX8, P59222, Q8N474, Q5M8H5, B0S5N4, Q5R4I8, Q15375	264	1673	10078	2.669687007553116	1.8848743976905873E-23	1.8848743976905873E-23	1.8300638336220403E-23
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	73	27.547169811320753	1.4837646404131272E-25	P07942, O70138, Q16623, Q5U3G1, P78509, O95393, P13944, Q7Z304, Q1RMR1, Q8IZU9, Q9Y6C2, Q96P44, B8A4W9, Q8WXS8, O35806, Q66PY1, Q90752, P07357, A9JRB3, Q60675, Q6NZ13, Q7Z5L7, Q29393, B5X4E0, Q8TE58, Q5RD69, Q01635, Q4LDE5, Q5E9X7, Q6DIV5, Q8BR86, A1A5X5, Q5ZEQ8, Q5ZQU0, Q16363, Q9UKZ9, A8WGB1, Q4RU86, Q61810, Q7Z7G0, P15988, O93390, P16636, Q86XS5, P12111, Q86V25, Q9WVJ9, Q99542, P21981, P55097, O43184, Q3T0A3, Q96SM3, P02460, Q9EQP5, O95428, A2RUV9, Q7SIB2, Q7SIB3, O93484, P19879, P59384, Q8QGP3, Q9GLP1, G3X745, Q9JI03, A4IGL7, O93449, Q00725, P02457, Q8N474, P20785, Q5R7K9	245	698	9322	3.9793345418396586	5.6383056335698835E-24	5.1872413218265715E-24	5.1872413218265715E-24
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	37	13.962264150943396	2.730127011487669E-25	P07942, O70138, Q61810, P78509, P13944, P15988, Q7Z304, O93390, P12111, Q9Y6C2, Q9WVJ9, Q99542, Q96P44, P21981, Q8WXS8, O35806, Q60675, P02460, Q7Z5L7, Q9EQP5, Q29393, Q7SIB2, Q7SIB3, O93484, Q8TE58, Q5RD69, P19879, Q01635, P59384, Q8QGP3, Q9JI03, A4IGL7, O93449, P02457, Q5ZQU0, P20785, Q16363	245	149	9322	9.448404328174224	1.0374482643653143E-23	5.1872413218265715E-24	5.1872413218265715E-24
UP_KW_DOMAIN	KW-0732~Signal	116	43.77358490566038	1.6863123842496084E-23	A1L3I3, O70138, P26261, O42224, P98157, Q90WI4, O95393, Q86WK7, P46940, Q8WXS8, O35806, Q6DI48, P07357, Q6NZ13, Q29393, Q62371, P13596, P79749, Q8TE58, Q5RD69, Q01635, P47749, Q5E9X7, Q6DIV5, Q5ZEQ8, Q16363, Q4RU86, Q61810, Q8NFY4, P15988, O93390, Q86XS5, P12111, O55111, Q3T0A3, Q96SM3, P02460, P09758, A2RUV9, A1XQX0, Q7SIB2, P59384, Q8QGP3, G3X745, A4IGL7, O93449, P02457, P20785, Q5R7K9, P07942, Q14643, Q5U3G1, P78509, P13944, Q7Z304, Q1RMR1, Q8IZU9, Q03350, Q5BKW7, Q80TS3, Q90ZK6, Q01721, Q9Y6C2, Q9N0W7, O00592, Q96P44, B8A4W9, O89103, Q66PY1, Q90752, A9JRB3, Q60675, Q7Z5L7, Q7T2H2, P33145, B5X4E0, E7FBY6, Q9W735, Q96JQ0, Q4LDE5, Q8BR86, A1A5X5, O97827, Q5ZQU0, A8WGB1, Q9UKZ9, Q5R636, Q9HCU0, Q7Z7G0, P16636, P19477, Q9H5Y7, Q9WVJ9, Q99542, Q02357, P55097, O43184, Q811A3, Q5R6L8, P51693, Q10751, O95428, Q9EQP5, O93484, Q9HCK4, P19879, Q9GLP1, Q9JI03, D4ACX8, P59222, Q00725, Q8N474, Q5M8H5, B0S5N4, Q15375	221	1534	6946	2.3767042069059094	3.8785184837740994E-22	3.8785184837740994E-22	3.203993530074256E-22
UP_KW_PTM	KW-1015~Disulfide bond	104	39.24528301886793	1.677272260964099E-20	Q9NPB9, O70138, O42224, Q5YB40, P98157, Q90WI4, O95393, Q86WK7, Q90WY5, Q8WXS8, O35806, Q6DI48, P07357, Q6NZ13, Q29393, Q62371, Q99P74, P13596, P79749, Q8TE58, Q5RD69, Q01635, P47749, Q5E9X7, A5PMY6, Q6DIV5, Q16363, P01660, P30987, Q61810, Q8NFY4, O93390, Q86XS5, P12111, P21981, Q3T0A3, Q96SM3, Q9NSC7, P02460, P09758, A1XQX0, Q7SIB2, Q7SIB3, P59384, Q8QGP3, G3X745, A4IGL7, Q61391, O93449, P02457, Q5R7K9, P07942, Q5U3G1, P78509, P13944, Q1RMR1, Q8IZU9, Q03350, Q5BKW7, Q80TS3, Q90ZK6, Q9Y6C2, Q9N0W7, A5PJX7, B8A4W9, O89103, Q66PY1, Q90752, A9JRB3, Q60675, Q7T2H2, E7FBY6, Q4LDE5, Q8BR86, A1A5X5, O97827, Q5ZQU0, A8WGB1, Q9UKZ9, Q9HCU0, O75962, O02827, P16636, P19477, Q9WVJ9, Q99542, P55097, O43184, P82347, Q5R6L8, P51693, Q10751, O95428, Q9EQP5, P30372, O93484, Q9HCK4, P19879, Q9GLP1, P59222, Q8N474, B0S5N4, Q15375	223	1324	6790	2.391719615785837	3.689998974121018E-19	3.8577262002174277E-19	2.6836356175425583E-19
UP_KW_PTM	KW-0325~Glycoprotein	121	45.660377358490564	4.270130889868529E-19	A1L3I3, Q9NPB9, O70138, P26261, O42224, Q5YB40, P98157, Q90WI4, O95393, Q86WK7, Q3SZE3, Q90WY5, Q8WXS8, O35806, Q6DI48, P07357, Q29393, Q62371, P13596, P79749, Q8TE58, Q5RD69, Q01635, P47749, Q5E9X7, A2BGL3, Q6DIV5, Q5ZEQ8, Q16363, P30987, Q61810, Q8NFY4, P15988, O93390, Q86XS5, P12111, O55111, Q96SM3, Q9NSC7, P02460, P09758, A2RUV9, O43825, Q9EQ31, P59384, Q8QGP3, Q3UR85, G3X745, A4IGL7, Q61391, O93449, P02457, P26769, P20785, P07942, Q14643, P78509, Q7TQN9, P13944, Q7Z304, Q1RMR1, Q8IZU9, Q03350, Q5BKW7, Q80TS3, Q90ZK6, Q01721, Q9Y6C2, Q502J0, Q9N0W7, A5PJX7, O00592, Q96P44, B8A4W9, O89103, Q66PY1, Q90752, Q60675, Q7Z5L7, Q7T2H2, P33145, B5X4E0, E7FBY6, Q8IYJ1, Q9W735, Q96JQ0, Q96G23, Q6PHL4, Q4LDE5, Q8BR86, A1A5X5, O97827, Q5ZQU0, A8WGB1, Q9UKZ9, Q5R636, Q9HCU0, Q7Z7G0, P16636, Q9WVJ9, Q99542, P55097, O43184, P82347, Q811A3, P51693, Q10751, Q9EQP5, P30372, O93484, Q9HCK4, P19879, Q9GLP1, D4ACX8, P59222, Q8N474, Q5M8H5, B0S5N4, Q5R4I8, Q15375	223	1793	6790	2.054802057828276	9.394287957710764E-18	4.910650523348808E-18	3.416104711894823E-18
GOTERM_CC_DIRECT	GO:0005576~extracellular region	60	22.641509433962266	8.696456432191796E-18	P07942, O70138, Q16623, Q5U3G1, P78509, O95393, P13944, Q7Z304, Q8IZU9, Q03350, A2CEH0, Q9Y6C2, Q96P44, B8A4W9, Q8WXS8, O35806, Q66PY1, Q90752, P07357, A9JRB3, Q60675, Q6NZ13, Q29393, B5X4E0, Q5RD69, Q4LDE5, Q5E9X7, Q6DIV5, Q8BR86, A1A5X5, Q5ZEQ8, Q5ZQU0, Q16363, Q9UKZ9, A8WGB1, Q4RU86, Q61810, Q7Z7G0, P15988, P16636, P12111, Q86V25, Q9WVJ9, Q99542, P21981, P55097, O43184, O95428, A2RUV9, Q7SIB3, O93484, P19879, P59384, Q9GLP1, G3X745, A4IGL7, O93449, Q00725, Q8N474, Q5R7K9	260	662	10023	3.4939577039274927	2.2697751288020588E-15	2.2697751288020588E-15	2.217596390208908E-15
UP_KW_BIOLOGICAL_PROCESS	KW-0130~Cell adhesion	31	11.69811320754717	1.5116118633696697E-16	P07942, P49024, P78509, Q90WI4, O95393, P13944, P15988, P12111, Q03350, O55111, Q9Y6C2, Q86WK7, O00592, O89103, O43184, Q60675, P51693, A1XQX0, P33145, Q96JQ0, P13596, Q01635, Q4LDE5, D4ACX8, P59222, Q8BR86, P20785, Q08DQ0, Q16363, Q5R7K9	131	227	6139	6.399737700507785	7.216449660063518E-15	9.825477111902853E-15	9.825477111902853E-15
GOTERM_CC_DIRECT	GO:0005615~extracellular space	51	19.245283018867926	3.366373992355469E-15	P07942, O70138, Q5U3G1, P78509, O95393, Q1RMR1, Q9Y6C2, O00592, B8A4W9, Q66PY1, Q90752, P07357, Q6NZ13, Q7Z5L7, Q29393, Q8IYJ1, Q8TE58, Q5RD69, Q01635, Q4LDE5, A5PMY6, A1A5X5, O97827, Q5ZEQ8, P01660, Q7Z7G0, O93390, P16636, Q86XS5, P12111, Q9WVJ9, Q99542, P55097, Q3T0A3, Q96SM3, P02460, P09758, Q9EQP5, A2RUV9, Q7SIB2, Q7SIB3, P59384, Q8QGP3, Q9GLP1, Q9JI03, A4IGL7, O93449, P02457, Q8N474, P27216, P20785	260	554	10023	3.5488267148014443	8.693046282814976E-13	4.3931180600238866E-13	4.292126840253223E-13
GOTERM_CC_DIRECT	GO:0005581~collagen trimer	16	6.037735849056604	2.5547332252225163E-13	P02460, Q5U3G1, P13944, P15988, Q7SIB2, P16636, Q7SIB3, P12111, O93484, Q9Y6C2, Q9JI03, A5PMY6, Q96P44, P20785, A8WGB1, Q9UKZ9	260	46	10023	13.408695652173913	6.667566498919086E-11	2.222617905943589E-11	2.171523241439139E-11
