Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR017907:Znf_RING_CS	10	20.408163265306122	5.974441613152064E-10	Q9WUB0, P14373, Q14258, A0A0R4I9Y1, Q91431, Q96LD4, Q6MFZ5, A0A0R4IBK5, Q62158, Q1XHU0	49	100	10404	21.232653061224493	1.1112461606455071E-7	1.0758086955866727E-7	8.675876577311876E-8
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	7	14.285714285714285	1.0700469683167855E-9	P0CT39, P04323, P10394, P14381	47	25	10078	60.03914893617021	2.1186927179339676E-7	2.118692997267235E-7	1.9260845429702137E-7
INTERPRO	IPR000477:RT_dom	7	14.285714285714285	1.1567835436415835E-9	P0CT39, P04323, P10394, P14381	49	25	10404	59.45142857142857	2.1516171877511425E-7	1.0758086955866727E-7	8.675876577311876E-8
UP_SEQ_FEATURE	ACT_SITE:For protease activity	6	12.244897959183673	4.597272619218292E-9	P0CT39, P04323, P10394	47	15	10078	85.77021276595744	9.10259577158179E-7	4.551299893026109E-7	4.137545357296463E-7
INTERPRO	IPR001969:Aspartic_peptidase_AS	6	12.244897959183673	7.095317817510009E-9	P0CT39, P04323, P10394	49	16	10404	79.62244897959184	1.3197282404675548E-6	4.3990970468562056E-7	3.5476589087550047E-7
INTERPRO	IPR041588:Integrase_H2C2	6	12.244897959183673	1.0017070061497928E-8	P0CT39, P04323, P10394	49	17	10404	74.93877551020408	1.8631733051943655E-6	4.6579375785965365E-7	3.7564012730617227E-7
INTERPRO	IPR043502:DNA/RNA_pol_sf	7	14.285714285714285	1.4565876054136357E-8	P0CT39, P04323, P10394, P14381	49	37	10404	40.16988416988417	2.7092492970171023E-6	5.418505892138725E-7	4.369762816240907E-7
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	6	12.244897959183673	2.3335218106864542E-8	P0CT39, P04323, P10394	47	20	10078	64.32765957446807	4.620362562102187E-6	1.5401243950530598E-6	1.4001130864118725E-6
INTERPRO	IPR001584:Integrase_cat-core	6	12.244897959183673	2.4839215456784196E-8	P0CT39, P04323, P10394	49	20	10404	63.69795918367347	4.620083460693536E-6	7.7001567916031E-7	6.209803864196049E-7
INTERPRO	IPR021109:Peptidase_aspartic_dom_sf	6	12.244897959183673	3.2489159516166666E-8	P0CT39, P04323, P10394	49	21	10404	60.66472303206997	6.042965501551478E-6	8.632833814295715E-7	6.961962753464285E-7
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	25	51.02040816326531	4.297082861609816E-8	P04323, Q14258, Q9H0J9, Q5GLZ8, Q6PAV2, Q803R5, P19971, Q6MFZ5, Q99N42, Q503I9, Q62158, P0CT39, Q9WUB0, P14373, P10394, Q2EMV9, Q63184, A0A0R4I9Y1, Q96LD4, A0A0R4IBK5, Q1XHU0, Q15034	37	1543	6565	2.8747963777127743	1.203182501741118E-6	8.539241995183489E-7	7.014377353186437E-7
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	12.244897959183673	5.251595380827901E-8	P0CT39, P04323, P10394	46	22	9291	55.08498023715414	5.14655036476519E-6	3.168025547004885E-6	2.844757634045203E-6
INTERPRO	IPR043128:Rev_trsase/Diguanyl_cyclase	6	12.244897959183673	5.335439829742945E-8	P0CT39, P04323, P10394	49	23	10404	55.38952972493345	9.923869114802919E-6	1.2404897604152348E-6	1.0003949680768021E-6
GOTERM_BP_DIRECT	GO:0015074~DNA integration	6	12.244897959183673	5.596233076387802E-8	P0CT39, P04323, P10394	46	23	9632	54.623818525519845	1.303913842387594E-5	1.303922306798358E-5	1.1808051791178262E-5
INTERPRO	IPR006574:PRY	6	12.244897959183673	6.71628687312449E-8	P14373, Q14258, Q91431, Q6MFZ5, Q62158, Q1XHU0	49	24	10404	53.08163265306122	1.2492215971326992E-5	1.3880326204457278E-6	1.1193811455207484E-6
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	6	12.244897959183673	7.097785550219655E-8	P0CT39, P04323, P10394	37	21	6565	50.69498069498069	1.987378049239652E-6	8.539241995183489E-7	7.014377353186437E-7
UP_SEQ_FEATURE	DOMAIN:B30.2/SPRY	7	14.285714285714285	7.784894449828837E-8	P14373, Q14258, Q91431, Q96LD4, Q6MFZ5, Q62158, Q1XHU0	47	49	10078	30.632218844984802	1.541397281701329E-5	3.2012853698591768E-6	2.910259427144706E-6
