Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	38	27.941176470588236	2.9429557560634634E-7	P28020, P50053, Q9WUR9, O75385, Q8HZM5, Q7RTR2, Q9H222, Q8IXL6, Q6EE31, Q91V92, Q0P4F7, Q7ZU42, Q03468, Q9NPI5, Q8JFR5, Q6BZH1, Q3B8Q1, O70127, Q3MHL7, Q14558, P52429, Q5BL50, Q99315, O57521, P00516, Q9Z0E8, Q5DU56, Q0VCM4, A0A0R4I9Y1, Q9DG02, Q4R6V2, Q9W6Y1, Q80XP9, P46735	127	1156	9291	2.4048306677928237	8.857905792669651E-5	8.858296825751025E-5	8.622860365265948E-5
INTERPRO	IPR000477:RT_dom	7	5.147058823529411	6.17474493356657E-7	P0CT39, Q99315, P04323, P21328, P14381	136	25	10404	21.42	3.3584981788892243E-4	3.359061243860214E-4	3.272614814790282E-4
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	7	5.147058823529411	6.503803663919859E-7	P0CT39, Q99315, P04323, P21328, P14381	133	25	10078	21.216842105263158	4.6686423984687586E-4	4.6697310306944586E-4	4.6697310306944586E-4
INTERPRO	IPR041588:Integrase_H2C2	6	4.411764705882353	1.8646245545827204E-6	P0CT39, Q99315, P04323, P21328	136	17	10404	27.0	0.0010138424175094585	4.6059556995139956E-4	4.4874200748941503E-4
INTERPRO	IPR001584:Integrase_cat-core	6	4.411764705882353	4.527729006277622E-6	P0CT39, Q99315, P04323, P21328	136	20	10404	22.95	0.0024600592379487862	4.6059556995139956E-4	4.4874200748941503E-4
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	6	4.411764705882353	4.730335364232664E-6	P0CT39, Q99315, P04323, P21328	133	20	10078	22.732330827067667	0.0033906276202751995	0.0015621710238407187	0.0015621710238407187
GOTERM_MF_DIRECT	GO:0051787~misfolded protein binding	6	4.411764705882353	5.578973259347673E-6	Q9R0T3, Q6BZH1, G3H0N9, P05371, Q9W6Y1	127	20	9291	21.947244094488187	0.0016778664409802246	7.259163045034583E-4	7.066228479053598E-4
INTERPRO	IPR021109:Peptidase_aspartic_dom_sf	6	4.411764705882353	5.880943660019171E-6	P0CT39, Q99315, P04323, P21328	136	21	10404	21.85714285714286	0.0031941306343425957	4.6059556995139956E-4	4.4874200748941503E-4
SMART	SM01230:Gln-synt_C	4	2.941176470588235	6.402969349622033E-6	Q8HZM5	70	4	5797	82.81428571428572	6.0169995171655E-4	6.018791188644712E-4	6.018791188644712E-4
INTERPRO	IPR043502:DNA/RNA_pol_sf	7	5.147058823529411	7.132934281607085E-6	P0CT39, Q99315, P04323, P21328, P14381	136	37	10404	14.472972972972972	0.0038728113356834015	4.6059556995139956E-4	4.4874200748941503E-4
