Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0812~Transmembrane	208	33.12101910828025	7.458045584282018E-8	Q4FZX7, P56476, Q4VBI2, P48055, A2VDZ9, A0A452G813, Q1LWC2, O35488, Q5F2N2, A3KNA7, Q800H9, Q9PTE6, Q86WC4, Q6DHS9, P35408, Q9WUS4, O14681, Q8MIB3, P48960, O42596, Q58EK4, Q9H9V4, Q86TL2, Q7ZW24, Q4V9F0, P0C1G7, Q3SZL5, Q13255, Q4V8X0, Q5U305, P0C1T0, Q96H78, O42449, P21109, Q6IQC7, Q9Y6A2, Q6DD88, Q9Z2F7, Q99102, P01898, P45433, Q9YI66, Q9P2D8, Q90XY5, F1QGD2, Q13822, Q8R5J9, Q9H0R3, Q1RMQ3, P20701, O35811, Q801G2, Q2NNR5, Q6DEL1, Q8BZB3, A1A5V7, Q9Y225, Q8CJ61, Q6TNT2, A7Y2W8, Q0V9J0, Q93063, I6V1W0, O08992, A8MVW5, Q92537, Q8BGT9, Q6P036, Q5RBN0, Q9IB86, Q5ZK82, Q925S8, Q9UM44, Q5U3H3, Q9D8T4, Q5RED0, P31641, Q924A5, P51799, O60779, Q5RCQ5, P20647, Q7ZV50, Q5RFW0, Q52KL1, Q6AZD1, Q7TMV1, P80204, Q32L89, Q9CQ69, Q9BUR5, P58873, Q7ZU13, B5X4H8, Q96SA4, P27808, Q7SZQ4, O08893, Q6DH46, Q6DFQ7, Q5RH71, Q4V786, P55931, Q9D379, Q5XIY2, Q9Y257, Q5U3V7, A5PN43, P36514, Q8HXQ5, Q6DG32, Q5R9K1, Q8BG09, Q6IQ85, Q9BY79, Q5EB30, Q9BRR3, O95279, Q3T904, Q9Y663, Q96HA9, Q9BGL2, Q08C93, Q8BGH4, Q32KH8, P16065, P17706, Q5FVM7, Q5R6J7, Q60997, O15375, P97872, Q5F383, Q99087, P79747, O55026, Q9GKT2, Q8R2N1, Q969S6, Q5XF89, Q68EW1, P70280, P00171, Q3T126, Q794F9, Q8C4N4, Q80UG1, Q7SY29, Q62904, Q2HJ22, Q15842, Q9Y5X5, Q8CI52, Q9I8W5, O08858, Q80T32, Q6PH61, Q566M8, Q9H4A6, Q9IA79, P79832, A0A0G2KTI4, Q98SV0, Q7SXW6, Q9JLR9, Q9JHJ1, Q28C60, O35166, O97817, Q9H2D1, A4QNX3, Q6PC24, Q06056, Q8VEL0, Q9DCQ3, P69478, P0DTE4, Q96LL9, O75845, Q6DJQ9, Q8N6U8, Q6R5N8, Q7TSX5, Q8BXK9, Q6NZ21, Q6PBN5, P14222, Q502L1, Q96PS8, Q969V5, Q791V5, P18031, Q9UHE5, Q61183, Q6AY85, Q6P6G5, Q9Y6F6, Q32LQ6, A2VDL9	426	2536	6946	1.337332089275929	2.013670354572561E-6	1.3379208777008414E-6	1.3379208777008414E-6
UP_KW_DOMAIN	KW-1133~Transmembrane helix	206	32.802547770700635	9.910525020006232E-8	Q4FZX7, P56476, Q4VBI2, P48055, A2VDZ9, A0A452G813, Q1LWC2, O35488, Q5F2N2, A3KNA7, Q800H9, Q9PTE6, Q86WC4, Q6DHS9, P35408, Q9WUS4, O14681, Q8MIB3, P48960, O42596, Q58EK4, Q9H9V4, Q86TL2, Q7ZW24, Q4V9F0, P0C1G7, Q3SZL5, Q13255, Q4V8X0, Q5U305, P0C1T0, Q96H78, O42449, P21109, Q6IQC7, Q9Y6A2, Q6DD88, Q9Z2F7, Q99102, P01898, P45433, Q9YI66, Q9P2D8, Q90XY5, F1QGD2, Q13822, Q8R5J9, Q9H0R3, Q1RMQ3, P20701, O35811, Q801G2, Q2NNR5, Q6DEL1, Q8BZB3, A1A5V7, Q9Y225, Q8CJ61, Q6TNT2, A7Y2W8, Q0V9J0, Q93063, I6V1W0, O08992, A8MVW5, Q92537, Q8BGT9, Q6P036, Q5RBN0, Q9IB86, Q5ZK82, Q925S8, Q9UM44, Q5U3H3, Q9D8T4, Q5RED0, P31641, Q924A5, P51799, O60779, Q5RCQ5, P20647, Q7ZV50, Q5RFW0, Q52KL1, Q6AZD1, Q7TMV1, P80204, Q32L89, Q9CQ69, Q9BUR5, P58873, Q7ZU13, B5X4H8, Q96SA4, P27808, Q7SZQ4, O08893, Q6DH46, Q6DFQ7, Q5RH71, Q4V786, P55931, Q9D379, Q5XIY2, Q9Y257, Q5U3V7, A5PN43, P36514, Q8HXQ5, Q6DG32, Q5R9K1, Q8BG09, Q6IQ85, Q9BY79, Q5EB30, Q9BRR3, O95279, Q3T904, Q9Y663, Q96HA9, Q9BGL2, Q08C93, Q8BGH4, Q32KH8, P16065, P17706, Q5FVM7, Q5R6J7, Q60997, O15375, P97872, Q5F383, Q99087, P79747, O55026, Q9GKT2, Q8R2N1, Q969S6, Q5XF89, Q68EW1, P70280, P00171, Q3T126, Q794F9, Q8C4N4, Q80UG1, Q7SY29, Q62904, Q2HJ22, Q15842, Q9Y5X5, Q8CI52, Q9I8W5, O08858, Q80T32, Q6PH61, Q566M8, Q9H4A6, Q9IA79, P79832, A0A0G2KTI4, Q98SV0, Q7SXW6, Q9JLR9, Q9JHJ1, Q28C60, O35166, O97817, Q9H2D1, A4QNX3, Q6PC24, Q06056, Q8VEL0, Q9DCQ3, P69478, P0DTE4, Q96LL9, O75845, Q8N6U8, Q6R5N8, Q7TSX5, Q8BXK9, Q6NZ21, Q6PBN5, Q502L1, Q96PS8, Q969V5, Q791V5, P18031, Q9UHE5, Q61183, Q6AY85, Q6P6G5, Q9Y6F6, Q32LQ6, A2VDL9	426	2513	6946	1.3365952446340064	2.6758383087077675E-6	1.3379208777008414E-6	1.3379208777008414E-6
INTERPRO	IPR000477:RT_dom	11	1.7515923566878981	8.055336508491433E-7	P0CT39, Q95SX7, P04323, P21328, Q7LHG5, P10394, P20825, P14381, Q9NBX4, P11369	625	25	10404	7.324416000000001	0.001303309459632973	7.302968074405233E-4	7.28492491671677E-4
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	11	1.7515923566878981	8.359066604089868E-7	P0CT39, Q95SX7, P04323, P21328, Q7LHG5, P10394, P20825, P14381, Q9NBX4, P11369	608	25	10078	7.293289473684211	0.001393321317643803	0.00139429230956219	0.001392620496241372
INTERPRO	IPR043502:DNA/RNA_pol_sf	13	2.0700636942675157	9.021578844231294E-7	P0CT39, Q95SX7, P04323, P21328, Q7LHG5, P10394, Q9UBT6, P20825, P14381, Q9NBX4, P11369, P04146	625	37	10404	5.848735135135135	0.0014595281249994985	7.302968074405233E-4	7.28492491671677E-4
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	10	1.5923566878980893	1.0437717428607554E-6	P0CT39, Q95SX7, P04323, P21328, Q7LHG5, P10394, P20825, Q9NBX4, P11369	360	22	6565	8.289141414141413	8.349829682674503E-5	8.350173942886043E-5	7.828288071455666E-5
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	10	1.5923566878980893	2.0138538177285737E-6	P0CT39, Q95SX7, P04323, P21328, Q7LHG5, P10394, P20825, Q9NBX4, P11369	549	22	9291	7.692498758072529	0.001611798188106528	0.0016130969080005875	0.0016130969080005875
GOTERM_BP_DIRECT	GO:0015074~DNA integration	10	1.5923566878980893	3.0024555505214114E-6	P0CT39, P04323, P21328, Q7LHG5, P10394, P20825, P11369, Q5I0M0, P04146	566	23	9632	7.398986019357812	0.006583644347438411	0.006605402211147105	0.006605402211147105
INTERPRO	IPR001584:Integrase_cat-core	9	1.4331210191082804	1.0586825330735304E-5	P0CT39, P04323, P21328, Q7LHG5, P10394, P20825, P11369, P04146	625	20	10404	7.49088	0.016994104052105552	0.005713356736820152	0.005699240969712505
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	9	1.4331210191082804	1.0908712914014008E-5	P0CT39, P04323, P21328, Q7LHG5, P10394, P20825, P11369, P04146	608	20	10078	7.459046052631578	0.01803128774947016	0.009097866570287683	0.009086957857373668
