Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008152~metabolic process	5	6.578947368421052	6.451007294279754E-4	Q9CWJ9, Q6DTY7, Q7LHG5, Q8K4Q6, Q8VC60	70	61	10617	12.432084309133488	0.22650257715212674	0.2567500903123342	0.2567500903123342
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	11	14.473684210526317	0.001579128054045392	P54996, P20108, P36968, Q7T3D1, Q5U3U0, P97501, Q98T91, P30044, Q63321, P52786, P26325	54	458	7218	3.2103347889374088	0.0642208676093795	0.06632337826990646	0.06474425021586107
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	5	6.578947368421052	0.0018659012147577347	P20108, P36968, Q8K4Q6, P30044, Q923T9	70	81	10617	9.362433862433862	0.5244686090255164	0.37131434173678923	0.37131434173678923
INTERPRO	IPR016050:Proteasome_bsu_CS	3	3.9473684210526314	0.002667899364573114	A1XQU1, Q9R1P0, O73817	76	12	11472	37.73684210526316	0.6032015201033505	0.5395630430903511	0.5395630430903511
UP_KW_CELLULAR_COMPONENT	KW-0647~Proteasome	4	5.263157894736842	0.0044298597004868295	A1XQU1, Q9R1P0, P54727, O73817	67	52	10308	11.83467278989667	0.12080742179966153	0.12846593131411804	0.09745691341071025
GOTERM_BP_DIRECT	GO:0030301~cholesterol transport	3	3.9473684210526314	0.004709935370234068	P04114, Q7TMA5, Q9H1P3	70	16	10617	28.43839285714286	0.8472545857467414	0.6248514257843863	0.6248514257843863
GOTERM_CC_DIRECT	GO:0005839~proteasome core complex	3	3.9473684210526314	0.005506188827792615	A1XQU1, Q9R1P0, O73817	70	18	11056	26.323809523809523	0.5201811779300434	0.3969816437288886	0.3910119949510106
GOTERM_MF_DIRECT	GO:0004601~peroxidase activity	3	3.9473684210526314	0.0060115858290362804	P20108, P36968, P30044	68	18	10257	25.139705882352942	0.6876832976335516	0.5241786508634747	0.5241786508634747
INTERPRO	IPR001353:Proteasome_sua/b	3	3.9473684210526314	0.006029796188599669	A1XQU1, Q9R1P0, O73817	76	18	11472	25.157894736842103	0.8766371037762816	0.5395630430903511	0.5395630430903511
GOTERM_MF_DIRECT	GO:0016740~transferase activity	12	15.789473684210526	0.006804031594578878	Q9CWJ9, Q6DTY7, Q7LHG5, Q86IC9, Q00973, Q66J69, B4F6W9, Q9WUR9, Q69ZR2, Q99KQ4, Q923T9, Q8C0E3	68	724	10257	2.500081247968801	0.7322404543195797	0.5241786508634747	0.5241786508634747
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	5	6.578947368421052	0.007626498003335173	Q00973, P78382, Q8VC60, Q08DP0, P10253	70	120	10617	6.319642857142857	0.9524978318465119	0.7038091025472327	0.7038091025472327
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	3	3.9473684210526314	0.008147854676634323	Q95SX7, P21328, Q7LHG5	68	21	10257	21.548319327731093	0.793814156252561	0.5241786508634747	0.5241786508634747
GOTERM_BP_DIRECT	GO:0048844~artery morphogenesis	3	3.9473684210526314	0.00884182289632202	P04114, Q7TMA5, Q9Y5C1	70	22	10617	20.68246753246753	0.9708323545792855	0.7038091025472327	0.7038091025472327
UP_KW_MOLECULAR_FUNCTION	KW-0575~Peroxidase	3	3.9473684210526314	0.009236212461216125	P20108, P36968, P30044	54	20	7218	20.049999999999997	0.32275588747069495	0.14225084063787036	0.1388639158607782
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	3	3.9473684210526314	0.009306153995066554	Q95SX7, P21328, Q7LHG5	72	23	11132	20.166666666666664	0.972409812261137	1.0	1.0
INTERPRO	IPR000477:RT_dom	3	3.9473684210526314	0.009762866963956656	Q95SX7, P21328, Q7LHG5	76	23	11472	19.68878718535469	0.966444326731278	0.5395630430903511	0.5395630430903511
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	9	11.842105263157894	0.009857002124290914	P04114, P20108, Q7TMA5, Q9R1P0, P97501, Q9H1P3, P30044, P10253, P52786	70	481	11056	2.955271755271755	0.7321920688137329	0.3969816437288886	0.3910119949510106
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	3	3.9473684210526314	0.010160774331276455	Q95SX7, P21328, Q7LHG5	54	21	7218	19.09523809523809	0.348797997333139	0.14225084063787036	0.1388639158607782
INTERPRO	IPR029055:Ntn_hydrolases_N	3	3.9473684210526314	0.011479489285905933	A1XQU1, Q9R1P0, O73817	76	25	11472	18.113684210526316	0.9815902891563303	0.5395630430903511	0.5395630430903511
GOTERM_CC_DIRECT	GO:0005769~early endosome	6	7.894736842105263	0.012165125912771564	P04114, P20108, O95630, Q5RDY2, Q9Y5C1, P46735	70	221	11056	4.288041370394312	0.803655331262991	0.3969816437288886	0.3910119949510106
GOTERM_CC_DIRECT	GO:0034359~mature chylomicron	2	2.631578947368421	0.012443521767728588	P04114, Q7TMA5	70	2	11056	157.94285714285715	0.8108796251196465	0.3969816437288886	0.3910119949510106
UP_SEQ_FEATURE	REGION:Basic (possible receptor binding region)	2	2.631578947368421	0.0127159090222536	P04114, Q7TMA5	72	2	11132	154.61111111111111	0.9926585587025492	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Apolipoprotein B100 C-terminal	2	2.631578947368421	0.0127159090222536	P04114, Q7TMA5	72	2	11132	154.61111111111111	0.9926585587025492	1.0	1.0
UP_SEQ_FEATURE	REGION:K-box	2	2.631578947368421	0.0127159090222536	B4F6W9, Q69ZR2	72	2	11132	154.61111111111111	0.9926585587025492	1.0	1.0
INTERPRO	IPR009454:Lipid_transpt_open_b-sht	2	2.631578947368421	0.013033139053257758	P04114, Q7TMA5	76	2	11472	150.94736842105263	0.9893170921728588	0.5395630430903511	0.5395630430903511
INTERPRO	IPR022176:ApoB100_C	2	2.631578947368421	0.013033139053257758	P04114, Q7TMA5	76	2	11472	150.94736842105263	0.9893170921728588	0.5395630430903511	0.5395630430903511
INTERPRO	IPR045322:HECTD1/TRIP12-like	2	2.631578947368421	0.013033139053257758	B4F6W9, Q69ZR2	76	2	11472	150.94736842105263	0.9893170921728588	0.5395630430903511	0.5395630430903511
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	5	6.578947368421052	0.0131244825775492	Q9CWJ9, Q6DTY7, Q7LHG5, Q8K4Q6, P10253	68	140	10257	5.387079831932773	0.9219022745411323	0.6332562843667489	0.6332562843667489
INTERPRO	IPR013766:Thioredoxin_domain	3	3.9473684210526314	0.017350381714097952	P20108, P36968, P30044	76	31	11472	14.60780984719864	0.997656059056028	0.5395630430903511	0.5395630430903511
UP_KW_MOLECULAR_FUNCTION	KW-0511~Multifunctional enzyme	4	5.263157894736842	0.0174082300099406	Q9CWJ9, Q6DTY7, Q7LHG5, Q8K4Q6	54	75	7218	7.128888888888889	0.5217322090676713	0.18278641510437632	0.17843435760189116
INTERPRO	IPR036249:Thioredoxin-like_sf	4	5.263157894736842	0.01807684138451723	P20108, P36968, P30044, Q9H299	76	85	11472	7.103405572755418	0.9981852532557082	0.5395630430903511	0.5395630430903511
