Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0132~Cell division	70	7.454739084132056	2.2863744846145044E-13	Q91727, O43670, O95835, Q14008, Q6DHG8, Q6DBX4, Q9YHB5, P50533, Q6DRJ7, O35685, Q80WE4, Q15021, Q9Z1S0, P61025, Q9UNS1, A4QP72, O43683, Q9H0H5, Q91636, P97477, Q68CZ6, P51955, Q9NQR1, P39963, Q92162, P47827, P62289, P24406, P51958, P17120, B5DG51, Q6NYX6, Q9H1A4, Q9UJX5, P42695, Q66HR2, Q0IHP2, Q90459, Q62623, Q13257, Q02241, Q9NQW6, Q8BHX1, P56616, Q99K43, O08773, Q8BMN4, Q7ZUS1, A5WWB6, Q9Y5X1, P43450, Q8NFH4, Q9PTG8, Q95107, P51892, O43663, P53350, A8WIP6, Q9H8V3, E7FH61, Q9NRZ9, Q6NUF4, Q25330, O75154, A0JMF7, Q1T769, Q28ER3, A2BGR3, O14578	592	289	6139	2.511748340035537	3.383204827400732E-11	3.383834237229467E-11	3.2009242784603064E-11
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	96	10.223642172523961	4.983956614113702E-13	Q91727, Q658P3, O43670, O95835, Q14008, Q6DHG8, Q5R652, Q6DBX4, Q9YHB5, P50533, Q6DRJ7, O35685, B2RZ50, F1QGZ6, P0C6T1, Q80WE4, Q15021, Q9Z1S0, P61025, Q9UNS1, Q91V33, A4QP72, O43683, Q9H0H5, Q91636, P97477, O15297, Q68CZ6, P51955, A0JMQ7, Q9NQR1, Q6DRL4, P39963, Q8BZ36, Q92162, P47827, Q9HCM9, P62289, P24406, P51958, P17120, Q800K6, B5DG51, Q6NYX6, Q9H1A4, Q9Z0R0, Q9UJX5, Q6GM86, P42695, Q66HR2, Q498J7, Q0IHP2, Q90459, Q62623, Q90977, Q13257, Q9Z1X9, P49321, Q8K4R9, Q02241, Q9NQW6, Q8BHX1, Q5I2W8, P56616, Q99K43, O08773, P49718, Q8BMN4, Q7ZUS1, A5WWB6, Q9Y5X1, P43450, Q8NFH4, Q9PTG8, A0JN92, Q66I84, Q95107, P51892, Q5R1S9, Q6DIH3, O43663, P53350, A8WIP6, Q9H8V3, E7FH61, Q9NRZ9, Q6NUF4, Q25330, O75154, A0JMF7, Q9ESG9, Q1T769, Q28ER3, A2BGR3, O14578	592	474	6139	2.1002394799863158	7.376010913162645E-11	3.6881278944441394E-11	3.4887696298795916E-11
UP_KW_BIOLOGICAL_PROCESS	KW-0498~Mitosis	55	5.857294994675186	1.8151961487952548E-12	O43670, O95835, Q14008, Q6DHG8, Q6DBX4, Q9YHB5, P50533, Q6DRJ7, O35685, Q80WE4, Q15021, Q9Z1S0, Q9UNS1, A4QP72, O43683, Q91636, P97477, Q68CZ6, P51955, Q9NQR1, Q92162, P47827, P62289, P51958, P17120, B5DG51, Q6NYX6, Q9H1A4, Q9UJX5, P42695, Q66HR2, Q0IHP2, Q62623, Q13257, Q02241, Q9NQW6, Q8BHX1, P56616, Q8BMN4, Q7ZUS1, A5WWB6, Q9Y5X1, P43450, Q8NFH4, Q9PTG8, Q95107, P53350, E7FH61, Q9NRZ9, Q6NUF4, A0JMF7, Q1T769, Q28ER3, A2BGR3, O14578	592	205	6139	2.7821769940672376	2.686517674987954E-10	8.954967667389925E-11	8.470915361044522E-11
GOTERM_BP_DIRECT	GO:0051301~cell division	63	6.7092651757188495	5.709647416862855E-12	Q91727, O43670, O95835, Q14008, Q6DHG8, Q6DBX4, Q9YHB5, P50533, Q6DRJ7, O35685, Q80WE4, Q15021, Q9Z1S0, P61025, Q9UNS1, A4QP72, O43683, Q91636, P97477, Q68CZ6, P51955, Q9NQR1, P39963, Q92162, P47827, P62289, P51958, P17120, B5DG51, Q6NYX6, Q9H1A4, Q9UJX5, P42695, Q66HR2, Q0IHP2, Q90459, Q62623, Q13257, Q8BHX1, P56616, Q99K43, O08773, Q8BMN4, Q7ZUS1, A5WWB6, P43450, Q8NFH4, Q9PTG8, Q95107, P51892, O43663, P53350, A8WIP6, E7FH61, Q9NRZ9, Q6NUF4, Q25330, O75154, A0JMF7, Q1T769, Q28ER3, Q15058, A2BGR3	883	271	9632	2.535870251114742	1.6129775182172068E-8	1.6129753952637568E-8	1.6032689946550897E-8
GOTERM_BP_DIRECT	GO:0006260~DNA replication	31	3.301384451544196	4.680640111920825E-10	P79733, Q9Y248, P79732, Q91628, P33316, Q9Z1X9, P49321, Q5R6Z7, Q05B83, P49718, P0C6T1, Q01105, Q01588, Q91684, O89044, Q66I84, Q5R1S9, P51892, Q6DIH3, Q07864, Q7ZT47, Q6DRL4, Q7ZT48, P35249, Q96S55, Q7ZV90, Q96RR1, Q800K6, P20664, Q498J7	883	94	9632	3.5974072913905695	1.3222800164802706E-6	6.611404158088165E-7	6.571618717136838E-7
UP_KW_BIOLOGICAL_PROCESS	KW-0235~DNA replication	26	2.768903088391906	8.833591424407511E-9	Q9Y248, Q91628, Q9Z1X9, P49321, Q5R6Z7, Q05B83, P49718, P0C6T1, Q01588, Q91684, O89044, Q66I84, Q5R1S9, P51892, Q6DIH3, Q07864, Q7ZT47, Q7ZT48, P35249, Q96S55, Q96RR1, Q800K6, Q5ZKQ6, B5DG51, P20664, Q498J7	592	74	6139	3.6434897735573415	1.3073706803812257E-6	3.268428827030779E-7	3.091756998542629E-7
UP_KW_CELLULAR_COMPONENT	KW-0493~Microtubule	41	4.366347177848776	9.734068948687017E-9	A8WFU8, O43670, P79955, O95235, Q02241, Q8BHX1, Q6DHG8, Q9ERW3, Q99K43, O08773, B1AVY7, O35685, Q80WE4, Q91785, Q9H0H5, Q8TE73, Q91636, P30436, P30416, A4Q9F4, P97477, O43663, Q68CZ6, P51955, P68373, E7F5E1, Q6NUF4, Q9D6T1, Q9NQT8, P18700, A0JMF7, Q5ZKK5, P17120, Q99PW8, P09244, Q66HR2, P02554, Q15058, P85108, Q0IHP2	836	171	9322	2.6735638937855004	4.964373979676751E-7	4.964375163830379E-7	4.185649647935417E-7
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	27	2.8753993610223643	1.4048642665674632E-7	Q8CAS9, Q460N5, Q96IP4, Q8I7P9, P21328, O14802, Q32PL8, O00370, Q2EMV9, Q03249, Q9NBX4, Q7ZWD4, Q91684, P04323, Q4KMD7, Q9H0J9, O75417, Q07864, P0CT39, Q99315, Q7LHG5, P10394, Q92089, P20825, Q4KTA7, Q1LVN8, P20664	612	92	6565	3.148177749360614	1.2362729990278432E-5	1.2362805545793676E-5	1.0536481999255974E-5
GOTERM_CC_DIRECT	GO:0005694~chromosome	48	5.111821086261981	2.440599603522705E-7	Q8IY81, Q9Y248, P07746, Q3UHX0, Q5SSJ5, O70157, Q3SYU1, Q6DHG8, Q5I2W8, P30681, Q9YHB5, P50533, Q6DRJ7, P49718, Q6DRD4, Q32PL8, A5WWB6, Q9Z1S0, A1L1R6, Q15021, Q9ESN5, Q91636, Q6DIH3, B0V2S2, Q91918, O43663, Q5ZMJ7, Q7ZT47, Q9NQR1, Q5R5W2, Q7ZT48, Q5U4T8, A9JR78, Q6NRV0, Q800K6, Q9Z0R0, Q8BKS9, Q3UA06, F1MNN4, Q6NW76, Q6GM86, Q28ER3, A2BGR3, Q4QQT6, Q2HJ56, Q8BVY0, Q0IHP2, Q6P026	902	241	10023	2.2131731238096988	1.4788941730381477E-4	1.4790033597347592E-4	1.449716164492487E-4
GOTERM_MF_DIRECT	GO:0005524~ATP binding	151	16.080937167199146	1.007300987054655E-6	P11607, A8WFU8, O95835, P16617, E9QI36, Q63570, Q5R6Z7, Q6DBX4, Q08BH7, P50533, Q04637, Q05B83, P83571, Q63184, Q95JP6, Q80WE4, Q5R5H1, Q9Z1S0, Q92614, Q8JHJ2, F1NQJ3, O43683, Q91636, O75417, Q91918, P97477, Q9UKE5, P35249, P19468, Q96S55, Q7ZV90, Q7LHG5, Q99PW8, Q6DI51, Q9Z0R0, O88685, Q91233, Q8WXR4, O43293, Q498J7, P11029, Q24K02, Q6GQJ7, P17248, A3KMV5, Q6DG60, Q08CX1, Q91V92, O14841, Q00779, P51892, O75879, O43542, Q9D4V0, Q5ZMF3, Q9NRZ9, Q6PF21, P34932, Q9ESG9, Q9I9H8, Q96RR1, Q9I8F9, A2BGR3, O14578, Q15058, Q96S38, Q5R8R1, Q96J92, Q91727, Q9Y105, P79955, O95235, Q5ZHZ0, P07949, O76039, Q64343, Q86UK0, Q5R652, Q7RTR2, Q66I24, Q7ZV60, F1QGZ6, Q6BZH1, Q6P158, Q9WV85, Q59HJ6, Q9Z1W9, A4Q9F4, P51791, P51955, Q9NP78, P23919, Q920A7, Q99315, Q9H5Z1, Q9QZS5, Q05513, P61078, Q5DU56, P51958, A0A0R4I9Y1, P17120, Q1LVN8, Q3UA06, Q16566, Q6NW76, P79732, Q924H5, O15067, F1QDI9, P57709, Q02241, Q9JJL8, P56616, Q07498, Q8HZM5, I0IUP3, Q5R511, Q922D8, Q9NU22, P49718, B1AVY7, Q3TL44, Q7ZUS1, P43450, Q91785, Q1LXK4, Q5ZL72, Q6DHU8, Q4KMD7, Q8TE73, Q9Z1Q9, P08108, P30416, Q6DIH3, P53350, Q14558, A8WIP6, P70076, Q12931, P52429, Q8R5F7, Q9NQT8, Q5U3W1, F1Q8K0	839	1156	9291	1.44650391180801	0.0010822630369404784	0.001082848561083754	0.0010757974541743716
