Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0140662~ATP-dependent protein folding chaperone	12	1.046207497820401	7.125984054114372E-6	O57521, P50143, Q95M18, Q9CQN1, P08108, Q0VCX2, Q4R6V2, P48722, Q3ZCI9, P24724, P40227, Q5R511	1078	24	10742	4.982374768089054	0.009489290450764631	0.00953456666440503	0.00953456666440503
GOTERM_CC_DIRECT	GO:0005829~cytosol	349	30.42720139494333	1.7187083029164378E-4	Q95LD9, Q13237, Q62769, Q9CXS4, Q5PU49, Q9H840, Q96M32, Q99490, O95793, Q96DR7, O15519, Q8JZM7, Q7L0Q8, P15253, Q9UEY8, Q9H7B4, Q63184, Q7TPH6, O02691, Q155U0, Q5M9G6, Q6NY64, Q9UBS8, Q9Y2X3, P48722, Q6KCD5, Q5SPB6, Q9H4L5, Q5PQN1, Q91VS8, Q9EPL8, Q13009, Q12955, Q63186, Q8R3H9, Q6NZJ6, Q7SX99, Q8NF99, Q5RG44, Q6PDH0, Q05B79, Q8NEG4, Q9Z2V5, Q9Z254, Q92845, Q13496, P30622, P54996, Q14103, P36968, Q13136, Q8IWY9, Q90WG2, P14018, Q1L990, Q8CFY5, Q09632, Q99LW6, Q99M87, P46527, Q8QGQ6, O00291, Q8IVF5, Q9QXL2, Q7SYK1, Q9UDY8, P62494, Q80YG3, O94925, O15534, Q80WC3, Q53EL6, Q9BXS5, Q5VUA4, Q5VZK9, A2TLM1, Q7Z2Z2, E9PUQ8, Q5R1W5, Q9P243, Q62077, P36956, P70434, P54646, Q9JL26, Q8QZV1, P61972, A3KGB4, Q9TRY0, O13008, Q1XHU0, Q5R8Z8, Q92539, P98199, Q9D8U8, Q91YN5, O95359, P58058, Q96N96, P0C870, Q80W88, P52758, Q5SGD2, Q5R651, Q9Z1N9, O60645, Q9BXI6, P19525, Q764M5, P61222, A8C754, Q764M6, P39023, Q5XIZ6, A0A0R4IBK5, Q9H8H3, Q3B8Q1, Q13164, Q00915, Q7Z419, Q92529, P26990, Q14258, O95487, Q2KIT4, Q60HC3, Q9Y2T3, Q9NYA4, Q91YM2, Q5SWU9, O15297, Q9N0F3, Q9WV06, O43524, Q9ULC3, Q9UKA4, Q01433, A0A0R4I9Y1, Q8NDI1, Q6PFP6, Q8R1X6, Q6NUT7, Q3UH66, Q91W89, Q9H3M7, P00491, Q9UGJ0, Q3TLD5, Q8AWD1, Q9UTT1, O95931, Q7Z401, Q96LT4, Q9NR45, Q5RBL1, Q02878, O70437, P26038, P40227, Q9UGK3, Q6DN12, Q1LUV9, Q13620, Q3UPH7, A6QP81, Q8NEZ4, Q5XHF8, P57678, Q9H299, Q2KJG3, O76094, Q93034, Q9JIQ3, Q9HBI1, A4IGH4, Q5XNS0, Q8BGQ7, Q9DCW4, P22061, Q28BQ6, O95714, Q9UPV9, O94988, E7F9T0, Q62120, Q922B9, Q9Z1J3, Q640K1, A1L390, P68182, A3QK15, O00423, Q68EI3, P00949, P41252, Q9XSC3, Q02974, Q6DC04, Q5R7L8, Q922R8, Q58WW2, Q9Y6X9, P29144, P49410, Q90705, O75897, O75410, Q9NWZ5, Q9QXS1, O95045, Q32KZ1, Q3U3Q1, F7BWT7, Q9NUV9, Q5T890, Q7ZUX3, Q5REY3, Q9JHU5, O55029, P23276, O70404, O70405, A0A024RBG1, Q6DHI0, Q96BT7, Q96D71, Q9Y6I3, A2AN08, Q96HP0, P21868, A1L251, Q8CGC7, Q91V92, Q7Z6Z7, Q7ZT42, Q17R13, P20650, Q6PJI9, O14841, Q9Y5X2, O60260, D2XV59, A8MT69, A6H751, Q01063, Q5NUA6, Q03001, Q9WTK3, Q2I6J0, Q9P2M4, P0C548, B1AQJ2, Q80UF7, O89114, Q13310, Q99615, O95995, Q8IVU3, Q96EP0, Q8BHN0, Q13315, Q9ULJ3, P30044, Q9JL19, Q61990, Q7RTR2, P53447, A0JMI9, Q9JL15, Q6UUV9, Q95M18, Q9BZE4, Q5MIB5, P00504, P22892, A7MB10, Q803J8, Q3SZI0, Q9JHZ4, Q8BK35, Q8BN82, Q5VW36, O95405, Q6NXR4, Q921C5, P10688, O08915, O57521, Q8C547, Q9Z0E8, Q8N0Z6, P30280, Q91YD9, Q0V8A3, Q9UK96, Q8WYP5, K7NA32, P24724, P20004, Q9NZL6, Q32LQ4, Q5RAA9, P04897, P24386, Q0VCX2, Q12800, Q9WV92, P51161, Q13217, Q4V8C3, Q501J6, P51965, P15428, O42249, Q12923, O00763, Q7M753, Q8HZM5, Q9NU22, P15311, F1QB54, Q9JM13, Q9QYR7, Q566R7, Q02356, Q9NPI5, Q9NZM3, Q63918, Q9Y535, P08108, Q91XQ2, Q8IWT3, P49796, Q8VC51, Q5RFL7, Q9EP53, Q6ZSB9, Q62158, Q9Z1Z0, Q9JJK2, Q01134, Q68EL3, A4IGP0, P26325	1121	3007	11354	1.175534220330973	0.11031001571988686	0.11687216459831777	0.11687216459831777
INTERPRO	IPR036890:HATPase_C_sf	9	0.7846556233653008	2.358661488877096E-4	Q15118, O57521, Q95M18, Q9CQN1, Q9Y6X9, Q6P5D8, P24724, Q9NZJ4, F4JTS8	1139	19	11597	4.822928700152488	0.5059344485631404	0.7050039190253641	0.7050039190253641
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	140	12.205754141238012	5.852316669015905E-4	P04753, Q6P0H7, Q4R7G8, Q9UPV9, P55782, P55781, Q5PU49, Q9H3K2, Q9DBL7, Q9Z1J3, Q2KIF8, Q08CZ6, Q0P4F7, O02691, Q3ZBY7, Q5R7L8, P25325, Q6DHS9, O14548, P49253, Q6NVR9, Q1L987, P28331, P49410, Q8BH86, Q32KZ1, Q86VP3, Q7SX99, Q5T890, Q9CZE3, F1RAX8, Q5REY3, Q05B79, Q1L908, B5X3W7, Q32LU7, Q9BYV1, Q7T346, P36968, Q5E9D3, A3KP37, Q9D3U0, P14018, Q1L990, Q07973, Q8CFY5, Q99M87, Q91ZA3, Q7SYK1, Q7Z6Z7, Q8BKF1, O94925, Q6DH88, Q0P483, Q5EA43, O60260, Q66KI9, A6H751, Q86UD5, E9QBI7, Q80UF7, Q330K2, Q6DJ55, Q9TRY0, Q1XHU0, Q9WU56, Q5RC70, Q9W6I0, P52758, Q5I047, P30044, Q9EQ20, A0JMI9, Q5T160, Q5F339, P61222, Q764M6, Q9H9B4, Q9WUF3, A0PJR5, Q2KIR8, Q3T0C9, Q8WYQ3, Q3B8Q1, Q7Z419, Q9Y5R4, Q8VC74, Q9N0F3, A0JNK3, O43524, Q5U2V5, A0JMQ7, A8E657, Q5U4Z8, Q3ZCF5, Q5R421, A5WUX7, Q96KR6, Q8N0Z6, Q99551, P49843, Q1LVN8, Q28C74, Q5RCY6, P20004, Q68EV6, Q15118, Q14667, Q8BKZ9, Q12800, Q3TLD5, Q8BGA9, Q6NVC5, O00763, Q9WU79, Q8HZM5, Q5R511, Q08BB1, Q5RBL1, Q32LH4, Q9HC36, Q5ZIR1, Q9CQN1, Q499B3, Q6DGL8, Q5R802, Q8CIZ7, Q7T010, Q08CK1, Q5U3V7, Q5TZ51, Q62158, O60239, Q6DG32, Q9JIQ3, Q9DCW4	1033	1079	10368	1.3022706658041803	0.0277082285008855	0.02809112001127634	0.02809112001127634
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	12	1.046207497820401	6.331232512291284E-4	B8K1W2, Q9WVK8, Q95LD9, O75897, Q8K2I3, P33267, O08915, Q7ZUS4, Q08477, O95342, Q92090, P51589	1086	37	10984	3.2802747498880094	0.8926004837177188	1.0	1.0
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	72	6.2772449869224065	6.534634514853523E-4	O95477, Q9D8U8, Q13315, O43315, P30044, Q9JL19, Q8K3J9, Q6NWG1, Q7RTR2, Q9H2Y9, P51589, Q01167, Q7TPH6, Q8R0S2, Q6KCD5, O94901, A8MVW5, P22892, P08842, Q9JHZ4, Q8BK35, P27545, Q8R5L3, O95405, Q6EIG3, Q9BT49, P33267, Q9WV06, P70699, P97318, Q08477, Q92090, F7BWT7, Q8C547, Q8N3C7, Q9NUV9, Q6PDH0, Q8R1X6, Q9JHU5, O75817, Q52LJ0, P55006, P50233, Q0VCX2, Q96D71, P22680, Q9WU79, Q99M87, Q99J21, P46527, O76062, O00291, Q9EPW2, Q8BMJ7, Q9NPI5, P62494, P25942, Q6PJI9, Q14151, Q9Y5X2, Q9BXS5, Q9NVM9, A2TLM1, P79403, Q9UIS9, Q9Y535, Q8K2I3, P53634, Q9WVK8, Q9P2M4, Q00804, Q5XNS0	1121	493	11354	1.4792066631322005	0.3588554851024549	0.2221775735050198	0.2221775735050198
UP_KW_BIOLOGICAL_PROCESS	KW-0051~Antiviral defense	14	1.2205754141238012	7.322043624667934E-4	Q14258, Q9Y535, Q13217, Q501J6, Q8R3H9, Q61990, P19525, Q764M6, Q91550, Q63184, Q05B79, Q80UF7, O70404, Q3B8Q1	687	48	6750	2.8657205240174672	0.09215931902788022	0.055338701433037964	0.05491946884642404
UP_KW_BIOLOGICAL_PROCESS	KW-0648~Protein biosynthesis	27	2.353966870095902	8.384651732278479E-4	Q6PCR7, Q2KIF8, Q08BB1, P10160, A0JMI9, F1QB54, Q5RBL1, Q5T160, Q8CGC7, P41252, Q7T2A5, Q7Z2Z2, P49410, Q90705, Q7T010, Q9N0F3, Q63186, Q6PFQ2, Q6NZJ6, Q6PE25, Q32KZ1, A5WUX7, Q2KJG3, Q9Z1Z1, P0CL18, Q92005, Q8BGQ7	687	134	6750	1.979730170110148	0.10481406026614926	0.055338701433037964	0.05491946884642404
UP_SEQ_FEATURE	ZN_FING:C2H2-type 11	17	1.4821272885789014	9.250470407374334E-4	Q52M93, Q05481, O95785, F6NSX9, Q9P243, Q5R8X1, Q5R5U3, Q96IR2, P0CJ78, P57071, E9QAG8, Q96JM2, P18749, Q8C0P7, Q14590, Q9UJW8, B4DU55	1109	69	11200	2.488205851988343	0.9577911367304845	1.0	1.0
INTERPRO	IPR009000:Transl_B-barrel_sf	9	0.7846556233653008	0.0014697056356701235	A0JMI9, D2XV59, P49410, Q90705, P39023, Q92005, Q8BGQ7, Q08BB1, Q7Z2Z2	1139	24	11597	3.8181518876207203	0.987675689246774	1.0	1.0
